stt,name,business_id,website,email,phone,address,postal_code,city,province,keyword,tol_code,tol_name,line_of_business,company_form,turnover_k_eur,employees,operating_profit_k_eur,facebook_url,linkedin_url,finder_url
11,Suomen Vuokramestarit Oy,2135039-2,https://www.svm.fi,info@svm.fi,010 320 5285,Heikkiläntie 7,00210,HELSINKI,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,,,Henkilöstövuokraus,Osakeyhtiö,9108,168,432,,,https://www.finder.fi/yritys/4244446
12,All In One Hr Oy,2583232-1,https://www.tauruspalvelut.fi,dmitri@tauruspalvelut.fi,040 041 9655,Kivipyykintie 7 A 4-5,00710,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,1538,8,-483,http://facebook.com/TaurusPalvelut/,,https://www.finder.fi/yritys/2848251
13,Tocca HR Lappi Oy,3360233-1,https://tocca.fi,pyry.pistokoski@tocca.fi,040 031 3908,Rovakatu 13,96100,ROVANIEMI,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus; Rekrytointi,Osakeyhtiö,2136,29,93,https://www.facebook.com/toccagroup,,https://www.finder.fi/yritys/4002576
14,Tocca HR Uusimaa Oy,3360232-3,https://tocca.fi,office@tocca.fi,040 649 4234,Televisiokatu 4,00240,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus; Rekrytointi,Osakeyhtiö,5418,83,140,https://www.facebook.com/toccagroup/,,https://www.finder.fi/yritys/4002575
15,Tähtihoiva Oy,3096425-7,https://www.tahtihoiva.fi,tahtihoiva@tahtihoiva.fi,040 557 5206,Juurttintie 4,14200,TURENKI,Kanta-Hämeen maakunta,Henkilöstövuokraus,86990,Muualla luokittelematon muu terveyspalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,739,44,-51,,,https://www.finder.fi/yritys/3338272
16,Lokki Henkilöstöpalvelut Oy,2003065-3,https://www.lokki.fi,info@lokki.fi,050 549 9221,Mannerheimintie 103B,00280,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstön uudelleensijoitus; Henkilöstövuokraus; Rekrytointi,Osakeyhtiö,6777,131,-54,http://facebook.com/LokkiHenkilostopalvelutOy/,https://www.linkedin.com/company/lokki-henkil%C3%B6st%C3%B6palvelut-oy/,https://www.finder.fi/yritys/802772
17,Lokki Henkilöstöpalvelut Oy,2003065-3,https://www.lokki.fi,info@lokki.fi,050 331 2296,Kuokkamaantie 4 A,33800,TAMPERE,Uudenmaan maakunta,Henkilöstövuokraus,,,Henkilöstövuokraus; Koulutukset ja koulutuspalvelut; Rakennusliike; Rakennussaneeraus,Osakeyhtiö,6777,131,-54,http://facebook.com/LokkiHenkilostopalvelutOy/,https://www.linkedin.com/company/lokki-henkil%C3%B6st%C3%B6palvelut-oy/,https://www.finder.fi/yritys/3240303
18,Lokki Henkilöstöpalvelut Oy,2003065-3,https://www.lokki.fi,info@lokki.fi,050 432 4364,Puutarhakatu 45,20100,TURKU,Uudenmaan maakunta,Henkilöstövuokraus,,,Henkilöstövuokraus,Osakeyhtiö,6777,131,-54,http://facebook.com/LokkiHenkilostopalvelutOy/,https://www.linkedin.com/company/lokki-henkil%C3%B6st%C3%B6palvelut-oy/,https://www.finder.fi/yritys/3319313
19,Lokki Henkilöstöpalvelut Oy,2003065-3,https://www.lokki.fi,info@lokki.fi,050 477 5770,Voudintie 4,90400,OULU,Uudenmaan maakunta,Henkilöstövuokraus,,,Henkilöstövuokraus; Koulutukset ja koulutuspalvelut; Rakennusliike; Rakennussaneeraus,Osakeyhtiö,6777,131,-54,http://facebook.com/LokkiHenkilostopalvelutOy/,https://www.linkedin.com/company/lokki-henkil%C3%B6st%C3%B6palvelut-oy/,https://www.finder.fi/yritys/3975103
20,Hinkutiimi Oy,1092697-4,https://www.hinkutiimi.fi,hinkutiimi@hinkutiimi.fi,041 317 4501,Teknologiapuisto 1,61800,KAUHAJOKI,Etelä-Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,788,17,-6,,,https://www.finder.fi/yritys/191689
21,Työmyyräpalvelu Oy,1645619-2,https://www.tyomyyra.fi,juha.rusanen@tyomyyra.fi,040 555 4490,Gneissitie 18,90620,OULU,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,1127,13,,https://www.facebook.com/1272425559438739,,https://www.finder.fi/yritys/419881
22,EST Henkilöstöpalvelut Oy,2811509-6,https://www.esthenkilosto.fi,kai.tillanen@estpalvelut.fi,050 327 5883,Porrassalmenkatu 21 B,50100,MIKKELI,Etelä-Savon maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,3509,63,74,http://facebook.com/EST-Henkil%C3%B6st%C3%B6palvelut-1738201323142763,https://www.linkedin.com/company/est-henkil%C3%B6st%C3%B6palvelut-oy,https://www.finder.fi/yritys/3159539
23,HR Mentor Oy,2872458-8,https://www.helpporekry.fi,info@hrmentor.fi,050 555 9127,"Viestikatu 7 B, 5.krs",70600,KUOPIO,Pohjois-Savon maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,90,176,https://www.facebook.com/2081795655376525,,https://www.finder.fi/yritys/3197795
24,Takework Oy,3265205-4,https://www.takework.fi,info@takework.fi,040 085 5240,Aku Korhosen tie 8,00440,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,2039,32,17,https://www.facebook.com/takeworkoy,,https://www.finder.fi/yritys/3773000
25,Apuvoima Pirkanmaa Oy,3398828-9,https://apuvoima.com,roope.oksanen@apuvoima.com,040 074 0818,Tullikatu 6 Kauppakeskus Tullintori 2. kerros,33100,TAMPERE,Pirkanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,6363,142,377,https://www.facebook.com/504219266105069,https://www.linkedin.com/company/apuvoima/,https://www.finder.fi/yritys/4051677
26,Hunaja Works Oy,3520447-6,https://www.hunajaworks.fi,,040 094 6007,,,Turku,Varsinais-Suomen maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,297,6,-166,https://www.facebook.com/645099785355087,https://www.linkedin.com/company/hunaja-works-oy/,https://www.finder.fi/yritys/4190679
27,Ja-Mi Group Finland Oy,3119689-4,https://jamiworks.com,mika.hakkarainen@jamiworks.com,045 340 7620,Vaasantie 6 (1. krs),67100,KOKKOLA,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,3862,7,200,,,https://www.finder.fi/yritys/3364788
28,Worker Pohjois-Suomi Oy,3136234-6,https://www.worker.fi/oulu,henna.kalaoja@worker.fi,050 449 9284,Rautatienkatu 81,90400,OULU,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,7056,127,257,https://www.facebook.com/1984634771791591,https://www.linkedin.com/company/worker-henkilostoratkaisut,https://www.finder.fi/yritys/3487064
29,Worker Pohjois-Suomi Oy,3136234-6,https://www.worker.fi/jyvaskyla,mika.salminen@worker.fi,041 317 6195,Laukaantie 4,40320,JYVÄSKYLÄ,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,,,Henkilöstövuokraus,Osakeyhtiö,7056,127,257,https://www.facebook.com/workerhenkilostoratkaisut,https://www.linkedin.com/company/worker-henkilostoratkaisut,https://www.finder.fi/yritys/4312573
30,Worker Pohjois-Suomi Oy,3136234-6,https://www.worker.fi/kajaani,noora.ollila@worker.fi,050 330 0113,Kauppakatu 16,87100,KAJAANI,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,,,Henkilöstövuokraus,Osakeyhtiö,7056,127,257,https://www.facebook.com/workerhenkilostoratkaisut,https://www.linkedin.com/company/worker-henkilostoratkaisut,https://www.finder.fi/yritys/4312577
31,ValtaGroup Oy,3130143-9,https://talentvaltagroup.fi,rekrytointi@valtagroup.fi,044 033 9993,Peltokatu 26,33100,TAMPERE,Uudenmaan maakunta,Rekrytointi,78100,Työnvälitystoiminta,Henkilöstön uudelleensijoitus; Henkilöstövuokraus; Rekrytointi; Työsuhdepalvelut,Osakeyhtiö,2355,48,96,https://www.facebook.com/100252475377140,https://www.linkedin.com/company/valtagroup-oy,https://www.finder.fi/yritys/3389154
32,Maximus Oy,2838075-4,https://www.maximus.fi,info@maximus.fi,010 820 6900,Kutojantie 6-8,02630,ESPOO,Uudenmaan maakunta,Rekrytointi,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus; Rekrytointi,Osakeyhtiö,6007,121,508,http://www.facebook.com/maximushenkilostopalvelut,https://www.linkedin.com/company/maximusoy/,https://www.finder.fi/yritys/3176244
33,Annan Töitä Oy,2883219-1,https://bondata.fi,raahe@bondata.fi,044 370 0009,Sovionkatu 12-14,92100,RAAHE,Pohjois-Pohjanmaan maakunta,Rekrytointi,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus; Rekrytointi,Osakeyhtiö,785,8,14,https://www.facebook.com/BondataRaahe/,https://www.linkedin.com/company/bondata-henkilostopalvelut/posts/?feedView=all,https://www.finder.fi/yritys/3204300
34,Nawia Oy,3415857-8,https://nawia.fi,hello@nawia.fi,040 595 4510,Peltokatu 26,33100,TAMPERE,Pirkanmaan maakunta,Rekrytointi,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Rekrytointi,Osakeyhtiö,1074,5,156,,https://www.linkedin.com/company/nawia-oy,https://www.finder.fi/yritys/4073667
35,Amrop Finland Oy,1048452-0,https://www.amrop.fi,amrop.finland@amrop.fi,09 622 9360,Kasarmikatu 36,00130,HELSINKI,Uudenmaan maakunta,Rekrytointi,70200,Liikkeenjohdon konsultointi,Rekrytointi,Osakeyhtiö,2373,11,738,,https://www.linkedin.com/company/amrop-finland,https://www.finder.fi/yritys/205206
36,Go On Kalajoki Oy,3265457-8,https://bondata.fi,kalajoki@bondata.fi,044 370 0009,Matkailutie 312,85100,KALAJOKI,Pohjois-Pohjanmaan maakunta,Rekrytointi,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Rekrytointi,Osakeyhtiö,863,25,30,https://www.facebook.com/BondataKalajoki/,https://www.linkedin.com/company/bondata-henkilostopalvelut/posts/?feedView=all,https://www.finder.fi/yritys/3773969
37,Finnorse Oy,3499173-8,https://www.finnorse.fi,info@finnorse.fi,045 349 0727,Pahvitehtaanpolku 2 A 6,33250,TAMPERE,Pirkanmaan maakunta,Rekrytointi,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Rekrytointi,Osakeyhtiö,2,2,-68,https://www.facebook.com/613226965212910,https://linkedin.com/company/finnorse-oy,https://www.finder.fi/yritys/4165509
38,Rekryovi Oy,2831253-2,https://www.rekryovi.net,anu.haveri@rekryovi.net,050 320 0443,"Yliopistonkatu 31, 3 krs Regus Citykulma",20100,TURKU,Varsinais-Suomen maakunta,Rekrytointi,74999,"Muualla luokittelematon kaikki muu monenlainen ammatillinen, tieteellinen ja tekninen toiminta",Henkilöstön uudelleensijoitus; Rekrytointi,Osakeyhtiö,154,1,31,,https://fi.linkedin.com/company/rekryovi-oy,https://www.finder.fi/yritys/3171896
39,Compass Human Resources Group Finland Oy Ab,0982156-9,https://www.compasshrg.com/fi,compass@compasshrg.fi,010 320 2400,Energiakuja 3,00180,HELSINKI,Uudenmaan maakunta,Rekrytointi,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstön uudelleensijoitus; Henkilöstövuokraus; Konsultointipalvelut; Rekrytointi; Toimialapalvelut,Osakeyhtiö,1574,14,-206,,,https://www.finder.fi/yritys/164407
40,Rakennustoimisto O.Hämäläinen Oy,2640459-9,https://www.rtoh.fi,olli.hamalainen@rtoh.fi,040 842 1400,Valimotie 17-19,00380,HELSINKI,Uudenmaan maakunta,Rekrytointi,71126,Muu rakennustekninen palvelu,Konsultointipalvelut,Osakeyhtiö,3361,16,518,,,https://www.finder.fi/yritys/3023826
41,Henkilöstövuokraus JK Oy,3220977-3,https://www.henkilostovuokrausjk.fi,vuokrausjk@gmail.com,045 354 9722,Kaarnatie 18,88900,KUHMO,Kainuun maakunta,Rekrytointi,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,782,,-37,https://www.facebook.com/HenkilostovuokrausJK,,https://www.finder.fi/yritys/3606272
42,Bondata Lapland Oy,2923926-9,https://henkilostopalvelut.bondata.fi/henkilostovuokraus/rovaniemi,lappi@bondata.fi,040 656 2993,Kansankatu 9,96100,ROVANIEMI,Lapin maakunta,Rekrytointi,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,7630,163,23,https://www.facebook.com/GoOnRovaniemi/,https://fi.linkedin.com/company/bondata-henkilostopalvelut,https://www.finder.fi/yritys/3234323
43,Rentcon Oy,0953663-7,https://www.rentcon.fi,rentcon@rentcon.fi,010 326 1420,Kutojantie 11,02630,ESPOO,Uudenmaan maakunta,Rekrytointi,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,478,10,46,http://facebook.com/duuniin/,https://www.linkedin.com/company/rentcon-oy/,https://www.finder.fi/yritys/322218
44,Bondata Lapland Oy,2923926-9,https://henkilostopalvelut.bondata.fi/henkilostovuokraus/tornio,lappi@bondata.fi,040 656 2993,Vesaisenkatu 1,95400,TORNIO,Lapin maakunta,Rekrytointi,,,Henkilöstövuokraus,Osakeyhtiö,7630,163,23,https://www.facebook.com/BondataLappi,https://fi.linkedin.com/company/bondata-henkilostopalvelut,https://www.finder.fi/yritys/3759699
45,Business Joensuu Oy,2921270-1,https://www.businessjoensuu.fi,info@businessjoensuu.fi,010 419 8000,Länsikatu 15,80110,JOENSUU,Pohjois-Karjalan maakunta,Rekrytointi,74999,"Muualla luokittelematon kaikki muu monenlainen ammatillinen, tieteellinen ja tekninen toiminta",Yrityspalvelut,Osakeyhtiö,12526,43,1083,http://facebook.com/BusinessJoensuu/,,https://www.finder.fi/yritys/3232416
46,Norstat Finland Oy,1597387-6,https://norstat.co/fi,info@norstat.fi,044 766 7189,"Kaivokatu 10 A, 4.krs",00100,HELSINKI,Satakunnan maakunta,Rekrytointi,73200,Markkina- ja mielipidetutkimukset,Markkinatutkimus,Osakeyhtiö,7725,40,1357,https://www.facebook.com/profile.php?id=100063769531386,https://www.linkedin.com/company/norstat/,https://www.finder.fi/yritys/431669
47,Staffmax Oy,2934861-7,https://staffmax.fi,info@staffmax.fi,044 243 2587,Maakuntakatu 29-31 B,96200,ROVANIEMI,Lapin maakunta,Rekrytointi,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,7216,151,-179,,,https://www.finder.fi/yritys/3242021
48,Staffmax Oy,2934861-7,https://staffmax.fi,info@staffmax.fi,044 243 2587,Kirkkokatu 6,90100,OULU,Lapin maakunta,Rekrytointi,,,Henkilöstövuokraus,Osakeyhtiö,7216,151,-179,,,https://www.finder.fi/yritys/4209797
49,Staffmax Oy,2934861-7,https://staffmax.fi,info@staffmax.fi,044 243 258,Runeberginkatu 5 B 5 krs.,00100,HELSINKI,Lapin maakunta,Rekrytointi,,,Henkilöstövuokraus,Osakeyhtiö,7216,151,-179,,,https://www.finder.fi/yritys/4209798
50,Staffmax Oy,2934861-7,https://staffmax.fi,info@staffmax.fi,044 243 2587,Tammelan puistokatu 33,33500,TAMPERE,Lapin maakunta,Rekrytointi,,,Henkilöstövuokraus,Osakeyhtiö,7216,151,-179,,,https://www.finder.fi/yritys/4209796
51,Suomen Vuokramestarit Oy,2135039-2,https://www.svm.fi,info@svm.fi,010 320 5285,Ollilantie 4,90440,KEMPELE,Pohjois-Pohjanmaan maakunta,Rekrytointi,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,9108,168,432,https://www.facebook.com/125450654172498,https://fi.linkedin.com/company/suomen-vuokramestarit-oy,https://www.finder.fi/yritys/1596199
52,Suomen Vuokramestarit Oy,2135039-2,https://www.svm.fi,info@svm.fi,010 320 5285,Heikkiläntie 7,00210,HELSINKI,Pohjois-Pohjanmaan maakunta,Rekrytointi,,,Henkilöstövuokraus,Osakeyhtiö,9108,168,432,,,https://www.finder.fi/yritys/4244446
53,SAM Headhunting Oy,1800381-6,https://www.sam-int.fi,info-fi@sam-int.com,040 032 3434,Keilaranta 1,02150,ESPOO,Uudenmaan maakunta,Rekrytointi,70200,Liikkeenjohdon konsultointi,Liikkeenjohdon konsultointi,Osakeyhtiö,2163,1,3,,https://www.linkedin.com/company/sam-headhunting-finland/,https://www.finder.fi/yritys/479071
54,SAM Headhunting Oy,1800381-6,https://www.sam-int.fi,info-fi@sam-int.com,040 032 3434,Erkkilänkatu 11,33100,TAMPERE,Uudenmaan maakunta,Rekrytointi,,,Liikkeenjohdon konsultointi,Osakeyhtiö,2163,1,3,,https://www.linkedin.com/company/sam-headhunting-finland/,https://www.finder.fi/yritys/4245316
55,SAM Headhunting Oy,1800381-6,https://www.sam-int.fi,info-fi@sam-int.com,040 032 3434,Tykistökatu 4,20520,TURKU,Uudenmaan maakunta,Rekrytointi,,,Liikkeenjohdon konsultointi,Osakeyhtiö,2163,1,3,,https://www.linkedin.com/company/sam-headhunting-finland/,https://www.finder.fi/yritys/4245315
56,Tocca HR Lappi Oy,3360233-1,https://tocca.fi,pyry.pistokoski@tocca.fi,040 031 3908,Rovakatu 13,96100,ROVANIEMI,Uudenmaan maakunta,Rekrytointi,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus; Rekrytointi,Osakeyhtiö,2136,29,93,https://www.facebook.com/toccagroup,,https://www.finder.fi/yritys/4002576
57,Tocca HR Uusimaa Oy,3360232-3,https://tocca.fi,office@tocca.fi,040 649 4234,Televisiokatu 4,00240,HELSINKI,Uudenmaan maakunta,Rekrytointi,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus; Rekrytointi,Osakeyhtiö,5418,83,140,https://www.facebook.com/toccagroup/,,https://www.finder.fi/yritys/4002575
58,Tähtihoiva Oy,3096425-7,https://www.tahtihoiva.fi,tahtihoiva@tahtihoiva.fi,040 557 5206,Juurttintie 4,14200,TURENKI,Kanta-Hämeen maakunta,Rekrytointi,86990,Muualla luokittelematon muu terveyspalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,739,44,-51,,,https://www.finder.fi/yritys/3338272
59,Lokki Henkilöstöpalvelut Oy,2003065-3,https://www.lokki.fi,info@lokki.fi,050 549 9221,Mannerheimintie 103B,00280,HELSINKI,Uudenmaan maakunta,Rekrytointi,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstön uudelleensijoitus; Henkilöstövuokraus; Rekrytointi,Osakeyhtiö,6777,131,-54,http://facebook.com/LokkiHenkilostopalvelutOy/,https://www.linkedin.com/company/lokki-henkil%C3%B6st%C3%B6palvelut-oy/,https://www.finder.fi/yritys/802772
60,Lokki Henkilöstöpalvelut Oy,2003065-3,https://www.lokki.fi,info@lokki.fi,050 331 2296,Kuokkamaantie 4 A,33800,TAMPERE,Uudenmaan maakunta,Rekrytointi,,,Henkilöstövuokraus; Koulutukset ja koulutuspalvelut; Rakennusliike; Rakennussaneeraus,Osakeyhtiö,6777,131,-54,http://facebook.com/LokkiHenkilostopalvelutOy/,https://www.linkedin.com/company/lokki-henkil%C3%B6st%C3%B6palvelut-oy/,https://www.finder.fi/yritys/3240303
61,Worker Pohjois-Suomi Oy,3136234-6,https://www.worker.fi/kemi,arto.hakala@worker.fi,050 320 2234,Valtakatu 7-9,94100,KEMI,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,,,Henkilöstövuokraus,Osakeyhtiö,7056,127,257,https://www.facebook.com/workerhenkilostoratkaisut,https://www.linkedin.com/company/worker-henkilostoratkaisut,https://www.finder.fi/yritys/4312578
62,Worker Pohjois-Suomi Oy,3136234-6,https://www.worker.fi/kuopio,joonas.hentunen@worker.fi,050 594 3725,Trubenkuja 1,70500,KUOPIO,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,,,Henkilöstövuokraus,Osakeyhtiö,7056,127,257,https://www.facebook.com/workerhenkilostoratkaisut,https://www.linkedin.com/company/worker-henkilostoratkaisut,https://www.finder.fi/yritys/4312574
63,Worker Pohjois-Suomi Oy,3136234-6,https://www.worker.fi/rovaniemi,arto.hakala@worker.fi,050 320 2234,Lapinkävijäntie 3,96100,ROVANIEMI,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,,,Henkilöstövuokraus,Osakeyhtiö,7056,127,257,https://www.facebook.com/workerhenkilostoratkaisut,https://www.linkedin.com/company/worker-henkilostoratkaisut,https://www.finder.fi/yritys/4312579
64,Worker Pohjois-Suomi Oy,3136234-6,https://www.worker.fi/aanekoski,mika.salminen@worker.fi,041 317 6195,Kuhnamontie 1 C,44100,ÄÄNEKOSKI,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,,,Henkilöstövuokraus,Osakeyhtiö,7056,127,257,https://www.facebook.com/workerhenkilostoratkaisut,https://www.linkedin.com/company/worker-henkilostoratkaisut,https://www.finder.fi/yritys/4312576
65,MK Rebar Oy,3257455-1,https://www.mkrebar.fi,info@mkrebar.fi,045 118 0711,Paasitie 10 B,01700,VANTAA,Uudenmaan maakunta,Henkilöstövuokraus,41000,Talonrakentaminen,"Raudoitus, betoniraudoitus",Osakeyhtiö,754,,83,https://www.facebook.com/Kelankyl%C3%A4n-rakennuspalvelut-101801181975647/,,https://www.finder.fi/yritys/3758164
66,ValtaGroup Oy,3130143-9,https://talentvaltagroup.fi,rekrytointi@valtagroup.fi,044 033 9993,Peltokatu 26,33100,TAMPERE,Uudenmaan maakunta,Henkilöstövuokraus,78100,Työnvälitystoiminta,Henkilöstön uudelleensijoitus; Henkilöstövuokraus; Rekrytointi; Työsuhdepalvelut,Osakeyhtiö,2355,48,96,https://www.facebook.com/100252475377140,https://www.linkedin.com/company/valtagroup-oy,https://www.finder.fi/yritys/3389154
67,Maximus Oy,2838075-4,https://www.maximus.fi,info@maximus.fi,010 820 6900,Kutojantie 6-8,02630,ESPOO,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus; Rekrytointi,Osakeyhtiö,6007,121,508,http://www.facebook.com/maximushenkilostopalvelut,https://www.linkedin.com/company/maximusoy/,https://www.finder.fi/yritys/3176244
