name,email,website,phone,address,member_id,profile_url
FORTES,info@fortesenergy.lv,www.fortesenergy.lv,+371 26108453,"Dzirnavu iela 41 - 3, Rīga, LV-1010",640,https://www.masoc.lv/en/members/member-database/640
GOOD STEEL,info@goodsteel.lv,www.goodsteel.lv,+371 29429734,"Vītiņkalni, Krustiņi, Inčukalna pag., Siguldas nov., LV-2141",528,https://www.masoc.lv/en/members/member-database/528
GRANĪTS,info@granits.eu,www.granits.eu,+371 26436209,"Sāremas iela 3A, Rīga, LV-1005",409,https://www.masoc.lv/en/members/member-database/409
HANSAMATRIX,info@hansamatrix.com,www.hansamatrix.com,+371 67400001,"Zemzaru iela 3, Mārupe, LV-2167",498,https://www.masoc.lv/en/members/member-database/498
HEIDELBERG MATERIALS SBC LATVIA,info@sbc.lv,www.sbc.lv,+371 67408383,"Zeltiņu iela 130, Mārupe, Mārupes nov., LV-2167",358,https://www.masoc.lv/en/members/member-database/358
HES1,info@hes1.lv,www.hes1.lv,+371 22304752,"Piedrujas iela 11, birojs 214, Rīga, LV-1073",506,https://www.masoc.lv/en/members/member-database/506
ICS STEEL,info@icssteel.lv,www.icssteel.eu,"+371 26744557, +371 26688466","Meldru iela 8, Liepāja, LV-3401",604,https://www.masoc.lv/en/members/member-database/604
INDUCONT,office.riga@inducont.lv,www.inducont.com,+371 22078773,"Rītausmas iela 11B, Rīga, LV-1058",659,https://www.masoc.lv/en/members/member-database/659
INDUSTRY PARTNER LIMITED,office@industrypartner.lv,www.industrypartner.lv,+371 67806030,"Daugavgrīvas šoseja 6B, Rīga, LV-1016",295,https://www.masoc.lv/en/members/member-database/295
INFLUX FABRICATION,info@influx.lv,www.influx.lv,+371 26282883,"Cieceres iela 2A, Ciecere, Skrundas pag., Kuldīgas nov., LV-3326",667,https://www.masoc.lv/en/members/member-database/667
IR CNC,info@ircnc.eu,www.ircnc.lv,+371 23379250,"Robežu iela 6/24, Cēsis, Cēsu nov., LV-4101",675,https://www.masoc.lv/en/members/member-database/675
IRT,irt@irt.lv,www.irt.lv,+ 371 67381957,"Aptiekas iela 21, Rīga, LV-1005",231,https://www.masoc.lv/en/members/member-database/231
ISP OPTICS LATVIA,ISPinfo@lightpath.com,www.lightpath.com,+371 67323779,"Ganību dambis 24A, k-13, Rīga, LV-1005",310,https://www.masoc.lv/en/members/member-database/310
JGT SOLUTION,aleksandrs@jgt.lv,www.jgt.lv,+371 22025321,"Eksporta iela 3, Tukums, Tukuma nov., LV-3104",614,https://www.masoc.lv/en/members/member-database/614
KARCHER TECHNOLOGY LATVIA,info.ktl@kaercher.com,www.karcher.com/lv/sikak-par-kaercher/uznemums/par-kaercher.html,+371 63050749,"Langervaldes iela 5, Raubēni, Cenu pag., Jelgavas nov., LV-3002",672,https://www.masoc.lv/en/members/member-database/672
KATKOM,info@katkom.lv,www.katkom.lv,+371 26405933; +371 29600382,"Jaunciema gatve 233, Rīga, Latvija, LV-1023",481,https://www.masoc.lv/en/members/member-database/481
KENGURU PRO,info@kengurupro.eu,www.kengurupro.eu,+371 29438618,"Lauteres iela 4, Rīga, LV-1002",658,https://www.masoc.lv/en/members/member-database/658
KERAMSERVISS,info@keramserviss.lv,www.keramserviss.lv,+371 27886660,"Podnieku iela 21, Ādaži,",311,https://www.masoc.lv/en/members/member-database/311
KIWA LATVIA,latvia@kiwa.com,www.kiwa.com/lv,+371 67607900,"Skanstes iela 54, Rīga, LV-1013",271,https://www.masoc.lv/en/members/member-database/271
KNAUF,signe.raupe@knauf.com; info-lv@knauf.com,www.knauf.lv,+371 67032999,"Institūta iela 108, Saurieši, Stopiņu pagasts, Ropažu novads, LV-2118",601,https://www.masoc.lv/en/members/member-database/601
KNK MEFAB,info@mefab.lv,www.mefab.lv,+371 25549027,"Jaunkūlu iela 21, Ādaži, LV-2164",417,https://www.masoc.lv/en/members/member-database/417
KONECRANES LATVIJA,info.latvia@konecranes.com,www.konecranes.com,+371 67394491,"Mazā Krasta iela 83, Rīga, LV-1003",551,https://www.masoc.lv/en/members/member-database/551
KONTMET,info@kontmet.lv,www.kontmet.lv,+371 29646871,"Kļavkalnu iela1-1,Ozolkalns,Beļavas pag.,Gulbenes nov.LV-4410",471,https://www.masoc.lv/en/members/member-database/471
L-EKSPRESIS,info@l-ekspresis.eu,www.l-ekspresis.lv,+371 67897650,"Kalna iela 68A, Rīga, LV-1003",400,https://www.masoc.lv/en/members/member-database/400
LANOS,info@lanos.lv,,+371 26130932,"SIA LANOS, Autocentrs, Kalnsētas, Cieceres pagasts, Saldus novads, LV-3851",629,https://www.masoc.lv/en/members/member-database/629
LARTA 1,larta@apollo.lv,www.larta.lv,+371 29462625,"Strādnieku šķērsiela 7, Rēzekne, LV-4604",151,https://www.masoc.lv/en/members/member-database/151
LATVIJAS FINIERIS IEKĀRTU RŪPNĪCA,ir@finieris.lv,www.iekarturupnica.lv,"+371 67067045, +371 28601423","Lignuma iela 2, Rīga, LV-1016",204,https://www.masoc.lv/en/members/member-database/204
LINDA-1,info@abas.lv,www.abas.lv,+371 29284179,"Sabiles iela 2, Kandava, Kandavas novads, LV-3120",433,https://www.masoc.lv/en/members/member-database/433
LINDE GAS,linde.lv@linde.com,www.linde-gas.lv,+371 67023900,"Skanstes iela 25, Rīga, LV-1013",389,https://www.masoc.lv/en/members/member-database/389
LOM.LV UZŅĒMUMS,ofiss@lom.lv,www.lom.lv,"+371 80003800, +371 29999797","Spilves iela 6A, Rīga, LV-1055",597,https://www.masoc.lv/en/members/member-database/597
LRTDEA TUV RHEINLAND GROUP,tuv@tuv.lv,www.tuv.lv,"+371 67568605, 67568607","Sāremas iela 3, Rīga, LV-1005",189,https://www.masoc.lv/en/members/member-database/189
LS STEEL,info@lssteel.lv,www.lssteel.lv,+371 25333338,"Ražotne - Robežu iela 5, Ventspils, LV-3601",558,https://www.masoc.lv/en/members/member-database/558
LV-TEH,info@lvteh.lv,www.lvteh.lv,+371 29942343,"Brīvības gatve 197 B, Rīga, LV-1039",655,https://www.masoc.lv/en/members/member-database/655
LYKKEGAARD,info@lykkegaard.lv,,+371 29273700,"Kokaudzētavas iela 9, Zaļenieki, Zaļenieku pag., Jelgavas nov., LV-3011",660,https://www.masoc.lv/en/members/member-database/660
MALMAR SHEET METAL,info@malmar.eu,www.malmar.eu,+371 63628989,"Ganību iela 107, Ventspils, LV-3601",418,https://www.masoc.lv/en/members/member-database/418
MARCEGAGLIA BALTICS,baltics@marcegaglia.com,www.baltics.marcegaglia.com/,+371 26571599,"Starta iela 13, Rīga, LV-1039",638,https://www.masoc.lv/en/members/member-database/638
MARMORS,info@marmors.lv; alex@marmors.lv,www.marmorsgroup.com,+371 67931347; +371 67931348; +371 28330287,"Gaismas iela 11, Stūnīši, Olaines novads,  LV-2127",126,https://www.masoc.lv/en/members/member-database/126
MASOC,masoc@masoc.lv,www.masoc.lv,+371 67554825,"Brīvības gatve 223, Rīga, LV-1039",439,https://www.masoc.lv/en/members/member-database/439
MECHANIKA ENGINEERING,info@mehanika.lv,www.mehanika.lv,"+371 64905899, +371 27334881","Klijānu iela 14, Rīga, LV-1013",643,https://www.masoc.lv/en/members/member-database/643
METAL PRINT,info@metalprint.lv,www.metalprint.lv,+371 28778208,"Kalnciema iela 67, Rīga, LV-1046",493,https://www.masoc.lv/en/members/member-database/493
METĀRO,info@metaro.lv,www.metaro.lv,+371 62202259,"Cempu iela 21A, Valmiera, Valmieras nov., LV-4201",142,https://www.masoc.lv/en/members/member-database/142
METKON,metkon@metkon.lv,www.metkon.lv,+371 67607820,"Jūrmalas gatve 32, k-4, Rīga, LV-1083",621,https://www.masoc.lv/en/members/member-database/621
METPRO,info@metpro.lv,www.metpro.lv,+371 24777999,"Kalna iela 3A, Gardene, Auru pag., Dobeles nov., LV-3701",421,https://www.masoc.lv/en/members/member-database/421
METSATEK,info@metsatek.eu,metsatek.eu,+371 26416999,"Kaldari, Ķekavas nov. Ķekavas pag., LV-2123",595,https://www.masoc.lv/en/members/member-database/595
MW KONSTRUKCIJAS,metal@mwkonstrukcijas.lv,,+371 67971125,"Pulkveža Brieža 113, Sigulda, LV-2150",124,https://www.masoc.lv/en/members/member-database/124
NAGLIS & ERR,info@naglis-err.com,www.naglis-err.com,+371 66100336,"Uzvaras prospekts 1C, Baloži, Ķekavas nov., LV-2128",283,https://www.masoc.lv/en/members/member-database/283
NIDIJA,info@nidija.lv,www.nidija.lv,+371 67551228,"Krustabaznīcas iela 4, Rīga, LV-1006",608,https://www.masoc.lv/en/members/member-database/608
NOOK SERVISS,info@nookserviss.lv,www.nookserviss.lv,+371 64633672,"Noliktavu iela 10, Rēzekne, LV-4604",453,https://www.masoc.lv/en/members/member-database/453
NORD STYLE Ltd,info@nordstyle.eu,www.nordstyle.eu,"+371 26336133, +37129116363","Slokas iela 52G, Rīga, LV-1007",548,https://www.masoc.lv/en/members/member-database/548
OY MEKANEX AB LATVIJAS FILIĀLE,edgars.ansevics@mekanex.se,www.mekanex.lv,+371 26035549,"Zaļā iela 1, Rīga, LV-1010",677,https://www.masoc.lv/en/members/member-database/677
PALMER GROUP,laazers123@inbox.lv,www.lazergriesana.lv,+371 20022044,"Lejupes iela 6, Ādaži, Ādažu nov., LV-2164",633,https://www.masoc.lv/en/members/member-database/633
PBS LV,info@pbs.lt,www.pbs.lt,+370 61572257,"Brīvības gatve 204 B, Rīga, LV-1039",442,https://www.masoc.lv/en/members/member-database/442
PERUZA,office@peruza.com,peruza.com,+371 67248036,"Lejasrandoti, Mucenieki, Ropažu pag., Ropažu nov., LV-2137",141,https://www.masoc.lv/en/members/member-database/141
PESLAKS METĀLAPSTRĀDE,rudolfs@peslaks.lv,www.peslaks.lv,+371 28378614,"Ziedu iela 21, Ikšķile, Ogres nov., LV-5052",519,https://www.masoc.lv/en/members/member-database/519
PLANTECH,office@plantech.lv,www.plantech.lv,+371 25999603,"Plānupes iela 29A, Inčukalns, Siguldas nov. LV-2141",649,https://www.masoc.lv/en/members/member-database/649
PLOCKMATIC RIGA,eva.dadze@plockmatic.com,www.plockmaticgroup.com/,+371 22464240,"Vismaņi k-2, Mārupes pag., Mārupes nov., LV-2167",635,https://www.masoc.lv/en/members/member-database/635
POLIPRODEST,info@poliprodest.com,www.poliprodest.com,+371 63086998,"Rubeņu ceļš 2, Jelgava, LV-3002",371,https://www.masoc.lv/en/members/member-database/371
PRECO,preco@preco.lv,www.preco.lv,+371 65071850,"Dravnieku iela 16, Lielvārde, Ogres nov., LV-5070",238,https://www.masoc.lv/en/members/member-database/238
PRINTPACK SERVICE,printpack@printpack.lv,www.printpack.lv,+371 67818007,"Piedrujas iela 7a, Rīga, LV-1073",596,https://www.masoc.lv/en/members/member-database/596
PROMETAL GROUP,info@prometals.lv,www.prometalgroup.lv,+371 65071498,"Vidzemes iela 5A, Ogre, Ogres nov., LV-5001",143,https://www.masoc.lv/en/members/member-database/143
PRORING LATVIA,info@proring.lv,www.proring.lv,+371 29501133,"Daugavgrīvas iela 63B, Rīga, LV-1005",620,https://www.masoc.lv/en/members/member-database/620
RAILWAY MOTION SYSTEMS,jr@y25.lv,www.r-ms.lv,+371 26469112,"Gustava Zemgala gatve 77 k-2, Rīga, LV-1039",522,https://www.masoc.lv/en/members/member-database/522
RB METĀLS,abo@rbmetals.eu,www.rbmetals.eu,+371 29566343,"Rubeņu ceļš 2D, Jelgava, LV-3002",555,https://www.masoc.lv/en/members/member-database/555
RESERV INC,reserv@reserv.lv; birojs@reserv.lv,www.reserv.lv,"+371 20110007, +371 27022152","Liepnieku iela 10; 16, Brocēni, LV-3851",270,https://www.masoc.lv/en/members/member-database/270
RĪGAS DĪZELIS DG,info@rigasdizelis.com,www.rigasdizelis.lv,+371 67381894,"Ganību dambis 36, Rīga, LV-1005",224,https://www.masoc.lv/en/members/member-database/224
RIKON,rikon@rikon.lv,www.rikon.lv,+371 67393156,"Tvaika iela 68B, Rīga, LV-1034",239,https://www.masoc.lv/en/members/member-database/239
RIMANS,info@rimans.lv,www.rimans.eu,+371 67459620; +371 67613163; +371 67617167,"Dzirciema 119 k-1, Rīga, LV-1055",227,https://www.masoc.lv/en/members/member-database/227
RĪTAUSMAS STEEL CONSTRUCTIONS,info@rs-steel.lv,www.rs-steel.lv,+371 67717034; +371 29526391,"Rītausmas iela 16, Rīga, LV-1058",603,https://www.masoc.lv/en/members/member-database/603
RIX,info@rix.lv,www.rix.lv,+371 67892011,"Rītausmas iela 23, Rīga, LV-1058",665,https://www.masoc.lv/en/members/member-database/665
RNA TECHNOLOGY,info@rna-tech.com,www.rna-tech.com,+371 29464979,"Inženieru iela 101, Ventspils, LV-3601",509,https://www.masoc.lv/en/members/member-database/509
RUBATE METAL,info@rmetal.lv,www.rubatemetal.lv,+371 64430377,"Baložu iela 4, Gulbene, Gulbenes novads, LV-4401",125,https://www.masoc.lv/en/members/member-database/125
RULONAS,kaspars@rulonas.com,www.rulonas.com,+371 28377347,"Daugavgrīvas iela 81 k-2, Rīga, LV-1007",628,https://www.masoc.lv/en/members/member-database/628
SANISTAL,sanistal@sanistal.lv,www.sanistal.lv,+371 67018600,"Tīraines iela 9, Rīga, LV-1058",670,https://www.masoc.lv/en/members/member-database/670
SCANDICAST,scandicast@scandicast.com,www.scandicast.com,+371 25716959,"Biķernieku iela 18, Rīga, LV-1039",192,https://www.masoc.lv/en/members/member-database/192
SCANDMETALL,info@scandmetall.lv,www.scandmetall.lv,+371 20260777,"Līvu iela 15, Ikšķile, Ogres nov., LV-5052",427,https://www.masoc.lv/en/members/member-database/427
SERTIFIKA,info@sertifika.lv,www.sertifika.lv,+371 29276906,"Juglas iela 14B, Rīga, LV-1024",641,https://www.masoc.lv/en/members/member-database/641
SERTIFIKĀCIJAS UN TESTĒŠANAS CENTRS,info@stc.lv,www.stc.lv,+371 64130013,"Dārza iela 12, Priekuļi, Priekuļu pag., Cēsu nov., LV-4126",280,https://www.masoc.lv/en/members/member-database/280
SFM LATVIA,nauris@sfm.lv,www.sfm.lv,+371 63082014,"Langervaldes iela 3, Jelgava, LV-3002",382,https://www.masoc.lv/en/members/member-database/382
SIGNUM,signum@signum.lv,www.signum.lv,+371 63023200,"Lietuvas šoseja 2E, Jelgava, LV-3001",255,https://www.masoc.lv/en/members/member-database/255
SILMOR,info@silmor.eu,www.silmor.eu,+371 29129238,"Brīvības gatve 323, Rīga, LV-1006",99,https://www.masoc.lv/en/members/member-database/99
SMARTTEH,sales@smartteh.eu,www.smartteh.eu,+371 20299021,"Institūta iela 1D, Ulbroka, Stopiņu pag., Ropažu nov., LV-2130",488,https://www.masoc.lv/en/members/member-database/488
SMC AUTOMATION,info.lv@smc.com,www.smc.eu/lv-lv,+371 67817700,"Dzelzavas iela 117, Rīga, LV-1021",384,https://www.masoc.lv/en/members/member-database/384
SOLCON,projekti@solcon.lv,,+371 29909053,"Aizupes, Glūdas pag., Jelgavas nov., LV-3040",648,https://www.masoc.lv/en/members/member-database/648
STARS MET,info@starsmet.com,www.starsmet.com,+371 25550011,"A. Pumpura iela 100, Daugavpils, LV-5404",523,https://www.masoc.lv/en/members/member-database/523
STEEL CONSTRUCTIONS,info@steelconstructions.lv,www.steelconstructions.lv/,+371 22181181,"Trubiņas, Turkalne, Tīnūžu pag., Ogres nov., LV-5015",639,https://www.masoc.lv/en/members/member-database/639
STEEL PROFI,info@steelprofi.lv,www.steelprofi.lv,+371 29258562,"Dārzciema iela 60D, Rīga, LV-1073",513,https://www.masoc.lv/en/members/member-database/513
STEEL WORK,info@steelwork.lv,www.steelwork.lv,+371 22429565,"Nautrēnu iela 12, Rīga, LV-1079",463,https://www.masoc.lv/en/members/member-database/463
STOKKER,birojs@stokker.com,www.stokker.lv,+371 67245561,"Krasta iela 42, Rīga, LV-1003",612,https://www.masoc.lv/en/members/member-database/612
TECHNOWAY INDUSTRIES,info@technoway.lv,www.technoway.lv,+371 28665502,"Jelgavas iela 88-12, Rīga, LV-1004",396,https://www.masoc.lv/en/members/member-database/396
TEMESO,renars@temeso.lv,www.temeso.lv,+371 26139393,"Čiekurkalna 1. līnija 56, Rīga, LV-1026",510,https://www.masoc.lv/en/members/member-database/510
TĒRAUDS & KOMPONENTI,uddeholm@teraudslat.lv,www.uddeholm.com,+371 67702133,"Piedrujas iela 7, Rīga, LV-1073",96,https://www.masoc.lv/en/members/member-database/96
TETRALIA,alex@marmors.lv,www.tetralia.lv,+371 67146580,"Gaismas 11, Stūnīši, Olaines nov., LV-2127",518,https://www.masoc.lv/en/members/member-database/518
TIBNOR LATVIA,metals.lv@tibnor.com,www.tibnor.lv,+371 29187841,"Ābelīšu iela 2, Mārupe, Mārupes nov., LV-2167",534,https://www.masoc.lv/en/members/member-database/534
TIKKURILA,tla-info.lv@ppg.com,www.tikkurila.lv,+371 67611135,"Krūzes iela 23 K-3, Rīga, LV-1046",538,https://www.masoc.lv/en/members/member-database/538
TKL,edgars@tkl.lv,www.tkl.lv,+371 29139885,"Ūnijas iela 12, Rīga, LV-1084",356,https://www.masoc.lv/en/members/member-database/356
TOGET,toget@toget.lv,www.toget.lv,+371 27276018,"Rožu pr.48B, Garkalnes pag., Ropažu nov., LV-1024",619,https://www.masoc.lv/en/members/member-database/619
TORGY BALTIC,torgy.baltic@torgy.no,www.torgy.no,+371 63084888,"Eglaines iela 13, Ozolnieki, Ozolnieku pag., Jelgavas nov., LV-3018",466,https://www.masoc.lv/en/members/member-database/466
