No.,Công ty,Chức danh,Người liên hệ,SĐT,Liên Hệ,Email,Liên Hệ mail,Địa chỉ,Lương,Ngày đăng,Hạn tuyển,Check gửi,Last Subject,Last Body HTML,Trạng thái Reply,Lần Follow-up,Ngày Follow-up gần nhất,Mailbox đã dùng,Category
33,"Salas zivis, SIA",,,'67073611,https://salas-zivis.com/,info@salas-zivis.com,,"Lidoņu iela 6C, Kurzemes rajons, Rīga, LV-1055, Latvija",,,,,,,,0,,,Nhà bán buôn hải sản
34,Akva Ferma,,,'26785118,https://uzv.su/akvaferma/,info@catfish.lv,,"Dainas, Salaspils pag, Salaspils nov, Salaspils, LV-2121, Latvija",,,,,,,,0,,,Trại cá
35,SIA MSDM,,,'25121578,https://www.uzkodulaiks.lv/,uzkodulaiks@gmail.com,,"Silmaļu iela 19, Salaspils, Salaspils pilsēta, Salaspils novads, LV-2121, Latvija",,,,,,,,0,,,Nhà bán buôn hải sản
36,Zivju māja Skangaļi,,,'25707979,http://zivjumaja.lv/,skangaluzivis@gmail.com,,"Skangaļi, Liepas pagasts, Cēsu novads, LV-4128, Latvija",,,,,,,,0,,,Trại cá
37,"Gundegas IP, IU",,,'29413089,,,,"Vecgaujas iela 20, Vecgaujas 20, Carnikavas pagasts, Ādažu novads, LV-2163, Latvija",,,,,,,,0,,,Công ty chế biến cá
38,DTRIM Grupp LV,,,'20039259,,,,"Traleru iela 32, Ziemeļu rajons, Rīga, LV-1030, Latvija",,,,,,,,0,,,Công ty chế biến cá
39,TheFish.lv,,,'27060599,,,,"Robežnieku iela 7, Mārupe, Mārupe pilsēta, Mārupes novads, LV-2167, Latvija",,,,,,,,0,,,Công ty chế biến cá
40,"SIA ""VIDO"" zivju produkcijas ražošanas uzņēmums",,,'63487746,,,,"Nākotnes iela 22, Liepāja, LV-3402, Latvija",,,,,,,,0,,,Công ty chế biến cá
41,"Krupis, SIA",,,'26378048,,,,"Zvejnieku iela 22, Carnikava, Carnikavas pagasts, Ādažu novads, LV-2163, Latvija",,,,,,,,0,,,Công ty chế biến cá
42,"""Jūraslīcis""",,,,,,,"Bulduru prospekts 139, Jūrmala, LV-2010, Latvija",,,,,,,,0,,,Nhà máy đồ hộp
43,"Zvejnieku kolhozs ""Uzvara"" / ""Jūraslīcis""",,,,,,,"Lašu iela 13, Jūrmala, LV-2010, Latvija",,,,,,,,0,,,Nhà máy đồ hộp
44,Ciemupes zivju dīķi,,,'29267606,,,,"Priežu iela, Ciemupe, Ogresgala pagasts, Ogres novads, LV-5041, Latvija",,,,,,,,0,,,Trại cá
45,Zivs uz ledus,,,'29129951,,,,"Jaunciedras, Ropaži, Ropažu pagasts, Ropažu novads, LV-2135, Latvija",,,,,,,,0,,,Trại nuôi trồng thủy sản
46,Akva Systems Ltd,,,'26686172,,,,"Kalniešu pagasts, Krāslavas novads, LV-5660, Latvija",,,,,,,,0,,,Trại nuôi trồng thủy sản
47,Z/S Pavāri,,,,,,,"Grenctāles pienotava, Brunavas pagasts, Bauskas novads, LV-3907, Latvija",,,,,,,,0,,,Trại nuôi trồng thủy sản
48,"LIEPĀJAS ZIVJU KONSERVU RŪPNĪCA , A/S",,,,,,,"Liepāja, LV-3401, Latvija",,,,,,,,0,,,Nhà sản xuất
49,"Bauskas konservi, SIA",,,'26511343,,,,"Selani, Uzvara, LV-3931, Latvija",,,,,,,,0,,,Nhà máy đồ hộp
50,Zivis - Fish Seller,,,,,,,"Sudrabkalni, Mazirbe, Kolkas pagasts, Talsu novads, LV-3275, Latvija",,,,,,,,0,,,Trại cá
51,Pure Fish SIA,,,'29230400,,,,"Gravu dzirnavezers Gravas, Pūres pagasts, LV-3124, Latvija",,,,,,,,0,,,Trại cá
52,Bij. Valdemārpils zivju mazuļu audzētava,,,,,,,"Silkrasti Plus, Ārlavas pagasts, Talsu novads, LV-3260, Latvija",,,,,,,,0,,,Trại cá
53,La Trota,,,'26587402,,,,"CF52+WM, Sarkaņi, Liepas pagasts, Cēsu novads, LV-4128, Latvija",,,,,,,,0,,,Trại cá
54,Alūksnes novadā Ziemeru pagasts,,,,,,,"Jaunpiecāni, Kalsnavas pagasts, Madonas novads, LV-4860, Latvija",,,,,,,,0,,,Trại cá
55,Bij. Pitraga Zivju pārstrādes cehs,,,,,,,"Kukšupītes, Pitrags, Kolkas pagasts, Talsu novads, LV-3275, Latvija",,,,,,,,0,,,Công ty chế biến cá
56,Dižjūras zivis,,,,,,,"Kūvali, Lūžņa, Tārgales pagasts, Ventspils novads, LV-3601, Latvija",,,,,,,,0,,,Công ty chế biến cá
57,Agro Holding Vidzeme,,,,,,,"Vidusģūģeri, Vaives pagasts, Cēsu novads, LV-4136, Latvija",,,,,,,,0,,,Trại nuôi trồng thủy sản
58,"Kārļi, Zivju audzētava",,,'64129452,,,,"Drabešu pagasts, Cēsu novads, LV-4139, Latvija",,,,,,,,0,,,
59,Zentenes Zivju Kombināts,,,'25982439,http://konservi.ru/,,,"Lastādijas iela 20-2, Latgales priekšpilsēta, Rīga, LV-1050, Latvija",,,,,,,,0,,,Pārtikas ražotājs
60,"Sia ""Dagi"" zivju pārstrādes cehs",,,,,,,"Unnamed Road, Lēdmane, Lēdmanes pagasts, Ogres novads, LV-5011, Latvija",,,,,,,,0,,,Nhà sản xuất
61,"Kaija ZS , kooperatīvā sabiedrība, Laivu novietne",,,'29682663,,,,"Ezermalas iela 4, Liepāja, LV-3401, Latvija",,,,,,,,0,,,Công ty chế biến cá
62,Baņķis,,,'26455519,,,,"Pērnavas iela 55, Salacgrīva, Salacgrīva pilsēta, Limbažu novads, LV-4033, Latvija",,,,,,,,0,,,Công ty chế biến cá
63,"SIA ""Nidaros Seafood Latvia""",,,'28936462,,,,"Miera iela 3, Roja, Rojas pagasts, Talsu novads, LV-3264, Latvija",,,,,,,,0,,,Công ty chế biến cá
64,Zivju saldētava,,,,,,,"Talsu iela 200, Ventspils, LV-3601, Latvija",,,,,,,,0,,,Nhà sản xuất
65,CEA Farm SIA,,,'25703358,https://www.ceafarming.com/,,,"Vecozoli, k-11, Zaķumuiža, Ropažu novads, LV-2133, Latvija",,,,,,,,0,,,Trại nuôi trồng thủy sản
66,"Grīva, SIA",,,'29546946,https://infolapa.zl.lv/griva-sia/,,,"Lielais prospekts 18-60, Ventspils, LV-3601, Latvija",,,,,,,,0,,,Nhà bán buôn hải sản
67,"Roze GV, SIA",,,'64120449,http://www.rozegv.lv/,,,"Eduarda Veidenbauma iela 12, Cēsis, Cēsis pilsēta, Cēsu novads, LV-4101, Latvija",,,,,,,,0,,,Nhà bán buôn hải sản
68,JSC Ventspils ZKK,,,'25448265,http://www.vzkk.lv/,,,"Enkuru iela 12, Ventspils, LV-3601, Latvija",,,,,,,,0,,,Công ty chế biến cá
69,AK Zivs ražotne,,,,,,,57.4708089,,,,,,,,0,,,
70,"Rēzeknes piena konservu rūpnīca , SIA",,,,,,,56.9604591,,,,,,,,0,,,
71,Mari Magno SIA,,,,,,,56.9324509,,,,,,,,0,,,
72,IK Garda Zive,,,,,,,57.7434787,,,,,,,,0,,,
73,Amberfish,,,'10,,,,56.9630691,,,,,,,,0,,,
74,Akva Agro,,,'48,25,,,56.8916377,,,,,,,,0,,,
75,Khan Caviar,,,'27,,,,57.0054878,,,,,,,,0,,,
