orgnr,name,legal_name,phone,phone_all,email,website,address,postal_code,city,municipality,county,region,employees,contact_name,contact_role,revenue,profit,currency,status,company_id,proff_url,brreg_url,Check gui,nace_code,nace_name,legal_form,status_brreg
'933022897,Best Work Trondheim AS,Best Work Trondheim AS,,,,https://www.bestwork.no,Kokstadvegen 46,5257,Kokstad,Bergen,Vestland,Vestlandet,36,Jakub Solawa,Daglig leder,2518,-505,NOK,,IFFHX2P10LU-2,https://www.proff.no/selskap/best-work-trondheim-as/kokstad/arbeidskrafttjenester/IFFHX2P10LU-2,https://virksomhet.brreg.no/nb/oppslag/enheter/933022897,,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'932970872,Ø.Hansen AS,Ø.Hansen AS,,,,,Sørlandsveien 54,8624,Mo I Rana,Rana,Nordland,Nord-Norge,1 - 4,Øyvind Hansen,Daglig leder,807,55,NOK,,IFFGSXK10LU,https://www.proff.no/selskap/%C3%B8.hansen-as/mo-i-rana/arbeidskrafttjenester/IFFGSXK10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/932970872,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'935767997,Trio Bemanning AS,Trio Bemanning AS,'+4790684542,,team@triobemanning.no,https://www.triobemanning.no/,Eikeleinstien 28,3472,Bødalen,Asker,Akershus,Østlandet,15,Elin Evensen Næsje,Daglig leder,483,37,NOK,,IFH4R7H10LU,https://www.proff.no/selskap/trio-bemanning-as/b%C3%B8dalen/arbeidskrafttjenester/IFH4R7H10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/935767997,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'983802842,Executive Search Research AS,Executive Search Research AS,'24118656,'24118656,,http://www.esr.global/,Klingenberggata 7 A,0161,Oslo,Oslo,Oslo,Østlandet,1 - 4,Dagfinn Christian Schøyen,Daglig leder,4823,61,NOK,,IG9QB4Q10LU-2,https://www.proff.no/selskap/executive-search-research-as/oslo/arbeidskrafttjenester/IG9QB4Q10LU-2,https://virksomhet.brreg.no/nb/oppslag/enheter/983802842,,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'933164896,Best Work Bergen AS avd Kokstad,Best Work Bergen AS avd Kokstad,,,,https://www.bestwork.no,Kokstadvegen 46,5257,Kokstad,Bergen,Vestland,Vestlandet,147,,,,,NOK,,IFFLD3P10LU,https://www.proff.no/selskap/best-work-bergen-as-avd-kokstad/kokstad/arbeidskrafttjenester/IFFLD3P10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/933164896,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'911707128,Q10 Personell AS,Q10 Personell AS,'47 47 55 10,'47 47 55 10,post@q-10.no,https://q-10.no,Sverdrups gate 21,4007,Stavanger,Stavanger,Rogaland,Vestlandet,31,Tord Løberg,Daglig leder,18666,523,NOK,,IF2T1Q010LU,https://www.proff.no/selskap/q10-personell-as/stavanger/arbeidskrafttjenester/IF2T1Q010LU,https://virksomhet.brreg.no/nb/oppslag/enheter/911707128,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'998413281,Barona AS avd Drammen,Barona AS avd Drammen,,,post@mploy.no,https://www.mploy.no,Kobbervikdalen 69,3036,Drammen,Drammen,Buskerud,Østlandet,143,,,,,NOK,,IGIG3JA10LU,https://www.proff.no/selskap/barona-as-avd-drammen/drammen/arbeidskrafttjenester/IGIG3JA10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/998413281,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'915598056,Safe Bemanning AS,Safe Bemanning AS,'454 26 370,'454 26 370,elin@safebemanning.no,https://safebemanning.no,Hardangervegen 72,5224,Nesttun,Bergen,Vestland,Vestlandet,342,Petter Ødemark,Daglig leder,126844,8779,NOK,,IF54FZC10LU,https://www.proff.no/selskap/safe-bemanning-as/nesttun/arbeidskrafttjenester/IF54FZC10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/915598056,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'831087722,Humano AS,Humano AS,'+4794423194,,frida@humano.no,https://www.humano.no,Luramyrveien 17,4313,Sandnes,Sandnes,Rogaland,Vestlandet,1 - 4,Vivian Camilie Saghbini,Daglig leder,2672,-616,NOK,,IDQT3E210LU,https://www.proff.no/selskap/humano-as/sandnes/arbeidskrafttjenester/IDQT3E210LU,https://virksomhet.brreg.no/nb/oppslag/enheter/831087722,OK,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'991341145,Cruit AS,Cruit AS,'21424272,'21424272,post@cruit.no,https://cruit.no,Karl Johans gate 25,0159,Oslo,Oslo,Oslo,Østlandet,25,Anne Kathrine Jørve Hagen,Daglig leder,28432,-1161,NOK,,IGE7VQ110LU,https://www.proff.no/selskap/cruit-as/oslo/arbeidskrafttjenester/IGE7VQ110LU,https://virksomhet.brreg.no/nb/oppslag/enheter/991341145,OK,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'984954980,Offshore Partner AS,Offshore Partner AS,'+4753400400,,post@offshorepartner.no,https://www.offshorepartner.no/,Hatlandsmyro 19,5412,Stord,Stord,Vestland,Vestlandet,73,,,,,NOK,,IGERS0O10LU,https://www.proff.no/selskap/offshore-partner-as/stord/arbeidskrafttjenester/IGERS0O10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/984954980,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'923748830,Lys Bemanning AS,Lys Bemanning AS,'94810630,'94810630,,,Skrenten 15,6411,Molde,Molde,Møre og Romsdal,Vestlandet,134,Øystein Lona Svendsen,Daglig leder,47729,1355,NOK,,IF9Z55Q10LU,https://www.proff.no/selskap/lys-bemanning-as/molde/arbeidskrafttjenester/IF9Z55Q10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/923748830,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'934195175,Uteliv Partner,Vaca Meneses Consulting,'979 40 668,'979 40 668,post@utelivpartner.no,https://utelivpartner.no,Eikelundveien 7,2007,Kjeller,Lillestrøm,Akershus,Østlandet,,Paul Esteban Vaca Meneses,Innehaver,,,NOK,,IFG71LZ10LU,https://www.proff.no/selskap/uteliv-partner/kjeller/arbeidskrafttjenester/IFG71LZ10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/934195175,OK,78.100,Rekruttering og formidling av arbeidskraft,ENK,Aktiv
'936244319,Conexa AS,Conexa AS,,,,,Sverdrups gate 21,4007,Stavanger,Stavanger,Rogaland,Vestlandet,1 - 4,Mikal Brovold Løberg,Daglig leder,558,102,NOK,,IFHEYQN10LU-2,https://www.proff.no/selskap/conexa-as/stavanger/arbeidskrafttjenester/IFHEYQN10LU-2,https://virksomhet.brreg.no/nb/oppslag/enheter/936244319,,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'929246063,Eiendomstalenter AS,Eiendomstalenter AS,'+4793280295,,kontakt@eiendomstalenter.no,https://eiendomstalenter.no/,Hansteens gate 12 A,0253,Oslo,Oslo,Oslo,Østlandet,,Malene Heiestad Tunold,Daglig leder,1707,240,NOK,,IFD8YUN10LU,https://www.proff.no/selskap/eiendomstalenter-as/oslo/arbeidskrafttjenester/IFD8YUN10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/929246063,,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'877218392,Lier ASVO AS,Lier Asvo Holding AS,'32859660,'32859660,karriere@lier-asvo.no,https://www.lier-asvo.no,Kjellstadveien 11,3402,Lier,Lier,Buskerud,Østlandet,1 - 4,Marthe Marie Skaset,Daglig leder,12643,462,NOK,,IEI9U1K10LU,https://www.proff.no/selskap/lier-asvo-as/lier/arbeidskrafttjenester/IEI9U1K10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/877218392,OK,88.993,Arbeidstrening og varig tilrettelagt arbeid,AS,Aktiv
'924266287,Jobbklar Utvikling AS,Jobbklar Utvikling AS,'37056500,'37056500,post@jobbklar.no,https://jobbklar.no,Bedriftsveien 9,4841,Arendal,Arendal,Agder,Sørlandet,82,Maja Zachariassen Lindtveit,Daglig leder,123563,9158,NOK,,IFAA8FJ10LU,https://www.proff.no/selskap/jobbklar-utvikling-as/arendal/arbeidskrafttjenester/IFAA8FJ10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/924266287,OK,88.993,Arbeidstrening og varig tilrettelagt arbeid,AS,Aktiv
'975868745,Karmøy Bygdeservice Sa,Karmøy Bygdeservice Sa,'92708525,'92708525,post@kbssa.no,https://www.karmoy-bygdeservice.no,,,,,,,8,,,,,NOK,,IG5AEWJ10LU,https://www.proff.no/selskap/karm%C3%B8y-bygdeservice-sa/-/arbeidskrafttjenester/IG5AEWJ10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/975868745,OK,78.100,Rekruttering og formidling av arbeidskraft,SA,Aktiv
'925374989,Fjord Staff AS,Fjord Staff AS,'48281338,'48281338,,https://fjordstaff.no/,Bjørnset 20,6910,Florø,Kinn,Vestland,Vestlandet,33,Niklas Juhani Kumenius,Daglig leder,4355,354,NOK,,IFAXZWT10LU-2,https://www.proff.no/selskap/fjord-staff-as/flor%C3%B8/arbeidskrafttjenester/IFAXZWT10LU-2,https://virksomhet.brreg.no/nb/oppslag/enheter/925374989,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'998335205,Veidekke Entreprenad Ab Nuf,Veidekke Entreprenad Ab Nuf,,,,,Svetsarvägen 12 SE-17141 SOLNA,,,,,,1 - 4,,,6482266,144871,SEK,,IGIDSDH10LU,https://www.proff.no/selskap/veidekke-entreprenad-ab-nuf/-/arbeidskrafttjenester/IGIDSDH10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/998335205,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,NUF,Aktiv
'984909020,Nes Advantage Solutions AS,Nes Advantage AS,'56999829,'56999829,,https://www.nesadvantage.com/,Oksenøyveien 10,1366,Lysaker,Bærum,Akershus,Østlandet,552,Jens Michael Mellbye,Daglig leder,2250320,38020,NOK,,IGAE0NW10LU,https://www.proff.no/selskap/nes-advantage-solutions-as/lysaker/arbeidskrafttjenester/IGAE0NW10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/984909020,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'992911700,Norwegian Crew Services AS avd Lysaker,Norwegian Crew Services AS avd Lysaker,'+4767593000,,,,Oksenøyveien 3,1366,Lysaker,Bærum,Akershus,Østlandet,37,,,,,NOK,,IF4L7HI10LU,https://www.proff.no/selskap/norwegian-crew-services-as-avd-lysaker/lysaker/arbeidskrafttjenester/IF4L7HI10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/992911700,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'988996564,Bilfinger Norway AS Avd Porsgrunn Utleie,Bilfinger Norway AS Avd Porsgrunn Utleie,,,post-bem.no@bilfinger.com,https://www.bilfinger.com,Hydrovegen 91,3936,Porsgrunn,Porsgrunn,Telemark,Østlandet,,,,,,NOK,,IEQCOR410LU,https://www.proff.no/selskap/bilfinger-norway-as-avd-porsgrunn-utleie/porsgrunn/arbeidskrafttjenester/IEQCOR410LU,https://virksomhet.brreg.no/nb/oppslag/enheter/988996564,OK,33.120,Reparasjon og vedlikehold av maskiner,AS,Aktiv
'920968201,Manpower AS,Manpower AS avd Ålesund,'22018000,'22018000,,,Keiser Wilhelms gate 34,6003,Ålesund,Ålesund,Møre og Romsdal,Vestlandet,135,,,,,NOK,,IG5VVJF10LU,https://www.proff.no/selskap/manpower-as/%C3%A5lesund/arbeidskrafttjenester/IG5VVJF10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/920968201,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'935333156,Adecco Norge AS avd Grenland,Adecco Norge AS avd Grenland,'+4723290000,,info@adecco.no,https://www.adecco.no,Vestre Buktenveg 21,3736,Skien,Skien,Telemark,Østlandet,9,,,,,NOK,,IGABJ7Z10LU,https://www.proff.no/selskap/adecco-norge-as-avd-grenland/skien/arbeidskrafttjenester/IGABJ7Z10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/935333156,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'989128639,Nes Fircroft Norge AS,Nes Fircroft Norge AS,'52972127,'52972127,,https://www.nesglobaltalent.no,Luramyrveien 40,4313,Sandnes,Sandnes,Rogaland,Vestlandet,199,Jens Michael Mellbye,Daglig leder,1333547,8948,NOK,,IGCWGJJ10LU,https://www.proff.no/selskap/nes-fircroft-norge-as/sandnes/arbeidskrafttjenester/IGCWGJJ10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/989128639,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'989958135,Ework Group Norway AS,Ework Group Norway AS,'22403620,'22403620,,,Øvre Slottsgate 2 B,0157,Oslo,Oslo,Oslo,Østlandet,22,Kjetil Amundsen,Daglig leder,1236912,9729,NOK,,IGDE8L310LU,https://www.proff.no/selskap/ework-group-norway-as/oslo/arbeidskrafttjenester/IGDE8L310LU,https://virksomhet.brreg.no/nb/oppslag/enheter/989958135,,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'983032222,Jobzone Norge AS avd Fosen,Jobzone Norge AS avd Fosen,'+4721526400,,firmapost@jobzone.no,,Meieriveien 5,7130,Brekstad,Ørland,Trøndelag,Midt-Norge,,,,,,NOK,,IF3A1A310LU,https://www.proff.no/selskap/jobzone-norge-as-avd-fosen/brekstad/arbeidskrafttjenester/IF3A1A310LU,https://virksomhet.brreg.no/nb/oppslag/enheter/983032222,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'912630714,Dovre Solutions AS avd Stavanger Utleie Arbeidskraft,Dovre Solutions AS avd Stavanger Utleie Arbeidskraft,,,,,Sandvigå 2,4007,Stavanger,Stavanger,Rogaland,Vestlandet,116,,,,,NOK,,IG9MKZ210LU,https://www.proff.no/selskap/dovre-solutions-as-avd-stavanger-utleie-arbeidskraft/stavanger/arbeidskrafttjenester/IG9MKZ210LU,https://virksomhet.brreg.no/nb/oppslag/enheter/912630714,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'989205684,Haltbakk Group AS,Haltbakk Group AS,'91597163,'91597163,gunnar@familygran.no,,Conrad Mohrs veg 25,5072,Bergen,Bergen,Vestland,Vestlandet,,Gunnar Gran,Daglig leder,836248,48940,NOK,,IGCY3ZO10LU,https://www.proff.no/selskap/haltbakk-group-as/bergen/arbeidskrafttjenester/IGCY3ZO10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/989205684,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'923329404,Yabimo Norge AS avd Stord,Yabimo Norge AS avd Stord,,,,,Bjellandsvegen 73,5411,Stord,Stord,Vestland,Vestlandet,819,,,,,NOK,,IF9TNY710LU,https://www.proff.no/selskap/yabimo-norge-as-avd-stord/stord/arbeidskrafttjenester/IF9TNY710LU,https://virksomhet.brreg.no/nb/oppslag/enheter/923329404,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'898125882,Sec Norge AS avd Verdal,Sec Norge AS avd Verdal,,,info@secgrupa.com,,Prof Ryghs gate 16,7650,Verdal,Verdal,Trøndelag,Midt-Norge,24,,,,,NOK,,IFG1R2I10LU,https://www.proff.no/selskap/sec-norge-as-avd-verdal/verdal/arbeidskrafttjenester/IFG1R2I10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/898125882,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'990060142,Wns Pomorze,Wns Pomorze Sp. Z O.O NUF,'98085704,'98085704,info@novumc.com,http://wnspomorze.pl/kontakt/,,3400,Lier,,,,840,Ewa Renata Kaliszewska,Styrets leder,779518,75101,NOK,,IGDGFAM10LU,https://www.proff.no/selskap/wns-pomorze/lier/arbeidskrafttjenester/IGDGFAM10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/990060142,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,NUF,Aktiv
'982742765,Personalhuset Staffing Group AS avd Hrc,Personalhuset Staffing Group AS avd Hrc,'+4723897100,,personalhuset@personalhuset.no,,Norevegen 7,5542,Karmsund,Karmøy,Rogaland,Vestlandet,,,,,,NOK,,IGA515H10LU,https://www.proff.no/selskap/personalhuset-staffing-group-as-avd-hrc/karmsund/arbeidskrafttjenester/IGA515H10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/982742765,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'982529786,DEDICARE AS,Dedicare AS,'21631760,'21631760,lisa.dybvad@dedicare.no,https://www.dedicare.no,Stokmovegen 2,7500,Stjørdal,Stjørdal,Trøndelag,Midt-Norge,2761,,,,,NOK,,IG90CP110LU,https://www.proff.no/selskap/dedicare-as/stj%C3%B8rdal/arbeidskrafttjenester/IG90CP110LU,https://virksomhet.brreg.no/nb/oppslag/enheter/982529786,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'996540812,Seadrill Norway Crew AS,Seadrill Norway Crew AS,,,,,Øvre Strandgate 124,4005,Stavanger,Stavanger,Rogaland,Vestlandet,154,Per Gøran Breivik,Daglig leder,713473,30683,USD,,IGHBBT810LU,https://www.proff.no/selskap/seadrill-norway-crew-as/stavanger/arbeidskrafttjenester/IGHBBT810LU,https://virksomhet.brreg.no/nb/oppslag/enheter/996540812,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'924924489,Ventor Energi Norge AS avd Stavanger Skolevollen,Ventor Energi Norge AS avd Stavanger Skolevollen,,,,,Skolevollen 12 B,4017,Stavanger,Stavanger,Rogaland,Vestlandet,52,,,,,NOK,,IFFX3YT10LU,https://www.proff.no/selskap/ventor-energi-norge-as-avd-stavanger-skolevollen/stavanger/arbeidskrafttjenester/IFFX3YT10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/924924489,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'993061832,Fosdalen AS avd Steinkjer,Fosdalen AS avd Steinkjer,'+4796918507,,fas@fosdalen.no,https://www.fosdalen.no,Kongens gate 12,7715,Steinkjer,Steinkjer,Trøndelag,Midt-Norge,616,,,,,NOK,,IGF8Y5O10LU,https://www.proff.no/selskap/fosdalen-as-avd-steinkjer/steinkjer/arbeidskrafttjenester/IGF8Y5O10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/993061832,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'990566739,PSW TECHNOLOGY AS,Psw Technology AS avd Utleie,'55707090,'55707090,,http://www.psw.no/,Storemyra 247,5954,Mongstad,Alver,Vestland,Vestlandet,,,,,,NOK,,IF8QN5C10LU,https://www.proff.no/selskap/psw-technology-as/mongstad/arbeidskrafttjenester/IF8QN5C10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/990566739,,09.109,Andre tjenester tilknyttet utvinning av råolje og naturgass,AS,Aktiv
'988251399,Ts Group AS avd Aukra,Ts Group AS avd Aukra,,,post@tsgroup.com,https://www.tsgroup.com,Nyhamna,6480,Aukra,Aukra,Møre og Romsdal,Vestlandet,11,,,,,NOK,,IET1Y9U10LU,https://www.proff.no/selskap/ts-group-as-avd-aukra/aukra/arbeidskrafttjenester/IET1Y9U10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/988251399,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
