No.,Cong ty,Chuc danh,Nguoi lien he,SDT,Lien He,Email,Lien He mail,Dia chi,Luong,Ngay dang,Han tuyen,Check gui,Last Subject,Last Body HTML,Trang thai Reply,Lan Follow-up,Ngay Follow-up gan nhat,Mailbox da dung,Category,Link FB
24,AGILENT TECHNOLOGIES DENMARK ApS,,,+4544859500,https://www.proff.dk/firma/agilent-technologies-denmark-aps/glostrup/arbejdskrafts-tjenester/GMI26KI10LU,glostrup.reception@agilent.com,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
25,NORDIC MEDICARE A/S,,,+4539654823,https://www.proff.dk/firma/nordic-medicare-as/rungsted-kyst/arbejdskrafts-tjenester/0JIFBYI10LU,niels@nordicmedicare.eu,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
26,DMA INTERNATIONAL ApS,,,20334232,https://www.proff.dk/firma/dma-international-aps/r%C3%B8dovre/arbejdskrafts-tjenester/0G9O2VI10LU,dma@dma-international.com,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
27,Dedicare A/S,,,+4553864646,https://www.proff.dk/firma/dedicare-as/kastrup/arbejdskrafts-tjenester/GZ8PM4I10LU,info@dedicare.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
28,Din Hjælperordning ApS,,,25748384,https://www.proff.dk/firma/din-hj%C3%A6lperordning-aps/frederiksberg-c/arbejdskrafts-tjenester/0LZR1YI10LU,dho@dho.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
29,VIKAR DK A/S,,,+4575666060,https://www.proff.dk/firma/vikar-dk-as/horsens/arbejdskrafts-tjenester/0K9QSSI10LU,bogholderi@vikardk.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
30,JobTeam A/S,,,75452020,https://www.proff.dk/firma/jobteam-as/herning/arbejdskrafts-tjenester/GZK3Z6I10LU,bogholderi@jobteam.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
31,ASSISTANCE HR PARTNERS A/S,,,+4533550090,https://www.proff.dk/firma/assistance-hr-partners-as/holeby/arbejdskrafts-tjenester/GUJKINI10LU,info@assistance.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
32,Medarbejderne ApS,,,+4587800888,https://www.proff.dk/firma/medarbejderne-aps/fredericia/arbejdskrafts-tjenester/H2DADQI10LU,info@medarbejderne.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
33,PEAS ApS,,,+4564791222,https://www.proff.dk/firma/peas-aps/assens/arbejdskrafts-tjenester/0JG9UPI10LU,paw@phheims.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
34,Q-STAR Energy A/S,,,+4570101022,https://www.proff.dk/firma/q-star-energy-as/esbjerg/arbejdskrafts-tjenester/093NZSI10LU,mail@q-star.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
35,Anzet A/S,,,+4573707078,https://www.proff.dk/firma/anzet-as/n%C3%A6stved/arbejdskrafts-tjenester/0ONGH8I10LU,kd@anzet.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
36,FlexTemp ApS,,,+4570605564,https://www.proff.dk/firma/flextemp-aps/aalborg/arbejdskrafts-tjenester/0QANN8I10LU,kontakt@flextemp.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
37,HumanizeR Kolding,,,+4553531199,https://www.proff.dk/firma/humanizer-kolding/kolding/arbejdskrafts-tjenester/GX8ETYI10LU,humanizer@pshr.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
38,STUDENTCONSULTING DANMARK ApS,,,+4560103070,https://www.proff.dk/firma/studentconsulting-danmark-aps/aarhus-c/arbejdskrafts-tjenester/GXG07MI10LU,ekonomi@studentconsulting.com,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
39,VICOS ApS,,,+4570201209,https://www.proff.dk/firma/vicos-aps/esbjerg/arbejdskrafts-tjenester/0MZZMNI10LU,mail@vicos.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
40,VIKARRINGEN ApS,,,+4561686169,https://www.proff.dk/firma/vikarringen-aps/glostrup/arbejdskrafts-tjenester/0K3AADI10LU,jl@vikarringen.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
41,Eurojob Denmark ApS,,,+4588448244,https://www.proff.dk/firma/eurojob-denmark-aps/skjern/arbejdskrafts-tjenester/0MEV7CI10LU,info@eurojobdk.com,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
42,Heidrick & Struggles A/S,,,33140155,https://www.proff.dk/firma/heidrick-struggles-as/k%C3%B8benhavn-k/arbejdskrafts-tjenester/066VGHI10LU,copenhagen@amrop.com,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
43,A priori ApS,,,+4593404848,https://www.proff.dk/firma/a-priori-aps/aarhus-v/arbejdskrafts-tjenester/0P473WI10LU,kontakt@a-priori.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
44,"Jysk VIkarservice A/S, Randers",,,+4570121204,https://www.proff.dk/firma/jysk-vikarservice-as-randers/randers-sv/arbejdskrafts-tjenester/H0PA55I10LU,regnskab@jvs.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
45,RANDSTAD A/S,,,+4570109100,https://www.proff.dk/firma/randstad-as/kolding/arbejdskrafts-tjenester/GPLZXAI10LU,randstad@randstad.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
46,R.S. GRUPPEN ApS,,,+4527724094,https://www.proff.dk/firma/r.s.-gruppen-aps/horsens/arbejdskrafts-tjenester/0JO2VBI10LU,rsgruppen@rsgruppen.biz,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
47,Instaservice ApS,,,53533464,https://www.proff.dk/firma/instaservice-aps/aalborg-%C3%B8st/arbejdskrafts-tjenester/H11O1TI10LU,info@instaservice.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
48,Lufthavnsvikar & Rekrutteringsservice Grønland,,,+4521390080,https://www.proff.dk/firma/lufthavnsvikar-rekrutteringsservice-gr%C3%B8nland/nuuk/arbejdskrafts-tjenester/H0YDG8I10LU,kontakt@lufthavnsvikar.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
49,ACTIVCARE A/S,,,+4570203000,https://www.proff.dk/firma/activcare-as/odense-s/arbejdskrafts-tjenester/GOJKSUI10LU,okonomi@activcare.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
50,PÆDAGOGISK VIKARBUREAU ApS,,,+4570271218,https://www.proff.dk/firma/p%C3%A6dagogisk-vikarbureau-aps/k%C3%B8benhavn-v/arbejdskrafts-tjenester/060AJHI10LU,pvb@pvb.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
51,Euro DK Service Aps,,,65303107,https://www.proff.dk/firma/euro-dk-service-aps/aalborg-%C3%B8st/arbejdskrafts-tjenester/GWSWCKI10LU,az@euro-dk.com,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
52,TEMP TEAM A/S,,,+4570100944,https://www.proff.dk/firma/temp-team-as/aalborg/arbejdskrafts-tjenester/H0M3MQI10LU,info.herning@temp-team.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
53,3 S ApS,,,+4520777751,https://www.proff.dk/firma/3-s-aps/kalundborg/arbejdskrafts-tjenester/GRDEBXI10LU,3s@3saps.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
54,Selskabet af 03.06.2022 ApS,,,+4521524802,https://www.proff.dk/firma/selskabet-af-03.06.2022-aps/skive/arbejdskrafts-tjenester/0L29V2I10LU,ata@jtworks.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
55,Profil Match Projects ApS,,,+4533323314,https://www.proff.dk/firma/profil-match-projects-aps/glostrup/arbejdskrafts-tjenester/0N501LI10LU,sj@profilmatch.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
56,YOUR PARTNER ApS,,,63310390,https://www.proff.dk/firma/your-partner-aps/nyborg/arbejdskrafts-tjenester/0EXI9UI10LU,charlotte@yourpartner.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
57,Psykiatri Plus A/S Omsorg,,,+4570210211,https://www.proff.dk/firma/psykiatri-plus-as-omsorg/vejle/arbejdskrafts-tjenester/GXQ33QI10LU,info@psykiatriplus.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
58,WOSS ApS,,,+4525114402,https://www.proff.dk/firma/woss-aps/odense-n%C3%B8/arbejdskrafts-tjenester/0IYZ4TI10LU,mail@woss.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
59,Vikarcompagniet ApS Fredericia,,,+4570271027,https://www.proff.dk/firma/vikarcompagniet-aps-fredericia/fredericia/arbejdskrafts-tjenester/GXFEPAI10LU,ak@vikar-compagniet.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
60,AjourCare ApS - Kbh,,,+4555341400,https://www.proff.dk/firma/ajourcare-aps-kbh/stenl%C3%B8se/arbejdskrafts-tjenester/GW43G8I10LU,mail@ajourcare.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
61,TOP PARTNERS A/S,,,+4558500781,https://www.proff.dk/firma/top-partners-as/slagelse/arbejdskrafts-tjenester/0I6B0BI10LU,lon@toppartners.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
62,DSB EJENDOMSUDVIKLING A/S,,,+4570131415,https://www.proff.dk/firma/dsb-ejendomsudvikling-as/taastrup/arbejdskrafts-tjenester/0ITYTII10LU,ejendomme@dsb.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
63,Imploy ApS,,,+4550342100,https://www.proff.dk/firma/imploy-aps/herlev/arbejdskrafts-tjenester/0OT2LSI10LU,kontakt@imploy.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
64,THRANE ERHVERV A/S,,,+4598255256,https://www.proff.dk/firma/thrane-erhverv-as/vodskov/arbejdskrafts-tjenester/0HDF0SI10LU,info@thrane-erhverv.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
65,PROFOX ApS,,,+4572344622,https://www.proff.dk/firma/profox-aps/svenstrup-j/arbejdskrafts-tjenester/GRGKLHI10LU,info@profox.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
66,"Konsulenthuset Ballisager, Nordhavn",,,+4570294050,https://www.proff.dk/firma/konsulenthuset-ballisager-nordhavn/k%C3%B8benhavn-%C3%B8/arbejdskrafts-tjenester/H2T75TI10LU,jeg@ballisager.com,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
67,LUBI ApS,,,+4554588417,https://www.proff.dk/firma/lubi-aps/slagelse/arbejdskrafts-tjenester/0OK17OI10LU,hanshenrik@lubitransport.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
68,POWER PEOPLE DANMARK ApS,,,+4598121292,https://www.proff.dk/firma/power-people-danmark-aps/frederikshavn/arbejdskrafts-tjenester/0J4V3ZI10LU,info@powerpeople.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
69,TN Human Capital ApS,,,,https://www.proff.dk/firma/tn-human-capital-aps/k%C3%B8benhavn-k/arbejdskrafts-tjenester/0MV0YOI10LU,michael.telling@tnhospitalityadvisors.com,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
70,SocialNetværket ApS,,,,https://www.proff.dk/firma/socialnetv%C3%A6rket-aps/vejle/arbejdskrafts-tjenester/H02HFKI10LU,mu@socialnetvaerket.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
71,MANFORCE NORDIC ApS,,,+4550108088,https://www.proff.dk/firma/manforce-nordic-aps/st%C3%B8vring/arbejdskrafts-tjenester/0L8HUYI10LU,info@man-force.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
72,JF SMEDESERVICE ApS,,,+4555787440,https://www.proff.dk/firma/jf-smedeservice-aps/n%C3%A6stved/arbejdskrafts-tjenester/0IODELI10LU,info@jf-smedeservice.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
73,BA Mandskab ApS,,,,https://www.proff.dk/firma/ba-mandskab-aps/greve/arbejdskrafts-tjenester/0QUYJTI10LU,info@ba-mandskab.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
74,MERCURI URVAL A/S,,,+4539456500,https://www.proff.dk/firma/mercuri-urval-as/aarhus-c/arbejdskrafts-tjenester/GL7UUOI10LU,majken.diederichsen@mercuriurval.com,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
75,Amrop P/S,,,+4570237383,https://www.proff.dk/firma/amrop-ps/k%C3%B8benhavn-k/arbejdskrafts-tjenester/0OZMP5I10LU,reception@amrop.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
76,Scan Con Construction ApS,,,+4532820000,https://www.proff.dk/firma/scan-con-construction-aps/n%C3%B8rre-alslev/arbejdskrafts-tjenester/0PQVCEI10LU,info@scan-con.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
77,ViTolker ApS,,,+4570605161,https://www.proff.dk/firma/vitolker-aps/herlev/arbejdskrafts-tjenester/0MCJX5I10LU,info@vitolker.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
78,Invoicery Danmark ApS,,,+4572170880,https://www.proff.dk/firma/invoicery-danmark-aps/k%C3%B8benhavn-%C3%B8/arbejdskrafts-tjenester/0NTUQAI10LU,info@frilansfinans.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
79,Connection Vikar Danmark ApS,,,+4570263536,https://www.proff.dk/firma/connection-vikar-danmark-aps/aalborg-sv/arbejdskrafts-tjenester/0MA43SI10LU,info@connectionvikar.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
80,JOB2SEA ApS,,,+4532820030,https://www.proff.dk/firma/job2sea-aps/n%C3%B8rre-alslev/arbejdskrafts-tjenester/0JC2MDI10LU,info@job2sea.com,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
81,NT-TAG ApS,,,+4528156056,https://www.proff.dk/firma/nt-tag-aps/uldum/arbejdskrafts-tjenester/0M9YNNI10LU,bt@nt-con.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
82,Akurat A/S,,,+4596411111,https://www.proff.dk/firma/akurat-as/sisimiut/arbejdskrafts-tjenester/H1BKMXI10LU,mail@akurat.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
83,ACADEMIC WORK DENMARK A/S,,,+4589875300,https://www.proff.dk/firma/academic-work-denmark-as/k%C3%B8benhavn-v/arbejdskrafts-tjenester/GS446KI10LU,info@academicwork.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
84,KEYMATE ApS,,,+4540962399,https://www.proff.dk/firma/keymate-aps/lystrup/arbejdskrafts-tjenester/0G8862I10LU,kim@keymate.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
85,Vagtselskabet CS-Vagt ApS,,,+4570209100,https://www.proff.dk/firma/vagtselskabet-cs-vagt-aps/maribo/arbejdskrafts-tjenester/0Q4YWLI10LU,cms@csvagt.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
86,JOBASSIST ApS,,,+4552174676,https://www.proff.dk/firma/jobassist-aps/odense-m/arbejdskrafts-tjenester/0HUGBMI10LU,theis@jobassist.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
87,RIGHT PEOPLE GROUP ApS,,,+4570208986,https://www.proff.dk/firma/right-people-group-aps/k%C3%B8benhavn-%C3%B8/arbejdskrafts-tjenester/0I7NVNI10LU,info@rightpeople.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
88,DK Workers ApS,,,,https://www.proff.dk/firma/dk-workers-aps/esbjerg-%C3%B8/arbejdskrafts-tjenester/0N5ZJ1I10LU,jmk@dkworkers.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
89,COMPASS HUMAN RESOURCES GROUP A/S,,,+4570201275,https://www.proff.dk/firma/compass-human-resources-group-as/aarhus-v/arbejdskrafts-tjenester/GS70SII10LU,finance@compasshrg.com,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
90,Komplex ApS,,,+4598511511,https://www.proff.dk/firma/komplex-aps/frederikshavn/arbejdskrafts-tjenester/GZ32HLI10LU,skr@norfolk.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
91,VIKARO ApS,,,+4570107010,https://www.proff.dk/firma/vikaro-aps/ringsted/arbejdskrafts-tjenester/0P5TKLI10LU,info@vikaro.nu,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
92,Labour Leasing Bispebjerg Hospital Project,,,28519088,https://www.proff.dk/firma/labour-leasing-bispebjerg-hospital-project/k%C3%B8benhavn-nv/arbejdskrafts-tjenester/H2S040I10LU,camilla.nikander@gmail.com,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
93,Green Force ApS,,,+4529677334,https://www.proff.dk/firma/green-force-aps/odense-s%C3%B8/arbejdskrafts-tjenester/0OOBMYI10LU,info@greenforce.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
94,PROFIL MATCH ApS,,,+4533323314,https://www.proff.dk/firma/profil-match-aps/glostrup/arbejdskrafts-tjenester/GOFWIUI10LU,sj@profilmatch.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
95,SNOWMINDS ApS,,,+4528993599,https://www.proff.dk/firma/snowminds-aps/k%C3%B8benhavn-k/arbejdskrafts-tjenester/0KM2GUI10LU,kontakt@snowminds.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
96,Electricom A/S,,,59 51 03 80,https://www.proff.dk/firma/electricom-as/kalundborg/arbejdskrafts-tjenester/GL9GQKI10LU,kontakt@electricom.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
97,VI-KAR & REKRUTTERING ApS,,,+4532961000,https://www.proff.dk/firma/vi-kar-rekruttering-aps/frederikssund/arbejdskrafts-tjenester/0OSDGKI10LU,lena@vi-kar.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
98,Dahlfeltconsulting ApS,,,+4531700881,https://www.proff.dk/firma/dahlfeltconsulting-aps/farum/arbejdskrafts-tjenester/0PNW1NI10LU,torben@dahlfeltconsulting.com,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
99,JE-FA ApS,,,+4554553000,https://www.proff.dk/firma/je-fa-aps/kalundborg/arbejdskrafts-tjenester/H23YJ5I10LU,info@jeas.nu,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
100,CUN Rekruttering ApS,,,,https://www.proff.dk/firma/cun-rekruttering-aps/munkebo/arbejdskrafts-tjenester/0PAHRLI10LU,cunsmedeservice@outlook.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
101,ANB Vikar Flex ApS,,,+4552715266,https://www.proff.dk/firma/anb-vikar-flex-aps/sk%C3%A6vinge/arbejdskrafts-tjenester/0QIIIKI10LU,perca.andreea008@yahoo.com,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
102,SCANPEOPLE ApS,,,+4543310071,https://www.proff.dk/firma/scanpeople-aps/taastrup/arbejdskrafts-tjenester/0JE1UPI10LU,info@scanpeople.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
103,TCP Viborg ApS,,,+4560880068,https://www.proff.dk/firma/tcp-viborg-aps/viborg/arbejdskrafts-tjenester/GUYTBWI10LU,begina@tcpviborg.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
104,indsats ApS,,,+4560177110,https://www.proff.dk/firma/indsats-aps/k%C3%B8benhavn-%C3%B8/arbejdskrafts-tjenester/0LZWMZI10LU,kgb@indsats.nu,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
105,DK Vikarservice ApS,,,+4570605960,https://www.proff.dk/firma/dk-vikarservice-aps/odense-s%C3%B8/arbejdskrafts-tjenester/0OYWQSI10LU,info@dkvikarservice.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
106,EWORK GROUP DENMARK ApS,,,31101875,https://www.proff.dk/firma/ework-group-denmark-aps/k%C3%B8benhavn-v/arbejdskrafts-tjenester/0HI1AQI10LU,sales.dk@eworkgroup.com,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
107,HEMI Group ApS,,,,https://www.proff.dk/firma/hemi-group-aps/frederiksberg/arbejdskrafts-tjenester/0NPSEVI10LU,michael@hemigroup.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
108,Rakiv 2025 ApS,,,+4570707545,https://www.proff.dk/firma/rakiv-2025-aps/n%C3%A6stved/arbejdskrafts-tjenester/0M4W6CI10LU,info@vikarsj.dk,,Du følger virksomheden,,,,OK,,,,,,,Arbejdskrafts tjenester,
