No.,Công ty,Chức danh,Người liên hệ,SĐT,Liên Hệ,Email,Liên Hệ mail,Địa chỉ,Lương,Ngày đăng,Hạn tuyển,Check gửi,Last Subject,Last Body HTML,Trạng thái Reply,Lần Follow-up,Ngày Follow-up gần nhất,Mailbox đã dùng,Category
17,BALTIC WASTE & ENERGY GROUP,,,'67325673,www.bweg.eu,info@bweg.eu,,"Mārupes iela 4, Rīga, LV-1002",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
18,BALTIC ZINC TECHNICS,,,'67606431,www.bzt.lv,bzt@bzt.lv,,"Antenas iela 3A, Rīga, LV-1004",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
19,BALTIJAS GUMIJAS FABRIKA,,,'67187534,www.BGFrubber.com,info@bgfrubber.lv,,"Vienības gatve 87D-2, Rīga, LV-1004",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
20,BALTIJAS METĀLAPSTRĀDES GRUPA,,,'67387337,www.bmgroup.lv,info@bmgroup.lv,,"Tēraudlietuves 23, Rīga, LV-1026",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
21,BALTMA,,,'64207220,www.baltma.lv,info@baltma.lv,,"Kauguru iela 19, Valmiera, Valmieras nov., LV-4201",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
22,BGM INDUSTRY,,,'20011351,www.bgmindustry.lv,elvijs@bgmindustry.lv,,"Tīnūžu šoseja 17, Ikšķile, Ogres nov., LV-5052",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
23,BILLETWORKS,,,'28328085,www.billetworks.eu,info@billetworks.eu,,"Jelgavas iela 23B, Auce, Dobeles nov., LV-3708",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
24,BLESTE RAŽOŠANAS KOMERCFIRMA,,,'6761876037167619811,www.bleste.lv,info@bleste.lv,,"''Sloka 7122'', Jūrmala, LV-2011",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
25,BMG CONSTRUCTION,,,'29250930,www.bmgc.lv,office@bmgc.lv,,"Tēraudlietuves iela 24, Rīga, LV-1026",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
26,BUCHER MUNICIPAL,,,'63661050,www.buchermunicipal.com/lv/lv,sweepers.lv@buchermunicipal.com,,"Ganību iela 105, Ventspils, LV-3601",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
27,CALJAN LSEZ,,,'63489530,www.caljan.com,info.lv@caljan.com,,"Brīvības iela 142A, Liepāja, LV-3401",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
28,CIEDRA PRO,,,'64264856,www.ciedra.lv,info@ciedra.lv,,"Valmiermuižas iela 1, Valmiermuiža, Valmieras pag., Valmieras nov., LV-4219",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
29,CNC EXPERTS,,,'25445777,www.cncexperts.lv,info@cncexperts.lv,,"Šampētera iela 36, Rīga, LV-1046",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
30,CNC LATVIA,,,'29455855,www.cnclatvia.lv,info@cnclatvia.lv,,"Jūrkalnes iela 1 K-1, Rīga, LV-1046",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
31,CNC SAAN,,,'25141089,www.cncsaan.lv,info@cncsaan.lv,,"Kārļa Ulmaņa gatve 2, Rīga, LV-1004",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
32,COMPOR,,,'27822444,www.compor.eu,info@compor.lv,,"Institūta iela 1 K-3, Salaspils, Salaspils.nov., lv-2169",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
33,CRYOGENIC AND VACUUM SYSTEMS,,,'24807941,sublimat.lv,info@cvsys.eu,,"Andreja iela 7/9, Ventspils, LV-3601",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
34,CUTCENTRE,,,'67139051,www.elmemetall.eu,cutcentre@elmemetall.lv,,"Katlakalna iela 9A, Rīga, LV-1073",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
35,CW TECHNICS,,,'26669724,www.cwtechnics.lv,info@cwtechnics.lv,,"Dzelzavas iela 117, Rīga, LV-1021",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
36,DAMBIS,,,'67387001,dambis.com/lv/,info@dambis.com,,"Ganību dambis 24A, Rīga, LV-1005",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
37,DEFENCE PARTNERSHIP LATVIA,,,'22463887,www.patriagroup.com,arnis.irbens@patriagroup.com,,"Meistaru iela 4, Valmiera, Valmieras nov., LV-4201",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
38,DESIGN TREE,,,'28673329,www.designtree.lv,info@designtree.lv,,"Muižas iela 15, Ādaži, Ādažu nov., LV-2164",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
39,DIGAS,,,'29715632,digasgroup.com/,info@digasgroup.com,,"Matīsa iela 69A-22, Rīga, LV-1009",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
40,DINEX LATVIA,,,'63020200,www.dinex.dk,dinex@dinex.lv,,"Rubeņu ceļš 58, Raubēni, Cenu pag., Jelgavas nov., LV-3002",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
41,DUROC MACHINE TOOL,,,'67355175,www.durocmachinetool.lv,info.latvia@duroc.com,,"Jaunā Līgo iela 33, Berģi, Garkalnes pag., Ropažu nov., LV-1024",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
42,EAST METAL,,,'6378170437165456001,www.eastmetal.com,info@eastmetal.lv,,"Uzvaras iela 55a, Dobele, Dobeles nov., LV-3701",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
43,ECOHEAT TECHNOLOGIES,,,'2861149937125616180,ecoheatholdings.lv,info@ecoheatholdings.lv,,"Rubeņu ceļš 2B, Jelgava, LV-3002",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
44,EHT FABRIK,,,'67933733,www.ehtfabrik.com,info@ehtfabrik.com,,"Ozolu iela 28 k-1, Jaunmārupe, Mārupes pag., Mārupes nov., LV-2166",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
45,EKO EL,,,'20034505,www.ekoel.lv,info@ekoel.lv,,"Mazdzeņi, Tīnūžu pag., Ogres nov., LV-5001",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
46,EMJ METĀLS,,,'26661153,www.emjmetals.lv,info@emjmetals.lv,,"Džipi, Ķekavas pag., Ķekavas nov., LV-2123",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
47,ENERGOFIRMA ''JAUDA'',,,'67725789,www.jauda.com,info@jauda.com,,"Krustpils iela 119a, Rīga, LV-1057",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
48,ENERGOLUKSS,,,'67542223,www.energolukss.lv,info@energolukss.lv,,"Ulbrokas iela 46, k-2, Rīga, LV-1021",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
49,ERCON,,,'26666158,www.ercon.lv,info@ercon.lv,,"Dzirnavu iela 23, Saldus, Saldus nov., LV-3801",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
50,ESAB OY LATVIJAS FILIĀLE,,,'29480006,www.esab.lv,maris.zvirbulis@esab.lv,,"Kleistu iela 24, Rīga, LV-1067",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
51,ETR AUTOMATION,,,'2880944237127815709,www.etrautomation.lv,etrautomation@etrautomation.lv,,"Vecstrundas, Mazsalacas pag., LV-4215",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
52,EXIGUM,,,'67673000,www.exigum.com,sales@exigum.com,,"Ventspils iela 50 K-6, Rīga, LV-1002",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
53,FESTO,,,'67577864,www.festo.lv,info_lv@festo.com,,"Gunāra Astras iela 8B, Rīga, LV-1082",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
54,FILTRI,,,'67466674,www.filtri.lv,filtri@filtri.lv,,"Lidostas parks 5, Vismaņi, Mārupes pag., Mārupes nov., LV-2167",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
55,FLOTLIFE,,,'26196743,flotlife.com/,ervins@flotlife.com,,"Mazcenu aleja 37, Jaunmārupe, Mārupes pag., Mārupes nov., LV-2166",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
56,FONONS,,,'29110239,www.fonons.lv,fonons@latnet.lv,,"Ropažu iela 104, Rīga, LV-1006",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
57,FORBERG PRODUCTION,,,'26672554,www.forberg-international.com,sales@forberg.no,,"Mālu iela 30 K-1, Rīga, LV-1058",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
58,FORTES,,,'26108453,www.fortesenergy.lv,info@fortesenergy.lv,,"Dzirnavu iela 41 - 3, Rīga, LV-1010",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
59,GOOD STEEL,,,'29429734,www.goodsteel.lv,info@goodsteel.lv,,"Vītiņkalni, Krustiņi, Inčukalna pag., Siguldas nov., LV-2141",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
60,GRANĪTS,,,'26436209,www.granits.eu,info@granits.eu,,"Sāremas iela 3A, Rīga, LV-1005",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
61,HANSAMATRIX,,,'67400001,www.hansamatrix.com,info@hansamatrix.com,,"Zemzaru iela 3, Mārupe, LV-2167",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
62,HEIDELBERG MATERIALS SBC LATVIA,,,'67408383,www.sbc.lv,info@sbc.lv,,"Zeltiņu iela 130, Mārupe, Mārupes nov., LV-2167",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
63,HES1,,,'22304752,www.hes1.lv,info@hes1.lv,,"Piedrujas iela 11, birojs 214, Rīga, LV-1073",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
64,ICS STEEL,,,'2674455737126688466,www.icssteel.eu,info@icssteel.lv,,"Meldru iela 8, Liepāja, LV-3401",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
65,INDUCONT,,,'22078773,www.inducont.com,office.riga@inducont.lv,,"Rītausmas iela 11B, Rīga, LV-1058",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
66,INDUSTRY PARTNER LIMITED,,,'67806030,www.industrypartner.lv,office@industrypartner.lv,,"Daugavgrīvas šoseja 6B, Rīga, LV-1016",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
67,INFLUX FABRICATION,,,'26282883,www.influx.lv,info@influx.lv,,"Cieceres iela 2A, Ciecere, Skrundas pag., Kuldīgas nov., LV-3326",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
68,IR CNC,,,'23379250,www.ircnc.lv,info@ircnc.eu,,"Robežu iela 6/24, Cēsis, Cēsu nov., LV-4101",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
69,IRT,,,'67381957,www.irt.lv,irt@irt.lv,,"Aptiekas iela 21, Rīga, LV-1005",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
70,ISP OPTICS LATVIA,,,'67323779,www.lightpath.com,ispinfo@lightpath.com,,"Ganību dambis 24A, k-13, Rīga, LV-1005",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
71,JGT SOLUTION,,,'22025321,www.jgt.lv,aleksandrs@jgt.lv,,"Eksporta iela 3, Tukums, Tukuma nov., LV-3104",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
72,KARCHER TECHNOLOGY LATVIA,,,'63050749,www.karcher.com/lv/sikak-par-kaercher/uznemums/par-kaercher.html,info.ktl@kaercher.com,,"Langervaldes iela 5, Raubēni, Cenu pag., Jelgavas nov., LV-3002",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
73,KATKOM,,,'2640593337129600382,www.katkom.lv,info@katkom.lv,,"Jaunciema gatve 233, Rīga, Latvija, LV-1023",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
74,KENGURU PRO,,,'29438618,www.kengurupro.eu,info@kengurupro.eu,,"Lauteres iela 4, Rīga, LV-1002",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
75,KERAMSERVISS,,,'27886660,www.keramserviss.lv,info@keramserviss.lv,,"Podnieku iela 21, Ādaži,",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
76,KIWA LATVIA,,,'67607900,www.kiwa.com/lv,latvia@kiwa.com,,"Skanstes iela 54, Rīga, LV-1013",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
77,KNAUF,,,'67032999,www.knauf.lv,info-lv@knauf.com,,"Institūta iela 108, Saurieši, Stopiņu pagasts, Ropažu novads, LV-2118",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
78,KNK MEFAB,,,'25549027,www.mefab.lv,info@mefab.lv,,"Jaunkūlu iela 21, Ādaži, LV-2164",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
79,KONECRANES LATVIJA,,,'67394491,www.konecranes.com,info.latvia@konecranes.com,,"Mazā Krasta iela 83, Rīga, LV-1003",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
80,KONTMET,,,'29646871,www.kontmet.lv,info@kontmet.lv,,"Kļavkalnu iela1-1,Ozolkalns,Beļavas pag.,Gulbenes nov.LV-4410",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
81,L-EKSPRESIS,,,'67897650,www.l-ekspresis.lv,info@l-ekspresis.eu,,"Kalna iela 68A, Rīga, LV-1003",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
82,LANOS,,,'26130932,,info@lanos.lv,,"SIA LANOS, Autocentrs, Kalnsētas, Cieceres pagasts, Saldus novads, LV-3851",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
83,LARTA 1,,,'29462625,www.larta.lv,larta@apollo.lv,,"Strādnieku šķērsiela 7, Rēzekne, LV-4604",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
84,LATVIJAS FINIERIS IEKĀRTU RŪPNĪCA,,,'6706704537128601423,www.iekarturupnica.lv,ir@finieris.lv,,"Lignuma iela 2, Rīga, LV-1016",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
85,LINDA-1,,,'29284179,www.abas.lv,info@abas.lv,,"Sabiles iela 2, Kandava, Kandavas novads, LV-3120",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
86,LINDE GAS,,,'67023900,www.linde-gas.lv,linde.lv@linde.com,,"Skanstes iela 25, Rīga, LV-1013",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
87,LOM.LV UZŅĒMUMS,,,'8000380037129999797,www.lom.lv,ofiss@lom.lv,,"Spilves iela 6A, Rīga, LV-1055",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
88,LRTDEA TUV RHEINLAND GROUP,,,'6756860567568607,www.tuv.lv,tuv@tuv.lv,,"Sāremas iela 3, Rīga, LV-1005",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
89,LS STEEL,,,'25333338,www.lssteel.lv,info@lssteel.lv,,"Ražotne - Robežu iela 5, Ventspils, LV-3601",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
90,LV-TEH,,,'29942343,www.lvteh.lv,info@lvteh.lv,,"Brīvības gatve 197 B, Rīga, LV-1039",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
91,LYKKEGAARD,,,'29273700,,info@lykkegaard.lv,,"Kokaudzētavas iela 9, Zaļenieki, Zaļenieku pag., Jelgavas nov., LV-3011",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
92,MALMAR SHEET METAL,,,'63628989,www.malmar.eu,info@malmar.eu,,"Ganību iela 107, Ventspils, LV-3601",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
93,MARCEGAGLIA BALTICS,,,'26571599,www.baltics.marcegaglia.com/,baltics@marcegaglia.com,,"Starta iela 13, Rīga, LV-1039",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
94,MARMORS,,,'679313473716793134837128330287,www.marmorsgroup.com,info@marmors.lv;,,"Gaismas iela 11, Stūnīši, Olaines novads,  LV-2127",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
95,MASOC,,,'67554825,www.masoc.lv,masoc@masoc.lv,,"Brīvības gatve 223, Rīga, LV-1039",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
96,MECHANIKA ENGINEERING,,,'6490589937127334881,www.mehanika.lv,info@mehanika.lv,,"Klijānu iela 14, Rīga, LV-1013",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
97,METAL PRINT,,,'28778208,www.metalprint.lv,info@metalprint.lv,,"Kalnciema iela 67, Rīga, LV-1046",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
98,METĀRO,,,'62202259,www.metaro.lv,info@metaro.lv,,"Cempu iela 21A, Valmiera, Valmieras nov., LV-4201",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
99,METKON,,,'67607820,www.metkon.lv,metkon@metkon.lv,,"Jūrmalas gatve 32, k-4, Rīga, LV-1083",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
100,METPRO,,,'24777999,www.metpro.lv,info@metpro.lv,,"Kalna iela 3A, Gardene, Auru pag., Dobeles nov., LV-3701",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
101,METSATEK,,,'26416999,metsatek.eu,info@metsatek.eu,,"Kaldari, Ķekavas nov. Ķekavas pag., LV-2123",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
102,MW KONSTRUKCIJAS,,,'67971125,,metal@mwkonstrukcijas.lv,,"Pulkveža Brieža 113, Sigulda, LV-2150",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
103,NAGLIS & ERR,,,'66100336,www.naglis-err.com,info@naglis-err.com,,"Uzvaras prospekts 1C, Baloži, Ķekavas nov., LV-2128",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
104,NIDIJA,,,'67551228,www.nidija.lv,info@nidija.lv,,"Krustabaznīcas iela 4, Rīga, LV-1006",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
105,NOOK SERVISS,,,'64633672,www.nookserviss.lv,info@nookserviss.lv,,"Noliktavu iela 10, Rēzekne, LV-4604",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
106,NORD STYLE Ltd,,,'2633613337129116363,www.nordstyle.eu,info@nordstyle.eu,,"Slokas iela 52G, Rīga, LV-1007",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
107,OY MEKANEX AB LATVIJAS FILIĀLE,,,'26035549,www.mekanex.lv,edgars.ansevics@mekanex.se,,"Zaļā iela 1, Rīga, LV-1010",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
108,PALMER GROUP,,,'20022044,www.lazergriesana.lv,laazers123@inbox.lv,,"Lejupes iela 6, Ādaži, Ādažu nov., LV-2164",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
109,PBS LV,,,'37061572257,www.pbs.lt,info@pbs.lt,,"Brīvības gatve 204 B, Rīga, LV-1039",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
110,PERUZA,,,'67248036,peruza.com,office@peruza.com,,"Lejasrandoti, Mucenieki, Ropažu pag., Ropažu nov., LV-2137",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
111,PESLAKS METĀLAPSTRĀDE,,,'28378614,www.peslaks.lv,rudolfs@peslaks.lv,,"Ziedu iela 21, Ikšķile, Ogres nov., LV-5052",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
112,PLANTECH,,,'25999603,www.plantech.lv,office@plantech.lv,,"Plānupes iela 29A, Inčukalns, Siguldas nov. LV-2141",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
113,PLOCKMATIC RIGA,,,'22464240,www.plockmaticgroup.com/,eva.dadze@plockmatic.com,,"Vismaņi k-2, Mārupes pag., Mārupes nov., LV-2167",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
114,POLIPRODEST,,,'63086998,www.poliprodest.com,info@poliprodest.com,,"Rubeņu ceļš 2, Jelgava, LV-3002",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
115,PRECO,,,'65071850,www.preco.lv,preco@preco.lv,,"Dravnieku iela 16, Lielvārde, Ogres nov., LV-5070",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
116,PRINTPACK SERVICE,,,'67818007,www.printpack.lv,printpack@printpack.lv,,"Piedrujas iela 7a, Rīga, LV-1073",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
117,PROMETAL GROUP,,,'65071498,www.prometalgroup.lv,info@prometals.lv,,"Vidzemes iela 5A, Ogre, Ogres nov., LV-5001",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
118,PRORING LATVIA,,,'29501133,www.proring.lv,info@proring.lv,,"Daugavgrīvas iela 63B, Rīga, LV-1005",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
119,RAILWAY MOTION SYSTEMS,,,'26469112,www.r-ms.lv,jr@y25.lv,,"Gustava Zemgala gatve 77 k-2, Rīga, LV-1039",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
