stt,ten_cong_ty,trang_thai_khop,ten_chinh_thuc_rekvizitai,ma_so_doanh_nghiep,ma_so_thue_vat,so_dien_thoai,email,website,nguoi_dai_dien,chuc_vu,so_nhan_vien,dia_chi_dang_ky,thanh_pho_dang_ky,ma_buu_chinh_dang_ky,nganh_nghe_dang_ky,rekvizitai_url,ma_phe_duyet_traces,so_luong_nganh_cap_phep,cac_nganh_hoat_dong,cac_hoat_dong_chi_tiet,dia_chi_traces,thanh_pho_traces,vung_tinh_traces,quoc_gia,tag_doanh_nghiep_maps,facebook_url,dia_chi_maps,nguon_enrich
11,AB KLAIPĖDOS PIENAS,MATCH,"Klaipėdos pienas, AB",240026930,LT400269314,+370 46 397820,,https://dioneicecream.com/,Rita Pažemeckaitė-Digrienė,Generalinė direktorė,124,"Šilutės pl. 33, LT-91107 Klaipėda",Klaipėda,LT-91107,"Maisto produktai; Eksportas; Gamyba; Pienas, pieno produktai",https://rekvizitai.vz.lt/imone/klaipedos_pienas_ab/,LT 21-01 P EB; 520001956,2,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | GEN (General activity establishment - EU)",PP - Processing Plant | WM - Wholesale Market,Šilutės pl. 33,Klaipėda,Klaipeda County,Lithuania,,,,
12,AB Kaišiadorių paukštynas,MATCH,"Kaišiadorių paukštynas, AB",158891218,LT588912113,+370 346 51034,,http://www.paukstynas.eu,Saulius Petkevičius,generalinis direktorius,247,"Paukštininkų g. 15, LT-56110 Kaišiadorys",Kaišiadorys,LT-56110,"Gyvuliai, žvėrys, paukščiai ir jų veisimas; Didmeninė prekyba; Mėsa, mėsos produktai; Šaldyti maisto produktai",https://rekvizitai.vz.lt/imone/kaisiadoriu_paukstynas/,LT49-01EB,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | PM (Meat from poultry and lagomorphs) | RPM (Meat products)",MM - Minced Meat Plant; MSM - Mechanically Separated Meat Plant; MP - Meat Preparation Plant | SH - Slaughterhouse; CP - Cutting Plant | PP - Processing Plant,"Kaišiadorys, Paukštininkų g. 15",Kaišiadorys,Kaunas County,Lithuania,,,,
13,AB Kiaulių veislininkystė,NO_MATCH,,,,,,,,,,,,,,,303212036,1,RM (Meat of domestic ungulates),SH - Slaughterhouse; CP - Cutting Plant,"Jadvimpolio k., Baisogalos sen., Radviliškio r.",Jadvimpolio k.,Siauliai County,Lithuania,,,,
14,AB MODEST,MATCH,"Modest, AB",121313693,LT213136917,+370 446 72693,,https://vilvigroup.lt/,Matas Pozingis,,211,"Gaurės g. 23, LT-72340 Tauragė",Tauragė,LT-72340,"Pienas, pieno produktai; Eksportas; Gamyba; Maisto produktai",https://rekvizitai.vz.lt/imone/modest/,LT 77-01 PEB; 77-01P,2,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | GEN (General activity establishment - EU)",PP - Processing Plant | CS - Cold Stores,"TAURAGĖ, GAURĖS G.23",Tauragė,Taurage County,Lithuania,,,,
15,AB PREMIA KPC,MATCH,"Premia KPC, AB",304045355,LT100009613719,+370 37 322816,,http://www.premia.lt/,Alvydas Malakauskas,generalinis direktorius,82,"Taikos pr. 94, LT-51179 Kaunas",Kaunas,LT-51179,"Maisto produktai; Konditerija, saldumynai",https://rekvizitai.vz.lt/imone/premia_kpc_kaunas/,190009265,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Taikos pr. 94, Kaunas",Kaunas,Kaunas County,Lithuania,,,,
16,AB Pieno Žvaigždės Fil. Mažeikių Pieninė,NO_MATCH,,,,,,,,,,,,,,,61-01P,2,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | GEN (General activity establishment - EU)",PP - Processing Plant | CS - Cold Stores,"Skuodo g. 4, Mažeikiai, Mažeikių r. sav.",Mažeikiai,Telsiai County,Lithuania,,,,
17,AB Pieno žvaigždės,MATCH,"Pieno žvaigždės, AB",124665536,LT246655314,+370 5 2461414,,http://www.pienozvaigzdes.lt,Aleksandr Smagin,generalinis direktorius,205,"Perkūnkiemio g. 3, LT-12127 Vilnius",Vilnius,LT-12127,"Maisto produktai; Eksportas; Gamyba; Pienas, pieno produktai",https://rekvizitai.vz.lt/imone/pieno_zvaigzdes/,LT 01-25 EB,1,GEN (General activity establishment - EU),CS - Cold Stores; RW - Re-wrapping Establishment,Justiniškių g. 134,Vilnius,Vilnius County,Lithuania,,,,
18,AB Pieno žvaigždės filialas Kauno pienas,MATCH,"Pieno žvaigždės filialas Kauno pienas, AB",135688116,,+370 37 402595,,http://www.pienozvaigzdes.lt,Dalia Kačerauskienė,,366,"Taikos pr. 90, LT-51181 Kaunas",Kaunas,LT-51181,Maisto produktai; Didmeninė prekyba; Gamyba,https://rekvizitai.vz.lt/imone/pieno_zvaigzdes_filialas_kauno_pienas_ab/,19-01 P,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,Taikos pr. 90,Kaunas,Kaunas County,Lithuania,,,,
19,AB Pieno žvaigždės filialas Panevėžio pienas,NO_MATCH,,,,,,,,,,,,,,,LT 27-01P EB,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,Tinklų g. 9,Panevežys,Panevezys County,Lithuania,,,,
20,AB Pieno žvaigždės filialas Pasvalio sūrinė,NO_MATCH,,,,,,,,,,,,,,,LT67-01P EB,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,Mūšos g. 14,Pasvalys,Panevezys County,Lithuania,,,,
21,AB Rokiškio sūris,MATCH,"Rokiškio sūris, AB",173057512,LT730575113,+370 458 55200,,http://www.rokiskio.com,Dalius Trumpa,CEO,666,"Pramonės g. 3, LT-42150 Rokiškis",Rokiškis,LT-42150,"Maisto produktai; Gamyba; Pienas, pieno produktai",https://rekvizitai.vz.lt/imone/rokiskio_suris/,LT73-01P,2,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | GEN (General activity establishment - EU)",PP - Processing Plant | CS - Cold Stores,Pramones g. 3,Rokiškis,Panevezys County,Lithuania,,,,
22,AB VILKYŠKIŲ PIENINĖ,MATCH,"Vilkyškių pieninė, AB",277160980,LT771609811,+370 441 55330,,https://vilvigroup.lt/,Gintaras Bertašius,generalinis direktorius,453,"Prano Lukošaičio g. 14, Vilkyškiai, LT-99254 Pagėgiai",Pagėgiai,LT-99254,"Pienas, pieno produktai; Eksportas; Gamyba; Maisto produktai",https://rekvizitai.vz.lt/imone/vilkyskiu_pienine/,88-03 P; LT 88-03 P EB; 77-04,2,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | GEN (General activity establishment - EU)",PP - Processing Plant | CS - Cold Stores,"Tauragės apskr., Pagėgių sav., Vilkyškių sen., Vilkyškiai, Prano Lukošaičio g. 14",Vilkyškiai,Taurage County,Lithuania,,,,
23,"AB VILKYŠKIŲ PIENINĖ , On behalf of LACTRADE IURII RUDENKO  Podbipiety str.31/49, Poland",MATCH,"Vilkyškių pieninė, AB",277160980,LT771609811,+370 441 55330,,https://vilvigroup.lt/,Gintaras Bertašius,generalinis direktorius,453,"Prano Lukošaičio g. 14, Vilkyškiai, LT-99254 Pagėgiai",Pagėgiai,LT-99254,"Pienas, pieno produktai; Eksportas; Gamyba; Maisto produktai",https://rekvizitai.vz.lt/imone/vilkyskiu_pienine/,88 - 03P,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,"P. Lukošaičio g. 14, Vilkyškių mstl. Pagėgių sav.",Vilkyškiai,Taurage County,Lithuania,,,,
24,AB Vilniaus paukštynas,MATCH,"Vilniaus paukštynas, AB",186107463,LT861074610,+370 5 2687331,,http://www.paukstynas.eu,Saulius Petkevičius,generalinis direktorius,1288,"Gamyklos g. 27, Rudaminos k., LT-13249 Vilniaus r.",Vilniaus r.,LT-13249,"Maisto produktai; Eksportas; Gyvuliai, žvėrys, paukščiai ir jų veisimas; Šaldyti maisto produktai",https://rekvizitai.vz.lt/imone/vilniaus_paukstynas/,LT 41-28 EU,4,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | GEN (General activity establishment - EU) | PM (Meat from poultry and lagomorphs) | RPM (Meat products)",MSM - Mechanically Separated Meat Plant; MM - Minced Meat Plant; MP - Meat Preparation Plant | CS - Cold Stores | SH - Slaughterhouse; CP - Cutting Plant | PP - Processing Plant,Gamyklos g. 27,Rudamina,Vilnius County,Lithuania,,,,
25,AB Žemaitijos pienas,MATCH,"ŽEMAITIJOS PIENAS, AB",180240752,LT802407515,+370 444 22201,,http://www.zpienas.lt,Robertas Pažemeckas,generalinis direktorius,1304,"Sedos g. 35, LT-87101 Telšiai",Telšiai,LT-87101,"Maisto produktai; Gamyba; Kavinės, klubai, barai, restoranai; Pienas, pieno produktai",https://rekvizitai.vz.lt/imone/zemaitijos_pienas/,190011025; 19-23,1,GEN (General activity establishment - EU),WM - Wholesale Market | CS - Cold Stores; WM - Wholesale Market,"Taikos pr. 106A, Kaunas",Kaunas,Kaunas County,Lithuania,,,,
26,AB Žemaitijos pienas Kauno filialas,NO_MATCH,,,,,,,,,,,,,,,190011803,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Europos pr. 38, Kaunas",Kaunas,Kaunas County,Lithuania,,,,
27,AB-F Šilutės Rambynas,NO_MATCH,,,,,,,,,,,,,,,LT-88-01P EB,2,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | GEN (General activity establishment - EU)",PP - Processing Plant | CS - Cold Stores; RW - Re-wrapping Establishment,"Klaipėdos g. 3, LT-99115 Šilutė",Šilutė,Klaipeda County,Lithuania,,,,
28,"ANA EU, UAB",MATCH,"ANA EU, UAB",306398304,LT100016377512,+370 641 85451,,,Eisvinas Sasnauskas,direktorius,10,"Daugų g. 3, Daugai, LT-64139 Alytaus r.",Alytaus r.,LT-64139,"Mėsa, mėsos produktai; Maisto gamyba; Maisto produktai",https://rekvizitai.vz.lt/imone/ana_eu/,LT 33-07,1,RPM (Meat products),PP - Processing Plant,"Centrinė g. 30, Kančėnų k., Daugų sen., Alytaus r. sav., Alytaus apskr.",Kančėnai,Alytus County,Lithuania,,,,
29,Agnė Blechertienė,NO_MATCH,,,,,,,,,,,,,,,LT 18-14,1,EEP (Eggs and egg products),EPC - Egg-packing Centre,"Fazanų g. 6, Gustabūdžio k., Šunskų k., Marijampolės sav.",Gustabūdis,Marijampole County,Lithuania,,,,
30,Albertas Davidavičius,NO_MATCH,,,,,,,,,,,,,,,LT 42-010 Ž,1,FFP (Fishery products - EU),FFPP - Fresh Fishery Products Plant,"Elektrėnų sav., Vievio sen., Zabakos k.",Zabaka,Vilnius County,Lithuania,,,,
31,Aleksandro Pupkevčiaus indviduali veikla,NO_MATCH,,,,,,,,,,,,,,,86-05,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Postavų g. 82, Adutiškis, Adutiškio sen., Švenčionių r. sav.",Adutiškis,Vilnius County,Lithuania,,,,
32,Algis Bukauskas,NO_MATCH,,,,,,,,,,,,,,,LT 81-007,1,RPM (Meat products),PP - Processing Plant,Alionys,Alionys,Vilnius County,Lithuania,,,,
33,Artūras Padimanskas,NO_MATCH,,,,,,,,,,,,,,,LT 39-07,2,RM (Meat of domestic ungulates) | RPM (Meat products),SH - Slaughterhouse | PP - Processing Plant,"V. Pietario g. 1, Bebrininkų k., Pilviškių sen., Vilkaviškio r. sav.",Bebrininkai,Marijampole County,Lithuania,,,,
34,Arūno Petriko IĮ,MATCH,Arūno Petriko IĮ,303391482,LT100009293711,+370 600 25230,,,Arūnas Petrikas,direktorius,7,"Purplių k. 5E, Purplių k., LT-87150 Telšių r.",Telšių r.,LT-87150,"Mėsa, mėsos produktai",https://rekvizitai.vz.lt/imone/aruno_petriko_ii/,LT 78-06 EB,1,RPM (Meat products),PP - Processing Plant,"Purpių k.5E, Ryškėnų sen., Telšių r. sav.",Purplių k.,Telsiai County,Lithuania,,,,
35,Arūno Raulinavičiaus PĮ,NO_MATCH,,,,,,,,,,,,,,,LT 41-012 Ž,1,FFP (Fishery products - EU),FFPP - Fresh Fishery Products Plant,Vanaginės k.,Vanaginė,Vilnius County,Lithuania,,,,
36,Arūno Ševelio ūkis,NO_MATCH,,,,,,,,,,,,,,,46-08,1,EEP (Eggs and egg products),EPC - Egg-packing Centre,"Kauno apskr. Jonavos r. sav., Bukonių sen., Narauninkiškių k. 14",Narauninkiškiai,Kaunas County,Lithuania,,,,
37,Audrius Tunaitis,NO_MATCH,,,,,,,,,,,,,,,58-024,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MM - Minced Meat Plant,"Maironio g. 11A, Kazlų Rūda",Kazlu Ruda,Marijampole County,Lithuania,,,,
38,"BALTIC CASTINGS, UAB",NO_MATCH,,,,,,,,,,,,,,,LT 11-03,1,"CAS (Treated stomachs, bladders and intestines: casings only)",PP - Processing Plant,Pramonės g. 31,Alytus,Alytus County,Lithuania,,,,
39,"BIOVELA-UTENOS MĖSA, UAB",MATCH,"BIOVELA-UTENOS MĖSA, UAB",284268020,LT842680219,+370 389 63504,,http://www.biovela.lt,Žilvinas Lenktaitis,generalinis direktorius,1626,"Pramonės g. 4, LT-28216 Utena",Utena,LT-28216,"Maisto produktai; Gamyba; Mėsa, mėsos produktai",https://rekvizitai.vz.lt/imone/biovela_utenos_mesa/,LT 17 EB,7,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | WM (Wild game meat) | GEN (General activity establishment - EU) | CAS (Treated stomachs, bladders and intestines: casings only) | RM (Meat of domestic ungulates) | GM (Meat of farmed game) | RPM (Meat products)",MM - Minced Meat Plant; MP - Meat Preparation Plant | CP - Cutting Plant | CS - Cold Stores | PP - Processing Plant | SH - Slaughterhouse; CP - Cutting Plant,Pramonės g. 4,Utena,Utena County,Lithuania,,,,
40,Baltic Air Logistics Terminal,MATCH,"Baltic Air Logistics Terminal, UAB",124430488,LT244304811,+370 5 2329269,,http://www.balt-cargo.lt,Olegas Kairys,direktorius,27,"Rodūnios kel. 18, LT-02188 Vilnius",Vilnius,LT-02188,"Sandėliavimas; Muitinių paslaugos, muitinės; Oro transportas, aviacija",https://rekvizitai.vz.lt/imone/lietuvos_avialinijos_cargo/,LT 01-01,1,GEN (General activity establishment - EU),CS - Cold Stores,Rodunios kel. 18,Vilnius,Vilnius County,Lithuania,,,,
41,"Baltic Champs, UAB",MATCH,"Baltic Champs, UAB",302942064,LT100007785610,+370 41 372494,,http://www.champs.lt,Generalinis direktorius Arūnas Radzevičius,,368,"Poviliškių k. 15, Gruzdžių sen., LT-81411 Šiaulių r.",Šiaulių r.,LT-81411,"Žemės ūkis, paslaugos; Maisto produktai; Miško gėrybės",https://rekvizitai.vz.lt/imone/baltic_champs_uab/,LT 89-04,1,GEN (General activity establishment - EU),CS - Cold Stores,"Zosinos g. 5, Širvintos",Širvintos,Vilnius County,Lithuania,,,,
42,Birutės Revuckienės IĮ,MATCH,Birutės Revuckienės IĮ,170778418,LT707784113,+370 611 35973,,,Birutė Revuckienė,direktorė,,"Nemajūnų k., Birštono sen., Birštonas",Birštonas,,Maisto produktai,https://rekvizitai.vz.lt/imone/birutes_revuckienes_ii/,Lt-12-04,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,Birštono sav.LT-59451,Nemajūnai,Kaunas County,Lithuania,,,,
43,CAPELLA“ Reefer Vessel RV,NO_MATCH,,,,,,,,,,,,,,,21-19,1,FFP (Fishery products - EU),ZV - Freezer Vessel,CAPELLA“ Reefer vessel RV,Klaipėda,Klaipeda County,Lithuania,,,,
44,Dainoros Račkauskienės ind. įmonė,NO_MATCH,,,,,,,,,,,,,,,61-17,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MM - Minced Meat Plant; MP - Meat Preparation Plant | CP - Cutting Plant | PP - Processing Plant,"Bažnyčios g. 17, Mažeikiai, Mažeikių sen., Mažeikių r. sav., Telšių apskr.",Mažeikiai,Telsiai County,Lithuania,,,,
45,Danutė Muraškaitė,NO_MATCH,,,,,,,,,,,,,,,48-026,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MM - Minced Meat Plant,"Laisvės g. 20, Kalvarija",Kalvarija,Marijampole County,Lithuania,,,,
46,Deimantė Krivickaitė,NO_MATCH,,,,,,,,,,,,,,,53-14,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Norkūnų k.,Krakių s.,Kėdainių r.",Norkūnai,Kaunas County,Lithuania,,,,
47,Donato Vaicikausko IĮ Mėsininkas,NO_MATCH,,,,,,,,,,,,,,,68-14,1,RPM (Meat products),PP - Processing Plant,"Minijos g. 31C, Juodeikių k., Plungės r. sav.",Juodeikiai,Telsiai County,Lithuania,,,,
48,EMIRONAS UAB,MATCH,"UAB ""Emironas""",302526240,LT100005507918,+370 699 30003,,,Linas Jovaiša,direktorius,28,"V. A. Graičiūno g. 24A, LT-02241 Vilnius",Vilnius,LT-02241,Maisto produktai; Didmeninė prekyba,https://rekvizitai.vz.lt/imone/uab_emironas/,130018865,1,GEN (General activity establishment - EU),WM - Wholesale Market,"V. A. Graičiūno g. 24A, LT-02241 Vilnius",Vilnius,Vilnius County,Lithuania,,,,
49,EUROCRICKETS UAB,MATCH,"Eurocrickets, UAB",305379952,LT100012869511,+370 631 99779,,http://www.eurocrickets.com,,,15,"Merkio g. 87, Dargužiai, LT-65445 Varėnos r.",Varėnos r.,LT-65445,"Didmeninė prekyba; Gyvuliai, žvėrys, paukščiai ir jų veisimas; Maisto gamyba; Pašarai, gyvulinis maistas",https://rekvizitai.vz.lt/imone/eurocrickets/,LT38-06,1,GEN (General activity establishment - EU),WM - Wholesale Market,Merkio str. 87,Dargužiai,Alytus County,Lithuania,,,,
50,Edgaras Ivanauskas,NO_MATCH,,,,,,,,,,,,,,,190009585,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Pelėdų takas 11, Kaunas",Kaunas,Kaunas County,Lithuania,,,,
51,Edmundas Valatka,NO_MATCH,,,,,,,,,,,,,,,Lt-12-03 EB,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Gryšios g. 10, Nečiūnai, Birštono sav. LT-59452",Nečiūnai,Kaunas County,Lithuania,,,,
52,Edvardas Gelažius,NO_MATCH,,,,,,,,,,,,,,,LT 84-05,1,EEP (Eggs and egg products),EPC - Egg-packing Centre,"Kerų k., Lukšių sen., Šakių r. sav.",Liepalotai,Marijampole County,Lithuania,,,,
53,Espersen Lietuva UAB,MATCH,"Espersen Lietuva, UAB",163679793,LT636797917,+370 46 347526,,http://www.espersen.com,Nerija Kėrytė-Arnašienė,,,"Pramonės g. 15, LT-94102 Klaipėda",Klaipėda,LT-94102,"Žuvininkystė, žuvies produktai; Didmeninė prekyba; Eksportas; Gamyba",https://rekvizitai.vz.lt/imone/espersen_lietuva/,LT 21-15 EB,1,FFP (Fishery products - EU),PP - Processing Plant,"Pramonės g. 15, LT-94102 Klaipėda",Klaipėda,Klaipeda County,Lithuania,,,,
54,F. Šlėvės šaltieji sandeliai,NO_MATCH,,,,,,,,,,,,,,,9383611,1,GEN (General activity establishment - EU),CS - Cold Stores,"Plento g. 7, Velžių k., Radviliškio rajonas",Velžių k.,Siauliai County,Lithuania,,,,
55,"FMCG prekyba, UAB",MATCH,"FMCG prekyba, UAB",304651381,LT100011199116,+370 37 280861,,,,,1,"Vytenio g. 55-42, LT-03209 Vilnius",Vilnius,LT-03209,Maisto produktai,https://rekvizitai.vz.lt/imone/fmcg_prekyba/,190010508; 520001933,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Taikos pr. 94, Kaunas",Kaunas,Kaunas County,Lithuania,,,,
56,"Ferogama, UAB",MATCH,"UAB ""FEROGAMA""",301133896,LT100003679315,+370 5 2311500,,http://www.ferogama.lt,Romualdas Gėgžnas,,24,"Agrastų g. 2, Vilnius",Vilnius,LT-02243,"Logistikos paslaugos; Muitinių paslaugos, muitinės; Patalpų nuoma; Sandėliavimas",https://rekvizitai.vz.lt/imone/uab_ferogama/,LT 01-14,1,GEN (General activity establishment - EU),CS - Cold Stores,Agrastų g. 2,Vilnius,Vilnius County,Lithuania,,,,
57,Ferroc UAB,MATCH,"Ferroc, UAB",302590136,LT100005913918,+370 654 70105,,,Jurgita Olonovienė,direktorė,2,"Perkūnkiemio g. 13-91, Vilnius",Vilnius,LT-12114,Didmeninė prekyba,https://rekvizitai.vz.lt/imone/ferroc/,530001547,1,RPM (Meat products),PP - Processing Plant,"Vandenvietės g. 9, LT-57242 Kėdainiai",Kėdainiai,Kaunas County,Lithuania,,,,
58,"Fish Processing Net, UAB",MATCH,"Fish Processing Net, UAB",307013537,LT100017472019,+370 606 09575,,,Vaidas Juodis,direktorius,12,"Tarpupio g. 29, Mamavio k., LT-21169 Trakų r.",Trakų r.,LT-21169,"Žuvininkystė, žuvies produktai; Maisto produktai",https://rekvizitai.vz.lt/imone/fish_processing_net/,79-09,2,FFP (Fishery products - EU) | GEN (General activity establishment - EU),WM - Wholesale Market; FFPP - Fresh Fishery Products Plant | RW - Re-wrapping Establishment,"Tarpupio g. 29, Mamavio k., Trakų r. sav.",Mamavys,Vilnius County,Lithuania,,,,
59,G. Drakšo IĮ,NO_MATCH,,,,,,,,,,,,,,,LT 79-03,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant,Žiedo g. 30,Vaickūniškės,Vilnius County,Lithuania,,,,
60,"G. Kanaševičiaus PĮ ,,Desė""",MATCH,"G. Kanaševičiaus PĮ ""DESĖ""",158906339,LT589063314,+370 346 44434,,http://www.dese.lt,Tovaldas Kanaševičius,,131,"Naujažerio g. 2A, Žasliai, LT-56413 Kaišiadorių r.",Kaišiadorių r.,LT-56413,"Žuvininkystė, žuvies produktai; Antrinės žaliavos; Gamyba",https://rekvizitai.vz.lt/imone/dese_g_kanaseviciaus_ii/,LT49-08EB,2,FFP (Fishery products - EU) | GEN (General activity establishment - EU),PP - Processing Plant | RW - Re-wrapping Establishment,"Naujažerio g. 2A, Žaslių mstl., Žaslių sen., Kaišiadorių r. sav.",Naujažeris,Kaunas County,Lithuania,,,,
61,G. Šlinsko individuali įmonė,NO_MATCH,,,,,,,,,,,,,,,LT75-04EB,1,GM (Meat of farmed game),SH - Slaughterhouse,"Vingio g. 5, Gėsalų k., Aleksandrijos sen., Skuodo r. sav.",Aleksandrija,Klaipeda County,Lithuania,,,,
