No.,Công ty,Chức danh,Người liên hệ,SĐT,Liên Hệ,Email,Liên Hệ mail,Địa chỉ,Lương,Ngày đăng,Hạn tuyển,Check gửi,Last Subject,Last Body HTML,Trạng thái Reply,Lần Follow-up,Ngày Follow-up gần nhất,Mailbox đã dùng,Category
30,長群建設,,,'0229060545,http://www.changqun.com.tw/,service@changqun.com.tw,,243台灣新北市泰山區貴和里明志路三段350號,,,,,,,,0,,,Công ty xây dựng
31,昌祐建設股份有限公司,,,'0435002829,https://www.changyo.com.tw/,cycs@changyo.com.tw,,403台灣臺中市西區公正里東興路三段160號11號樓之3,,,,,,,,0,,,Công ty xây dựng
32,長宏營造股份有限公司,,,'052753890,http://www.chcon.com.tw/,hr84401508@gmail.com,,600台灣嘉義市東區長竹里大雅路二段298號,,,,,,,,0,,,Công ty xây dựng
33,齊揚建設有限公司,,,'089227711,http://www.cheeron.com.tw/,yangky77@yahoo.com.tw,,950台灣臺東縣臺東市光明里中興路二段27號,,,,,,,,0,,,Công ty xây dựng
34,城揚建設集團,,,'075556888,http://www.chen-yan.com.tw/,chenyan.service@gmail.com,,804台灣高雄市鼓山區龍子里明誠三路689號18樓,,,,,,,,0,,,Công ty xây dựng
35,宸都營造有限公司,,,'032202328,https://www.chen-du.com/,chendu94@gmail.com,,330台灣桃園市桃園區中平里壽昌街20巷54-1號,,,,,,,,0,,,Nhà thầu
36,誠邦營造有限公司 | 外邦開發工程有限公司,,,'0426260847,https://www.cheng-beng.com/,cb.build@msa.hinet.net,,436台灣臺中市清水區國姓里中央北路82-5號,,,,,,,,0,,,Công ty xây dựng
37,晟隆土木包工業(居家無障礙改善工程),,,'0931341168,https://www.chenglongtumu.com/,jianjian1413@gmail.com,,973台灣花蓮縣吉安鄉勝安村中央路三段2號1樓,,,,,,,,0,,,Công ty công trình dân dụng / Kỹ thuật dân dụng
38,正三營造工程有限公司,,,'077335890,http://www.chengsan.com.tw/,service@chengsan.com.tw,,833台灣高雄市鳥松區鳥松里忠仁路1號之6號,,,,,,,,0,,,Công ty xây dựng
39,晨均建設股份有限公司,,,'073319878,https://chez-cca.com/,nihao@chez-cca.com,,802台灣高雄市苓雅區晴朗里四維三路6號10樓之1,,,,,,,,0,,,Công ty xây dựng
40,謙丞工程有限公司-土木工程優質廠商/防水施工/抓漏/專業房屋修繕/專業隧道工程施工/潛盾隧道/房屋結構補強修繕,,,'073232281,https://chiancheng073232281.com/,<chiencheng123@gmail.com>,,807台灣高雄市三民區安泰里博愛一路391號,,,,,,,,0,,,Công ty công trình dân dụng / Kỹ thuật dân dụng
41,僑駿建設股份有限公司,,,'033579138,https://www.chianchun.com.tw/,chianchun.con@gmail.com,,330台灣桃園市桃園區同安里新埔六街97號21樓,,,,,,,,0,,,Công ty xây dựng
42,佳源工程股份有限公司,,,'087238715,http://www.chiayuan.com.tw/,chiayuanv@gmail.com,,909台灣屏東縣麟洛鄉麟趾村中山路591號,,,,,,,,0,,,Nhà thầu
43,青揚營造,,,'0422993168,https://chingyang.com.tw/,aa83398168@gmail.com,,404台灣臺中市北區賴興里文昌東一街61號1樓,,,,,,,,0,,,Công ty công trình dân dụng / Kỹ thuật dân dụng
44,麒瑞營造股份有限公司,,,'034961515,http://www.chirey.com.tw/,chirey219@chirey.com.tw,,326台灣桃園市楊梅區高榮里電研路190巷295-1號,,,,,,,,0,,,Công ty công trình dân dụng / Kỹ thuật dân dụng
45,"群越工程股份有限公司(維運工程,模組清洗,HDPE膜防水工程,漁電建設(養殖池/整地/地改/管路/鼓風機/曝氣盤/管道溝挖掘/重機械服務/圍籬/抑草蓆鋪設)",,,'067896169,https://www.chiunyue-eng.com.tw/,cy90070110@gmail.com,,724027台灣臺南市七股區竹橋127號,,,,,,,,0,,,Công ty công trình dân dụng / Kỹ thuật dân dụng
46,南投SRC鋼網牆免拆模工程行,,,'0906717888,https://www.chuang-xin.com.tw/tw/about/aboutus,b0909242122@gmail.com,,557台灣南投縣竹山鎮延山里瑞山巷38號,,,,,,,,0,,,Công ty xây dựng
47,春福建設股份有限公司,,,'035326220,https://www.chunfu.com.tw/,info@chunfu.com.tw,,300台灣新竹市東區文華里北大路88號,,,,,,,,0,,,Công ty xây dựng
48,傳說藝品有限公司,,,'088645005,http://www.chuanso.com.tw/tw/,a8645005@yahoo.com.tw,,926台灣屏東縣南州鄉七塊村七塊路5號,,,,,,,,0,,,Công ty xây dựng
49,群臻鋼網牆工程行,,,'0973836466,https://www.chunjen-src.com.tw/,wsm6423@gmail.com,,43346台灣臺中市沙鹿區清泉里東大路二段1641號,,,,,,,,0,,,Dịch vụ phục hồi / trùng tu công trình
50,中麟營造股份有限公司,,,'0227074216,https://www.chunglin.com.tw/,shao@chunglin.com.tw,,110054台灣臺北市信義區忠孝東路四段560號2樓,,,,,,,,0,,,Công ty xây dựng
51,奇品臻典-接待會館,,,'0425852898,https://www.chyipiin.com.tw/%E5%A5%87%E5%93%81%E8%87%BB%E7%BE%8E,chyipiin@yahoo.com.tw,,423台灣臺中市東勢區延平里東關路七段233號,,,,,,,,0,,,Công ty xây dựng
52,中麗建設股份有限公司,,,'033588979,https://chung-li.com.tw/,chungli@chung-li.com.tw,,330台灣桃園市桃園區同安里藝文一街86之6號9 樓,,,,,,,,0,,,Công ty xây dựng
53,ckgroup,,,'0227849730,https://www.ckgroup.com.tw/,service@ckgroup.com.tw,,106台灣臺北市大安區敦化南路二段,,,,,,,,0,,,Công ty công trình dân dụng / Kỹ thuật dân dụng
54,嘉楠建設股份有限公司,,,'055353568,http://www.cngroup.com.tw/,chna.con@gmail.com,,640台灣雲林縣斗六市成功里成功二街50號,,,,,,,,0,,,Công ty xây dựng
55,毅成建設股份有限公司,,,'0223258666,http://www.construction.com.tw/,edward.wang@construction.com.tw,,106台灣臺北市大安區義安里安和路二段60號,,,,,,,,0,,,Công ty công trình dân dụng / Kỹ thuật dân dụng
56,晶楊模板工程（梅山賢）/晶嵩開發營造,,,'0937350721,https://crystal-js.net/,jingsong412@gmail.com,,603台灣嘉義縣梅山鄉梅北村環南路412號,,,,,,,,0,,,Công ty công trình dân dụng / Kỹ thuật dân dụng
57,定誠營造股份有限公司,,,'065818611,https://www.cwdc.com.tw/,dingcheng.co@cwdc.com.tw,,741台灣臺南市善化區東關里中山路349號5 樓,,,,,,,,0,,,Công ty xây dựng
58,中欣開發股份有限公司,,,'075362500,http://www.cpdc-csc.com.tw/,cpdc0@mail.csc.com.tw,,80661台灣高雄市前鎮區意誠里成功二路88號23樓,,,,,,,,0,,,Nhà thầu phụ công trình
59,昌益事業群 - Building Your Dream,,,'036885688,http://www.cy-arch.com.tw/company.aspx,cy-arch@cy-arch.com.tw,,300台灣新竹市東區豐功里公道五路二段417號,,,,,,,,0,,,Công ty xây dựng
60,宬億企業有限公司,,,'047121333,http://www.cygo.com.tw/,cy.ddnice@gmail.com,,500台灣彰化縣彰化市文心街16號,,,,,,,,0,,,Đơn vị xây dựng nhà theo yêu cầu
61,誠宜建設股份有限公司,,,'035889898,http://www.cyccl.com.tw/,service@cyccl.com.tw,,30542台灣新竹縣新埔鎮義民路三段500巷160號,,,,,,,,0,,,Công ty xây dựng
62,泉美建設股份有限公司,,,'0422310336,https://www.cyuanmay.com.tw/,cyuan.may@msa.hinet.net,,404台灣臺中市北區錦洲里進化路558號,,,,,,,,0,,,Công ty xây dựng
63,德億建築事業,,,'033017508,https://www.d-deyi.com.tw/,deyi@d-deyi.com.tw,,330台灣桃園市桃園區中正路1351號9樓,,,,,,,,0,,,Công ty xây dựng
64,泉宇建設股份有限公司,,,'0422596826,https://www.cybuild.com.tw/,cy88616@yahoo.com.tw,,407台灣臺中市西屯區潮洋里朝馬二街5號2樓,,,,,,,,0,,,Công ty xây dựng
65,全威建設聯合接待會館,,,'052269559,http://www.cyuanweibuild.com.tw/,s2228v@gmail.com,,621台灣嘉義縣民雄鄉東湖村建國路二段502號,,,,,,,,0,,,Công ty xây dựng
66,大漁建設股份有限公司,,,'0423299298,http://www.da-city.com.tw/,dz@da-city.com.tw,,408台灣臺中市南屯區大業里公益路二段51號13樓B2室,,,,,,,,0,,,Công ty xây dựng
67,大花蓮工程行,,,'038267738,http://www.da-hualien.tw/,a0958700059@gmail.com,,971台灣花蓮縣新城鄉民族路55巷1號,,,,,,,,0,,,Công ty xây dựng
68,大林蒲建物查估補償暨協力造屋平台服務據點,,,'078712080,https://www.dalinpubuild.com.tw/Consult?ModuleID=C1,kaa@kaa.org.tw,,812台灣高雄市小港區鳳森里鳳林路80巷33號3樓,,,,,,,,0,,,Đơn vị xây dựng nhà
69,得源營造有限公司,,,'065813138,http://www.de-yuan.com.tw/,chin.chu2003@msa.hinet.net,,"30之2號, 中和街東關里善化區臺南市台灣 74157",,,,,,,,0,,,Công ty xây dựng
70,德府建設股份有限公司,,,'0229182208,http://www.defu.com.tw/,info@company.com,,231台灣新北市新店區廣明里中興路一段107號1樓,,,,,,,,0,,,Công ty xây dựng
71,五結我家,,,'039503135,https://www.dajhan.com.tw/portfolio/woo/,dajhan88@gmail.com,,268台灣宜蘭縣五結鄉三吉一路123巷27弄81號,,,,,,,,0,,,Công ty xây dựng
72,大毅建設股份有限公司,,,'0422428825,http://www.dayi.com.tw/,hr@dayi.com.tw,,406台灣臺中市北屯區仁和里崇德路三段1號,,,,,,,,0,,,Công ty xây dựng
73,德高建設股份有限公司-新竹建設,,,'035382686,https://www.degao.com.tw/,degao.service@gmail.com,,300台灣新竹市北區南勢里南勢六街68號1樓,,,,,,,,0,,,Công ty xây dựng
74,德和建設股份有限公司,,,'0223453988,http://www.derho.com.tw/,der.ho@derho.com.tw,,110台灣臺北市信義區忠孝東路五段410號九樓之一,,,,,,,,0,,,Công ty xây dựng
75,德穎營造有限公司,,,'065989871,http://www.deying1989.com/,deying1989@gmail.com,,712台灣臺南市新化區豐榮里豐榮里洋子128-4號,,,,,,,,0,,,Công ty xây dựng
76,德元營造結構鋼材有限公司,,,'047551077,http://www.deyuantw.com/,service@deyuantw.com,,508台灣彰化縣和美鎮月眉里西美路150號,,,,,,,,0,,,Công ty xây dựng
77,德築建設有限公司,,,,http://www.dezu.group/,ha@dezu.group,,260台灣宜蘭縣宜蘭市建業里建蘭南路316號,,,,,,,,0,,,Công ty xây dựng
78,鼎居建設·睿宇建設有限公司,,,'052351357,https://www.diji.com.tw/,diing_jiu@yahoo.com.tw,,600台灣嘉義市西區重慶路273號,,,,,,,,0,,,Đơn vị xây dựng nhà
79,頂誠建設有限公司,,,'075375533,https://www.ding-cheng.tw/,service@dingcheng.com.tw,,806台灣高雄市前鎮區振興里林森四路233號5樓,,,,,,,,0,,,Công ty xây dựng
80,川硯營造｜建築,,,'063585671,https://www.dingkuncc.com.tw/,angchengcw@gmail.com,,700002台灣臺南市中西區淺草里河中街37巷5號,,,,,,,,0,,,Công ty xây dựng
81,鋼構屋-組合屋-帝品鋼構屋-屏東鋼構屋-屏東組合屋(地址改 萬壽路跟萬竹路路口),,,'0985738539,https://www.dipin-house.tw/,ss0985738539@gmail.com,,913台灣屏東縣萬丹鄉萬生村大發路819號,,,,,,,,0,,,Công ty xây dựng
82,大璟建設股份有限公司,,,'052281688,http://www.djcdc.com.tw/,dajing2281688@gmail.com,,600台灣嘉義市東區興安里興美六路236號,,,,,,,,0,,,Đơn vị xây dựng nhà
83,杜風工程服務股份有限公司,,,'0288098001,http://www.dofind.com.tw/,service@dofind.com.tw,,251401台灣新北市淡水區八勢里中正東路二段27-7號17樓,,,,,,,,0,,,Công ty công trình dân dụng / Kỹ thuật dân dụng
84,德和開發建設有限公司(德和大邁系列),,,'063585566,http://www.dolar.com.tw/,service@dolar.com.tw,,70451台灣臺南市北區元美里文成路601號,,,,,,,,0,,,Công ty xây dựng
85,東宸開發有限公司,,,'062950870,https://www.dong-chen.com.tw/,dongchen.official@gmail.com,,708台灣臺南市安平區永華十一街17巷25號5樓之5,,,,,,,,0,,,Công ty xây dựng
86,東名開發工程有限公司 (老屋翻修、空間設計、房屋修繕),,,'062990076,https://www.dongmingdesign.com/,tomei11104@gmail.com,,708台灣臺南市安平區華平里建平八街372巷38號,,,,,,,,0,,,Dịch vụ phục hồi / trùng tu công trình
87,東輝設計開發有限公司,,,'0425132525,http://www.donghui-design.com.tw/,dhc.co@hotmail.com,,420台灣臺中市豐原區南村里豐原大道五段189-1號,,,,,,,,0,,,Công ty xây dựng
88,高雄東起泥作工程-高雄泥作工程 泥作施工 浴室廚房翻修 房屋新建增建 壁磚.地磚.磁磚工程 中古屋整修翻新 切磚粉光泥作修繕 廚房翻修工程,,,'0970623248,http://dongtushui.com/,may999412@gmail.com,,824台灣高雄市燕巢區深水里深水路43號,,,,,,,,0,,,Đơn vị xây dựng nhà theo yêu cầu
89,成中恆營造股份有限公司,,,'0422308141,http://www.dt-cch.com.tw/,services@dt-cch.com.tw,,406台灣臺中市北屯區平安里文心路四段698號11樓,,,,,,,,0,,,Công ty xây dựng
90,得旺工程有限公司 /營建工程/投資興建,,,'077219186,https://dw59244354.weebly.com/?fbclid=IwAR2YbVa9_lAJ3DUFUTz8pYuYS2f5eGliDMSiAn4NjRTUhvKyYd1LrAWrCVo,iamshino8888@gmail.com,,806台灣高雄市前鎮區瑞昌里瑞泰街27號,,,,,,,,0,,,Dịch vụ phục hồi / trùng tu công trình
91,鼎毅建設股份有限公司,,,'036581238,http://www.dyz.com.tw/,dingyiisd@gmail.com,,302台灣新竹縣竹北市北崙里光明二街86號,,,,,,,,0,,,Công ty xây dựng
92,綠森活建設股份有限公司,,,'062363636,https://www.ecoliving.com.tw/,eco.living@msa.hinet.net,,701台灣臺南市東區圍下里民族路一段37號,,,,,,,,0,,,Công ty xây dựng
93,藝地實業有限公司 ED,,,'0227948168,https://edservice.com.tw/,ed.service.tw@gmail.com,,241台灣新北市三重區富貴里集賢路146號3樓,,,,,,,,0,,,Công ty công trình dân dụng / Kỹ thuật dân dụng
94,盈發營造有限公司,,,'036590357,https://www.engfer.com.tw/,engfer@ms74.hinet.net,,30074台灣新竹市東區新莊里光復路一段507號10樓,,,,,,,,0,,,Công ty công trình dân dụng / Kỹ thuật dân dụng
95,嘉品開發建設有限公司,,,'048853268,https://www.facebook.com/%E5%98%89%E5%93%81%E9%96%8B%E7%99%BC%E5%BB%BA%E8%A8%AD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-264140067829996/,jiapin5168@gmail.com,,514台灣彰化縣溪湖鎮大突里大公十街20號,,,,,,,,0,,,Công ty xây dựng
96,藏富建設股份有限公司,,,'0422966808,https://www.everich.com.tw/,everichyourlife@gmail.com,,407台灣臺中市西屯區惠來里市政路386號8樓,,,,,,,,0,,,Công ty xây dựng
97,寬澄建築有限公司,,,'062229990,https://www.facebook.com/%E5%AF%AC%E6%BE%84%E5%BB%BA%E7%AF%89%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-100798328754121,kuanchenbd@gmail.com,,704401台灣臺南市北區公園里成功路22巷42弄16號1樓,,,,,,,,0,,,Công ty xây dựng
98,惠鉅建設-藏睿,,,,https://www.facebook.com/%E6%83%A0%E9%89%85%E5%BB%BA%E8%A8%AD-%E8%97%8F%E7%9D%BF-109504151293008/?ref=page_internal,hj@huijucon.com,,260台灣宜蘭縣宜蘭市梅洲里鎮平二路158號,,,,,,,,0,,,Công ty xây dựng
99,景升建設股份有限公司,,,'037690861,https://www.facebook.com/%E6%99%AF%E5%8D%87%E5%BB%BA%E8%A8%AD%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-109568504874615,jingsheng91016207@gmail.com,,台灣苗栗縣頭份市自強路246號之1號351,,,,,,,,0,,,Công ty xây dựng
100,桂冠建設,,,'039386758,https://www.facebook.com/%E6%A1%82%E5%86%A0%E5%BB%BA%E8%A8%AD-1623864367855315/,gg24247926@gmail.com,,260台灣宜蘭縣宜蘭市東村里陽明一路67號,,,,,,,,0,,,Đơn vị xây dựng nhà
101,白手砌家房屋修繕,,,'0976911055,https://www.facebook.com/%E7%99%BD%E6%89%8B%E7%A0%8C%E5%AE%B6%E6%88%BF%E5%B1%8B%E4%BF%AE%E7%B9%95-349050905264781,mongjia830622@gmail.com,,310台灣新竹縣竹東鎮雲南路56巷160-10號,,,,,,,,0,,,Dịch vụ phục hồi / trùng tu công trình
102,泰成工程行,,,'0932893445,https://www.facebook.com/%E6%B3%B0%E6%88%90%E9%98%B2%E6%B0%B4%E6%8A%93%E6%BC%8F-547607478717436,taicheng889@gmail.com,,842台灣高雄市旗山區三協里花旗二路148巷6弄24號,,,,,,,,0,,,Công ty xây dựng
103,禾苑接待會館,,,'039255898,https://www.facebook.com/%E7%A6%BE%E8%8B%91-Riverside-Villa-249739082641652/,singer1023@gmail.com,,263台灣宜蘭縣壯圍鄉新南村新南路二段230巷5弄1號,,,,,,,,0,,,Công ty xây dựng
104,英特嵐開發建設有限公司,,,'073866219,https://www.facebook.com/%E8%8B%B1%E7%89%B9%E5%B5%90%E9%96%8B%E7%99%BC%E5%BB%BA%E8%A8%AD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-100896378332760/,intelligent.tw@gmail.com,,807台灣高雄市三民區正順里大順二路435號,,,,,,,,0,,,Công ty xây dựng
105,雅朋營造有限公司,,,'039254488,https://www.facebook.com/%E9%9B%85%E6%9C%8B%E7%87%9F%E9%80%A0%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-108332927315609/,we7286@gmail.com,,260台灣宜蘭縣宜蘭市南津里縣政五街128巷95號,,,,,,,,0,,,Công ty xây dựng
106,家裡興,,,'0916282769,https://www.facebook.com/%E9%BE%8D%E5%AD%B8%E5%BB%BA%E8%A8%AD-363726004233600/,longxueno1@gmail.com,,722台灣臺南市佳里區六安里延平路585號,,,,,,,,0,,,Công ty xây dựng
107,蕎榮建設,,,'0958217333,https://www.facebook.com/2020LittleFlower/,2020littleflower@gmail.com,,266台灣宜蘭縣三星鄉大洲村五分路一段211號,,,,,,,,0,,,Công ty xây dựng
108,祥昇工程行,,,'0922110307,https://www.facebook.com/a0922110307/,a0922110307@gmail.com,,920台灣屏東縣潮州鎮八爺里介壽路351號,,,,,,,,0,,,Dịch vụ phục hồi / trùng tu công trình
109,兆曜工程,,,'0921797953,https://www.facebook.com/545zhaoyao,chakichen77@gmail.com,,545台灣南投縣埔里鎮枇杷里樹人二街台灣1-18號,,,,,,,,0,,,Dịch vụ phục hồi / trùng tu công trình
110,旺宅-虎厝101,,,'0912299014,https://www.facebook.com/abl3608yujuewang?mibextid=LQQJ4d,stu80115@yahoo.com.tw,,269台灣宜蘭縣冬山鄉鹿埔村鹿埔路394巷27弄101號,,,,,,,,0,,,Dịch vụ phục hồi / trùng tu công trình
111,保源房屋修繕新建工程（保源開發建設有限公司）,,,'0912007177,http://www.facebook.com/andy0917356558/,andy99588@gmail.com,,807台灣高雄市三民區鼎盛里鼎中路797號,,,,,,,,0,,,Dịch vụ phục hồi / trùng tu công trình
112,詠盛興營建機構,,,'0424364686,https://www.facebook.com/Build.Taichung/,chant.glory@gmail.com,,40643台灣臺中市北屯區和平里松竹路一段5號之1樓,,,,,,,,0,,,Công ty xây dựng
113,昌大工程行,,,'0928545663,https://www.facebook.com/changdawork/,cancerace@gmail.com,,710台灣臺南市永康區網寮里永春街13巷39號1樓,,,,,,,,0,,,Công ty xây dựng
114,誠信建築營造有限公司,,,'0911491247,https://www.facebook.com/chengxinworks/?ref=page_internal,chengxinworks@gmail.com,,814台灣高雄市仁武區仁心路236之號1右2,,,,,,,,0,,,Dịch vụ phục hồi / trùng tu công trình
115,晴越系列7 晴越安居,,,'0426867518,https://www.facebook.com/ChingYueCC,chingyue8@gmail.com,,439台灣臺中市大安區松九街,,,,,,,,0,,,Đơn vị xây dựng nhà theo yêu cầu
116,佑維企業社,,,'0922053131,https://www.facebook.com/ChinHung888,yhomrar@gmail.com,,976台灣花蓮縣光復鄉大華村華新街10號,,,,,,,,0,,,Nhà thầu phụ công trình
117,建揚營造工程有限公司,,,'033387331,https://www.facebook.com/CYCEM1987/,cy.cy338@msa.hinet.net,,330台灣桃園市桃園區泰山里中山路425巷6號,,,,,,,,0,,,Nhà thầu phụ công trình
118,大研建設有限公司/實踐家建設有限公司,,,,https://www.facebook.com/Dayan.DreamRealizer,dayan27593420@gmail.com,,970台灣花蓮縣花蓮市國裕里富強路105號,,,,,,,,0,,,Công ty xây dựng
119,帝寶龍建設,,,'0928919047,https://www.facebook.com/DBLNBD/,muxin.adc@gmail.com,,台灣彰化縣和美鎮南雷路3號508,,,,,,,,0,,,Đơn vị xây dựng nhà theo yêu cầu
120,全方位宅修,,,'0972616527,https://www.facebook.com/felixMr.Lai/,bread7923@gmail.com,,708台灣臺南市安平區金城里同平路96巷27號,,,,,,,,0,,,Đơn vị xây dựng nhà theo yêu cầu
121,國龍建設有限公司,,,'088350553,https://www.facebook.com/GuoLongConstruction,pt8350553@gmail.com,,928台灣屏東縣東港鎮東津里沿海五路230號,,,,,,,,0,,,Công ty xây dựng
122,理想的家貨櫃生活館,,,'0910569494,https://www.facebook.com/idealhome888,a0910569494@gmail.com,,542台灣南投縣草屯鎮富寮里富頂路一段545-5號,,,,,,,,0,,,Đơn vị xây dựng nhà theo yêu cầu
123,集成建築 - 集學 銷售會館,,,'035968188,https://www.facebook.com/integration1185,integration1185@gail.com,,310台灣新竹縣竹東鎮上舘里中豐路二段138號,,,,,,,,0,,,Công ty xây dựng
