Nosaukums,Mitnes_valsts,Registracijas_numurs_mitnes_valsti,Juridiska_adrese,Komersanta_veids,Aktuala_kvalifikacijas_klase,Aktualas_kvalifikacijas_klases_pieskirsanas_datums,Registra_numurs,Registrets,Aktualais_statuss,Kontaktu_adrese,Kontaktu_talrunis,Kontaktu_e_pasta_adrese,Majas_lapa,Darbibas_sferas,Darbibas_jomas
"Sabiedrība ar ierobežotu atbildību ""Stikla dizaina grupa""",LV,40103689511,"Matīsa iela 92, Rīga, LV-1009",Sabiedrība ar ierobežotu atbildību,4. klase,2020-04-06,11233-R,2013-12-20,Aktīvs,"Matīsa iela 92, Rīga, LV - 1009",29496283,ziedonis@glazeri.lv,,Ēku būvdarbu vadīšana un būvuzraudzība;Arhitekta prakse,
"Sabiedrība ar ierobežotu atbildību ""Stikla dizaina grupa""",LV,40103689511,"Matīsa iela 92, Rīga, LV-1009",Sabiedrība ar ierobežotu atbildību,4. klase,2020-06-02,11233-R,2013-12-20,Aktīvs,"Matīsa iela 92, Rīga, LV - 1009",29496283,ziedonis@glazeri.lv,,Ēku būvdarbu vadīšana un būvuzraudzība;Arhitekta prakse,
"Sabiedrība ar ierobežotu atbildību ""Stikla dizaina grupa""",LV,40103689511,"Matīsa iela 92, Rīga, LV-1009",Sabiedrība ar ierobežotu atbildību,4. klase,2024-07-16,11233-R,2013-12-20,Aktīvs,"Matīsa iela 92, Rīga, LV - 1009",29496283,ziedonis@glazeri.lv,,Ēku būvdarbu vadīšana un būvuzraudzība;Arhitekta prakse,
"Sabiedrība ar ierobežotu atbildību ""Stikla dizaina grupa""",LV,40103689511,"Matīsa iela 92, Rīga, LV-1009",Sabiedrība ar ierobežotu atbildību,4. klase,2021-06-09,11233-R,2013-12-20,Aktīvs,"Matīsa iela 92, Rīga, LV - 1009",29496283,ziedonis@glazeri.lv,,Ēku būvdarbu vadīšana un būvuzraudzība;Arhitekta prakse,
"Sabiedrība ar ierobežotu atbildību ""Stikla dizaina grupa""",LV,40103689511,"Matīsa iela 92, Rīga, LV-1009",Sabiedrība ar ierobežotu atbildību,4. klase,2022-06-16,11233-R,2013-12-20,Aktīvs,"Matīsa iela 92, Rīga, LV - 1009",29496283,ziedonis@glazeri.lv,,Ēku būvdarbu vadīšana un būvuzraudzība;Arhitekta prakse,
"Sabiedrība ar ierobežotu atbildību ""Stikla dizaina grupa""",LV,40103689511,"Matīsa iela 92, Rīga, LV-1009",Sabiedrība ar ierobežotu atbildību,4. klase,2023-06-27,11233-R,2013-12-20,Aktīvs,"Matīsa iela 92, Rīga, LV - 1009",29496283,ziedonis@glazeri.lv,,Ēku būvdarbu vadīšana un būvuzraudzība;Arhitekta prakse,
"Sabiedrība ar ierobežotu atbildību ""Stikla dizaina grupa""",LV,40103689511,"Matīsa iela 92, Rīga, LV-1009",Sabiedrība ar ierobežotu atbildību,4. klase,2025-08-26,11233-R,2013-12-20,Aktīvs,"Matīsa iela 92, Rīga, LV - 1009",29496283,ziedonis@glazeri.lv,,Ēku būvdarbu vadīšana un būvuzraudzība;Arhitekta prakse,
"Sabiedrība ar ierobežotu atbildību ""Angāri un paviljoni""",LV,40003976903,"Ulbrokas iela 44A, Rīga, LV-1021",Sabiedrība ar ierobežotu atbildību,5. klase,2019-05-10,11232-R,2013-12-19,Izslēgts,"Ulbrokas iela 44A, Rīga, LV - 1021","","",www.angar.lv,,
"Sabiedrība ar ierobežotu atbildību ""Angāri un paviljoni""",LV,40003976903,"Ulbrokas iela 44A, Rīga, LV-1021",Sabiedrība ar ierobežotu atbildību,5. klase,2020-06-02,11232-R,2013-12-19,Izslēgts,"Ulbrokas iela 44A, Rīga, LV - 1021","","",www.angar.lv,,
"Sabiedrība ar ierobežotu atbildību ""Būvuzņēmēju apvienība""",LV,40103723794,"Latgales iela 127, Rīga, LV-1003",Sabiedrība ar ierobežotu atbildību,4. klase,2024-07-02,11231-R,2013-12-19,Aktīvs,"Maskavas iela 127, Rīga, LV - 1003",29228115,buvapvieniba@buvapvieniba.lv,,"Ēku būvdarbu vadīšana un būvuzraudzība;Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība;Ceļu būvdarbu vadīšana un būvuzraudzība;Ceļu būvdarbu vadīšana un būvuzraudzība;Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Meliorācijas sistēmu būvdarbu vadīšana un būvuzraudzība",
"Sabiedrība ar ierobežotu atbildību ""Būvuzņēmēju apvienība""",LV,40103723794,"Latgales iela 127, Rīga, LV-1003",Sabiedrība ar ierobežotu atbildību,5. klase,2017-05-23,11231-R,2013-12-19,Aktīvs,"Maskavas iela 127, Rīga, LV - 1003",29228115,buvapvieniba@buvapvieniba.lv,,"Ēku būvdarbu vadīšana un būvuzraudzība;Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība;Ceļu būvdarbu vadīšana un būvuzraudzība;Ceļu būvdarbu vadīšana un būvuzraudzība;Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Meliorācijas sistēmu būvdarbu vadīšana un būvuzraudzība",
"Sabiedrība ar ierobežotu atbildību ""Būvuzņēmēju apvienība""",LV,40103723794,"Latgales iela 127, Rīga, LV-1003",Sabiedrība ar ierobežotu atbildību,4. klase,2021-05-26,11231-R,2013-12-19,Aktīvs,"Maskavas iela 127, Rīga, LV - 1003",29228115,buvapvieniba@buvapvieniba.lv,,"Ēku būvdarbu vadīšana un būvuzraudzība;Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība;Ceļu būvdarbu vadīšana un būvuzraudzība;Ceļu būvdarbu vadīšana un būvuzraudzība;Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Meliorācijas sistēmu būvdarbu vadīšana un būvuzraudzība",
"Sabiedrība ar ierobežotu atbildību ""Būvuzņēmēju apvienība""",LV,40103723794,"Latgales iela 127, Rīga, LV-1003",Sabiedrība ar ierobežotu atbildību,4. klase,2026-07-15,11231-R,2013-12-19,Aktīvs,"Maskavas iela 127, Rīga, LV - 1003",29228115,buvapvieniba@buvapvieniba.lv,,"Ēku būvdarbu vadīšana un būvuzraudzība;Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība;Ceļu būvdarbu vadīšana un būvuzraudzība;Ceļu būvdarbu vadīšana un būvuzraudzība;Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Meliorācijas sistēmu būvdarbu vadīšana un būvuzraudzība",
"Sabiedrība ar ierobežotu atbildību ""Būvuzņēmēju apvienība""",LV,40103723794,"Latgales iela 127, Rīga, LV-1003",Sabiedrība ar ierobežotu atbildību,4. klase,2019-05-10,11231-R,2013-12-19,Aktīvs,"Maskavas iela 127, Rīga, LV - 1003",29228115,buvapvieniba@buvapvieniba.lv,,"Ēku būvdarbu vadīšana un būvuzraudzība;Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība;Ceļu būvdarbu vadīšana un būvuzraudzība;Ceļu būvdarbu vadīšana un būvuzraudzība;Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Meliorācijas sistēmu būvdarbu vadīšana un būvuzraudzība",
"Sabiedrība ar ierobežotu atbildību ""Būvuzņēmēju apvienība""",LV,40103723794,"Latgales iela 127, Rīga, LV-1003",Sabiedrība ar ierobežotu atbildību,4. klase,2020-05-18,11231-R,2013-12-19,Aktīvs,"Maskavas iela 127, Rīga, LV - 1003",29228115,buvapvieniba@buvapvieniba.lv,,"Ēku būvdarbu vadīšana un būvuzraudzība;Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība;Ceļu būvdarbu vadīšana un būvuzraudzība;Ceļu būvdarbu vadīšana un būvuzraudzība;Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Meliorācijas sistēmu būvdarbu vadīšana un būvuzraudzība",
"Sabiedrība ar ierobežotu atbildību ""Būvuzņēmēju apvienība""",LV,40103723794,"Latgales iela 127, Rīga, LV-1003",Sabiedrība ar ierobežotu atbildību,4. klase,2023-06-12,11231-R,2013-12-19,Aktīvs,"Maskavas iela 127, Rīga, LV - 1003",29228115,buvapvieniba@buvapvieniba.lv,,"Ēku būvdarbu vadīšana un būvuzraudzība;Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība;Ceļu būvdarbu vadīšana un būvuzraudzība;Ceļu būvdarbu vadīšana un būvuzraudzība;Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Meliorācijas sistēmu būvdarbu vadīšana un būvuzraudzība",
"Sabiedrība ar ierobežotu atbildību ""Būvuzņēmēju apvienība""",LV,40103723794,"Latgales iela 127, Rīga, LV-1003",Sabiedrība ar ierobežotu atbildību,4. klase,2022-06-02,11231-R,2013-12-19,Aktīvs,"Maskavas iela 127, Rīga, LV - 1003",29228115,buvapvieniba@buvapvieniba.lv,,"Ēku būvdarbu vadīšana un būvuzraudzība;Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība;Ceļu būvdarbu vadīšana un būvuzraudzība;Ceļu būvdarbu vadīšana un būvuzraudzība;Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Meliorācijas sistēmu būvdarbu vadīšana un būvuzraudzība",
"Sabiedrība ar ierobežotu atbildību ""Būvuzņēmēju apvienība""",LV,40103723794,"Latgales iela 127, Rīga, LV-1003",Sabiedrība ar ierobežotu atbildību,5. klase,2025-07-07,11231-R,2013-12-19,Aktīvs,"Maskavas iela 127, Rīga, LV - 1003",29228115,buvapvieniba@buvapvieniba.lv,,"Ēku būvdarbu vadīšana un būvuzraudzība;Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība;Ceļu būvdarbu vadīšana un būvuzraudzība;Ceļu būvdarbu vadīšana un būvuzraudzība;Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Meliorācijas sistēmu būvdarbu vadīšana un būvuzraudzība",
"Sabiedrība ar ierobežotu atbildību ""Būvuzņēmēju apvienība""",LV,40103723794,"Latgales iela 127, Rīga, LV-1003",Sabiedrība ar ierobežotu atbildību,4. klase,2026-04-09,11231-R,2013-12-19,Aktīvs,"Maskavas iela 127, Rīga, LV - 1003",29228115,buvapvieniba@buvapvieniba.lv,,"Ēku būvdarbu vadīšana un būvuzraudzība;Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība;Ceļu būvdarbu vadīšana un būvuzraudzība;Ceļu būvdarbu vadīšana un būvuzraudzība;Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Meliorācijas sistēmu būvdarbu vadīšana un būvuzraudzība",
"Titan-Pro, SIA",LV,40103734834,"Dzintaru prospekts 48 k-1-5, Jūrmala, LV-2015",Sabiedrība ar ierobežotu atbildību,,,11230-R,2013-12-19,Izslēgts,"Mazā Krasta iela 65-12, Rīga, LV - 1003",29962566,info.titanpro.lv@gmail.com,"",,
"Sabiedrība ar ierobežotu atbildību ""Electronia""",LV,40103281340,"Daugavgrīvas iela 116, Rīga, LV-1055",Sabiedrība ar ierobežotu atbildību,,,11229-R,2013-12-18,Izslēgts,"Daugavgrīvas iela 116, Rīga, LV - 1055",27866777,siaintroproject@gmail.com,"",,
"Sabiedrība ar ierobežotu atbildību ""SNL GROUP""",LV,40103719125,"Sarmas iela 7-56, Rīga, LV-1015",Sabiedrība ar ierobežotu atbildību,,,11228-R,2013-12-18,Aktīvs,"Sarmas iela 8-6, Rīgā",26304342,jekaterina.apse@inbox.lv,"","Pārvades, uzglabāšanas, sadales un lietotāju gāzapgādes sistēmu un naftas apgādes sistēmu projektēšana",
"Sabiedrība ar ierobežotu atbildību ""BAZA BUILDING""",LV,42103049831,"""Brieži"", Bārtas pag., Dienvidkurzemes nov., LV-3482",Sabiedrība ar ierobežotu atbildību,,,11227-R,2013-12-18,Izslēgts,"""Brieži"", Bārta, Bārtas pag, Grobiņas nov, LV - 3482",20399300,info@bazabuilding.lv,www.bazabuilding.lv,,
"Sabiedrība ar ierobežotu atbildību ""URIKON""",LV,40103642559,"Krāslavas iela 34-40, Rīga, LV-1003",Sabiedrība ar ierobežotu atbildību,4. klase,2019-05-21,11226-R,2013-12-17,Aktīvs,"Krāslavas iela 34-40, Rīga, LV - 1003",,,,,
"Sabiedrība ar ierobežotu atbildību ""URIKON""",LV,40103642559,"Krāslavas iela 34-40, Rīga, LV-1003",Sabiedrība ar ierobežotu atbildību,5. klase,2018-06-11,11226-R,2013-12-17,Aktīvs,"Krāslavas iela 34-40, Rīga, LV - 1003",,,,,
"Sabiedrība ar ierobežotu atbildību ""URIKON""",LV,40103642559,"Krāslavas iela 34-40, Rīga, LV-1003",Sabiedrība ar ierobežotu atbildību,5. klase,2017-05-25,11226-R,2013-12-17,Aktīvs,"Krāslavas iela 34-40, Rīga, LV - 1003",,,,,
"Sabiedrība ar ierobežotu atbildību ""URIKON""",LV,40103642559,"Krāslavas iela 34-40, Rīga, LV-1003",Sabiedrība ar ierobežotu atbildību,4. klase,2019-06-20,11226-R,2013-12-17,Aktīvs,"Krāslavas iela 34-40, Rīga, LV - 1003",,,,,
"Sabiedrība ar ierobežotu atbildību ""Bauprofessional group""",LV,40103712004,"Mazā Krūmu iela 1-29, Rīga, LV-1069",Sabiedrība ar ierobežotu atbildību,,,11225-R,2013-12-17,Izslēgts,"Zentenes iela 23-29, Rīga, LV - 1069",27739177; 28262854,bauprofessional.group@gmail.com,"",,
"SIA ""CONSTRON""",LV,43603041985,"Rīgas iela 18-78, Ozolnieki, Ozolnieku pag., Jelgavas nov., LV-3018",Sabiedrība ar ierobežotu atbildību,,,11224-R,2013-12-17,Izslēgts,"Rīgas iela 18-78, Ozolnieki, Ozolnieku pag, Ozolnieku nov, LV - 3018",25667476,constron@inbox.lv,,,
"Sabiedrība ar ierobežotu atbildību ""AR & C""",LV,40103689386,"Lakstīgalas iela 3, Inčukalns, Inčukalna pag., Siguldas nov., LV-2141",Sabiedrība ar ierobežotu atbildību,,,11223-R,2013-12-17,Izslēgts,"Ludzas iela 2, Rīga, LV - 1003",26557899,ar-c@inbox.lv,,,
"Sabiedrība ar ierobežotu atbildību ""AMINATA""",LV,44103089673,"Celtnieku iela 7, Cēsis, Cēsu nov., LV-4101",Sabiedrība ar ierobežotu atbildību,,,11222-R,2013-12-16,Izslēgts,"Celtnieku iela 7, Cēsis, Cēsu nov, LV - 4101",22021001,siaaminata@inbox.lv,"",,
"SIA ""Formaxx""",LV,40103218746,"Čiekurkalna 1. līnija 84, Rīga, LV-1026",Sabiedrība ar ierobežotu atbildību,,,11221-R,2013-12-16,Izslēgts,"Veldres iela 1-35, Rīga, LV - 1064",22171199,info@formax.lv,www.formax.lv,,
"SIA ""AR Metals""",LV,43603052762,"Jāņa Čakstes bulvāris 9-62, Jelgava, LV-3001",Sabiedrība ar ierobežotu atbildību,4. klase,2017-05-23,11220-R,2013-12-16,Aktīvs,"Upes iela 8, Atpūta, Svētes pag, Jelgavas nov, LV - 3008",24202812,info@armetals.lv,"","Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība",
"SIA ""AR Metals""",LV,43603052762,"Jāņa Čakstes bulvāris 9-62, Jelgava, LV-3001",Sabiedrība ar ierobežotu atbildību,4. klase,2018-06-26,11220-R,2013-12-16,Aktīvs,"Upes iela 8, Atpūta, Svētes pag, Jelgavas nov, LV - 3008",24202812,info@armetals.lv,"","Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība",
"SIA ""AR Metals""",LV,43603052762,"Jāņa Čakstes bulvāris 9-62, Jelgava, LV-3001",Sabiedrība ar ierobežotu atbildību,4. klase,2019-07-02,11220-R,2013-12-16,Aktīvs,"Upes iela 8, Atpūta, Svētes pag, Jelgavas nov, LV - 3008",24202812,info@armetals.lv,"","Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība",
"SIA ""AR Metals""",LV,43603052762,"Jāņa Čakstes bulvāris 9-62, Jelgava, LV-3001",Sabiedrība ar ierobežotu atbildību,4. klase,2020-07-13,11220-R,2013-12-16,Aktīvs,"Upes iela 8, Atpūta, Svētes pag, Jelgavas nov, LV - 3008",24202812,info@armetals.lv,"","Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība",
"SIA ""AR Metals""",LV,43603052762,"Jāņa Čakstes bulvāris 9-62, Jelgava, LV-3001",Sabiedrība ar ierobežotu atbildību,4. klase,2021-07-21,11220-R,2013-12-16,Aktīvs,"Upes iela 8, Atpūta, Svētes pag, Jelgavas nov, LV - 3008",24202812,info@armetals.lv,"","Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība",
"SIA ""AR Metals""",LV,43603052762,"Jāņa Čakstes bulvāris 9-62, Jelgava, LV-3001",Sabiedrība ar ierobežotu atbildību,4. klase,2024-08-21,11220-R,2013-12-16,Aktīvs,"Upes iela 8, Atpūta, Svētes pag, Jelgavas nov, LV - 3008",24202812,info@armetals.lv,"","Ūdensapgādes un kanalizācijas sistēmu (ieskaitot ugunsdzēsības sistēmas) būvdarbu vadīšana un būvuzraudzība;Siltumapgādes, ventilācijas un gaisa kondicionēšanas sistēmu būvdarbu vadīšana un būvuzraudzība",
