stt,name,business_id,website,email,phone,address,postal_code,city,cities_all,province,keywords_found,offices_count,tol_code,tol_name,line_of_business,company_form,turnover_k_eur,employees,operating_profit_k_eur,facebook_url,linkedin_url,finder_url,tag_doanh_nghiep_maps,dia_chi_maps,nguon_enrich
11,Lokki Henkilöstöpalvelut Oy,2003065-3,https://www.lokki.fi,info@lokki.fi,050 549 9221,Mannerheimintie 103B,00280,HELSINKI,HELSINKI; TAMPERE; TURKU; OULU; MERIKAARTO; KUOPIO; LAHTI,Uudenmaan maakunta,Henkilöstövuokraus; Rekrytointi,11,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstön uudelleensijoitus; Henkilöstövuokraus; Rekrytointi,Osakeyhtiö,6777,131,-54,http://facebook.com/LokkiHenkilostopalvelutOy/,https://www.linkedin.com/company/lokki-henkil%C3%B6st%C3%B6palvelut-oy/,https://www.finder.fi/yritys/802772,,,
12,Hinkutiimi Oy,1092697-4,https://www.hinkutiimi.fi,hinkutiimi@hinkutiimi.fi,041 317 4501,Teknologiapuisto 1,61800,KAUHAJOKI,KAUHAJOKI,Etelä-Pohjanmaan maakunta,Henkilöstövuokraus; Rekrytointi,2,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,788,17,-6,,,https://www.finder.fi/yritys/191689,,,
13,Työmyyräpalvelu Oy,1645619-2,https://www.tyomyyra.fi,juha.rusanen@tyomyyra.fi,040 555 4490,Gneissitie 18,90620,OULU,OULU,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus; Rekrytointi,2,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,1127,13,,https://www.facebook.com/1272425559438739,,https://www.finder.fi/yritys/419881,,,
14,EST Henkilöstöpalvelut Oy,2811509-6,https://www.esthenkilosto.fi,kai.tillanen@estpalvelut.fi,050 327 5883,Porrassalmenkatu 21 B,50100,MIKKELI,MIKKELI,Etelä-Savon maakunta,Henkilöstövuokraus; Rekrytointi,2,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,3509,63,74,http://facebook.com/EST-Henkil%C3%B6st%C3%B6palvelut-1738201323142763,https://www.linkedin.com/company/est-henkil%C3%B6st%C3%B6palvelut-oy,https://www.finder.fi/yritys/3159539,,,
15,HR Mentor Oy,2872458-8,https://www.helpporekry.fi,info@hrmentor.fi,050 555 9127,"Viestikatu 7 B, 5.krs",70600,KUOPIO,KUOPIO,Pohjois-Savon maakunta,Henkilöstövuokraus; Rekrytointi,2,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,90,176,https://www.facebook.com/2081795655376525,,https://www.finder.fi/yritys/3197795,,,
16,Takework Oy,3265205-4,https://www.takework.fi,info@takework.fi,040 085 5240,Aku Korhosen tie 8,00440,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus; Rekrytointi,2,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,2039,32,17,https://www.facebook.com/takeworkoy,,https://www.finder.fi/yritys/3773000,,,
17,Apuvoima Pirkanmaa Oy,3398828-9,https://apuvoima.com,roope.oksanen@apuvoima.com,040 074 0818,Tullikatu 6 Kauppakeskus Tullintori 2. kerros,33100,TAMPERE,TAMPERE,Pirkanmaan maakunta,Henkilöstövuokraus; Rekrytointi,2,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,6363,142,377,https://www.facebook.com/504219266105069,https://www.linkedin.com/company/apuvoima/,https://www.finder.fi/yritys/4051677,,,
18,Hunaja Works Oy,3520447-6,https://www.hunajaworks.fi,juha.oksanen@hunajaworks.fi; tomi.jylha@hunajaworks.fi; juha.lehtonen@hunajaworks.fi; roni.mesikammen@hunajaworks.fi; julia.bilozor@hunajaworks.fi; roope.oksanen@apuvoima.com; teemu.aalto@apuvoima.com,040 094 6007,,,Turku,Turku,Varsinais-Suomen maakunta,Henkilöstövuokraus; Rekrytointi,2,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,297,6,-166,,https://www.linkedin.com/company/hunaja-works-oy/,https://www.finder.fi/yritys/4190679,Rekrytoija,"Maariankatu 2, 20100 Turku, Suomi",Website
19,Ja-Mi Group Finland Oy,3119689-4,https://jamiworks.com,mika.hakkarainen@jamiworks.com,045 340 7620,Vaasantie 6 (1. krs),67100,KOKKOLA,KOKKOLA,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,3862,7,200,,,https://www.finder.fi/yritys/3364788,,,
20,Worker Pohjois-Suomi Oy,3136234-6,https://www.worker.fi/oulu,henna.kalaoja@worker.fi,050 449 9284,Rautatienkatu 81,90400,OULU,OULU; JYVÄSKYLÄ; KAJAANI; KEMI; KUOPIO; ROVANIEMI; ÄÄNEKOSKI,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,7,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,7056,127,257,https://www.facebook.com/1984634771791591,https://www.linkedin.com/company/worker-henkilostoratkaisut,https://www.finder.fi/yritys/3487064,,,
21,ValtaGroup Oy,3130143-9,https://talentvaltagroup.fi,rekrytointi@valtagroup.fi,044 033 9993,Peltokatu 26,33100,TAMPERE,TAMPERE,Uudenmaan maakunta,Rekrytointi; Henkilöstövuokraus,2,78100,Työnvälitystoiminta,Henkilöstön uudelleensijoitus; Henkilöstövuokraus; Rekrytointi; Työsuhdepalvelut,Osakeyhtiö,2355,48,96,https://www.facebook.com/100252475377140,https://www.linkedin.com/company/valtagroup-oy,https://www.finder.fi/yritys/3389154,,,
22,Maximus Oy,2838075-4,https://www.maximus.fi,info@maximus.fi,010 820 6900,Kutojantie 6-8,02630,ESPOO,ESPOO,Uudenmaan maakunta,Rekrytointi; Henkilöstövuokraus,2,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus; Rekrytointi,Osakeyhtiö,6007,121,508,http://www.facebook.com/maximushenkilostopalvelut,https://www.linkedin.com/company/maximusoy/,https://www.finder.fi/yritys/3176244,,,
23,Annan Töitä Oy,2883219-1,https://bondata.fi,raahe@bondata.fi,044 370 0009,Sovionkatu 12-14,92100,RAAHE,RAAHE,Pohjois-Pohjanmaan maakunta,Rekrytointi; Henkilöstövuokraus,2,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus; Rekrytointi,Osakeyhtiö,785,8,14,https://www.facebook.com/BondataRaahe/,https://www.linkedin.com/company/bondata-henkilostopalvelut/posts/?feedView=all,https://www.finder.fi/yritys/3204300,,,
24,Nawia Oy,3415857-8,https://nawia.fi,hello@nawia.fi,040 595 4510,Peltokatu 26,33100,TAMPERE,TAMPERE,Pirkanmaan maakunta,Rekrytointi,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Rekrytointi,Osakeyhtiö,1074,5,156,,https://www.linkedin.com/company/nawia-oy,https://www.finder.fi/yritys/4073667,,,
25,Amrop Finland Oy,1048452-0,https://www.amrop.fi,amrop.finland@amrop.fi,09 622 9360,Kasarmikatu 36,00130,HELSINKI,HELSINKI,Uudenmaan maakunta,Rekrytointi,1,70200,Liikkeenjohdon konsultointi,Rekrytointi,Osakeyhtiö,2373,11,738,,https://www.linkedin.com/company/amrop-finland,https://www.finder.fi/yritys/205206,,,
26,Go On Kalajoki Oy,3265457-8,https://bondata.fi,kalajoki@bondata.fi,044 370 0009,Matkailutie 312,85100,KALAJOKI,KALAJOKI,Pohjois-Pohjanmaan maakunta,Rekrytointi; Henkilöstövuokraus,2,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Rekrytointi,Osakeyhtiö,863,25,30,https://www.facebook.com/BondataKalajoki/,https://www.linkedin.com/company/bondata-henkilostopalvelut/posts/?feedView=all,https://www.finder.fi/yritys/3773969,,,
27,Finnorse Oy,3499173-8,https://www.finnorse.fi,info@finnorse.fi,045 349 0727,Pahvitehtaanpolku 2 A 6,33250,TAMPERE,TAMPERE,Pirkanmaan maakunta,Rekrytointi,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Rekrytointi,Osakeyhtiö,2,2,-68,https://www.facebook.com/613226965212910,https://linkedin.com/company/finnorse-oy,https://www.finder.fi/yritys/4165509,,,
28,Rekryovi Oy,2831253-2,https://www.rekryovi.net,anu.haveri@rekryovi.net,050 320 0443,"Yliopistonkatu 31, 3 krs Regus Citykulma",20100,TURKU,TURKU,Varsinais-Suomen maakunta,Rekrytointi,1,74999,"Muualla luokittelematon kaikki muu monenlainen ammatillinen, tieteellinen ja tekninen toiminta",Henkilöstön uudelleensijoitus; Rekrytointi,Osakeyhtiö,154,1,31,,https://fi.linkedin.com/company/rekryovi-oy,https://www.finder.fi/yritys/3171896,,,
29,Compass Human Resources Group Finland Oy Ab,0982156-9,https://www.compasshrg.com/fi,compass@compasshrg.fi,010 320 2400,Energiakuja 3,00180,HELSINKI,HELSINKI,Uudenmaan maakunta,Rekrytointi,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstön uudelleensijoitus; Henkilöstövuokraus; Konsultointipalvelut; Rekrytointi; Toimialapalvelut,Osakeyhtiö,1574,14,-206,,,https://www.finder.fi/yritys/164407,,,
30,Rakennustoimisto O.Hämäläinen Oy,2640459-9,https://www.rtoh.fi,olli.hamalainen@rtoh.fi,040 842 1400,Valimotie 17-19,00380,HELSINKI,HELSINKI,Uudenmaan maakunta,Rekrytointi,1,71126,Muu rakennustekninen palvelu,Konsultointipalvelut,Osakeyhtiö,3361,16,518,,,https://www.finder.fi/yritys/3023826,,,
31,Business Joensuu Oy,2921270-1,https://www.businessjoensuu.fi,info@businessjoensuu.fi,010 419 8000,Länsikatu 15,80110,JOENSUU,JOENSUU,Pohjois-Karjalan maakunta,Rekrytointi,1,74999,"Muualla luokittelematon kaikki muu monenlainen ammatillinen, tieteellinen ja tekninen toiminta",Yrityspalvelut,Osakeyhtiö,12526,43,1083,http://facebook.com/BusinessJoensuu/,,https://www.finder.fi/yritys/3232416,,,
32,Norstat Finland Oy,1597387-6,https://norstat.co/fi,info@norstat.fi,044 766 7189,"Kaivokatu 10 A, 4.krs",00100,HELSINKI,HELSINKI,Satakunnan maakunta,Rekrytointi,1,73200,Markkina- ja mielipidetutkimukset,Markkinatutkimus,Osakeyhtiö,7725,40,1357,https://www.facebook.com/profile.php?id=100063769531386,https://www.linkedin.com/company/norstat/,https://www.finder.fi/yritys/431669,,,
33,SAM Headhunting Oy,1800381-6,https://www.sam-int.fi,info-fi@sam-int.com,040 032 3434,Keilaranta 1,02150,ESPOO,ESPOO; TAMPERE; TURKU,Uudenmaan maakunta,Rekrytointi,3,70200,Liikkeenjohdon konsultointi,Liikkeenjohdon konsultointi,Osakeyhtiö,2163,1,3,,https://www.linkedin.com/company/sam-headhunting-finland/,https://www.finder.fi/yritys/479071,,,
34,MK Rebar Oy,3257455-1,https://www.mkrebar.fi,info@mkrebar.fi,045 118 0711,Paasitie 10 B,01700,VANTAA,VANTAA,Uudenmaan maakunta,Henkilöstövuokraus,1,41000,Talonrakentaminen,"Raudoitus, betoniraudoitus",Osakeyhtiö,754,,83,https://www.facebook.com/Kelankyl%C3%A4n-rakennuspalvelut-101801181975647/,,https://www.finder.fi/yritys/3758164,,,
35,Services Netto Oy,3170630-5,https://servicesnetto.com,asiakaspalvelu@servicesnetto.com,045 661 2870,Teerisuonkuja 1,00700,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,88999,Muualla luokittelematon muu monenlainen sosiaalihuollon avopalvelutoiminta,"Hygienia-alan palvelut, saniteettialan palvelut; Korkeapainepesu; Kotisiivous; Mattojen puhdistus ja huolto; Otsonointi; Pesula; Pesulat kotitalouksille; Pesulat yrityksille ja julkiselle sektorille; Puhdistuspalvelu; Siivouspalvelu",Osakeyhtiö,1316,40,27,,,https://www.finder.fi/yritys/3549451,,,
36,Omegayksi Oy,3101703-2,https://www.omegayksi.fi,info@omegayksi.fi,044 244 2642,Sinikalliontie 3 D 59,02630,ESPOO,ESPOO; TURKU,Uudenmaan maakunta,Henkilöstövuokraus,2,88101,"Ikääntyneiden, vammaisten ja kehitysvammaisten kotihoito",Kotihoito,Osakeyhtiö,3558,42,-13,https://www.facebook.com/people/Omegayksi-Oy/100094279863502/,,https://www.finder.fi/yritys/3344479,,,
37,Asrax Oy,3103681-5,https://www.Asrax.fi,Info@asrax.fi,044 230 9873,,02630,ESPOO,ESPOO,Uudenmaan maakunta,Henkilöstövuokraus,1,41000,Talonrakentaminen,Henkilöstövuokraus; Laatoitustyöt; Rakennusliike; Rakennustelineet,Osakeyhtiö,1021,16,13,http://facebook.com/Asraxoy,https://fi.linkedin.com/company/remax-rakennus-oy?trk=public_profile_experience-item_profile-section-card_image-click,https://www.finder.fi/yritys/3346009,,,
38,MSP-Kuljetus Oy,1749985-6,https://mspkuljetus.fi,mika.peltonen@mspkuljetus.fi,040 777 2779,Ahteentaantie 421,21140,RYMÄTTYLÄ,RYMÄTTYLÄ,Varsinais-Suomen maakunta,Henkilöstövuokraus,1,50200,Meri- ja rannikkovesiliikenteen tavarankuljetus,Merikuljetuskalusto,Osakeyhtiö,153,2,1,http://facebook.com/mspkuljetus/,,https://www.finder.fi/yritys/881809,,,
39,PRV Asennus Oy,3419300-7,https://www.prv-asennus.fi,mika.raisanen@prv-asennus.fi,044 337 3079,Näverinkatu 9 B,50170,MIKKELI,MIKKELI,Etelä-Savon maakunta,Henkilöstövuokraus,1,33200,Teollisuuden koneiden ja laitteiden asennus,Teollisuuden kunnossapito,Osakeyhtiö,993,13,35,,,https://www.finder.fi/yritys/4077385,,,
40,Pirkanmaan Hitsauspalvelu Oy,3529262-1,https://pirkanmaanhitsauspalvelu.fi,pasi@pirkanmaanhitsauspalvelu.fi,050 313 3628,,38460,SASTAMALA,SASTAMALA,Pirkanmaan maakunta,Henkilöstövuokraus,1,25110,Metallirakenteiden ja niiden osien valmistus,Konepajateollisuus ja metallityöt,Osakeyhtiö,67,1,9,,,https://www.finder.fi/yritys/4199416,,,
41,Canko Ab,2797042-9,https://www.canko.fi,info@canko.fi,040 146 0377,Choraeusgatan 13 A 302,68600,PIETARSAARI,PIETARSAARI,Pohjanmaan maakunta,Henkilöstövuokraus,1,22260,Muiden muovituotteiden valmistus,Muovin valmistus,Osakeyhtiö,4473,61,187,,,https://www.finder.fi/yritys/3152010,,,
42,Apukädex Oy,3281271-6,https://www.apukadex.fi,pasi@apukadex.fi,044 981 3174,Leppäkaarteentie 41 C 16,71850,LEPPÄKAARRE,LEPPÄKAARRE,Pohjois-Savon maakunta,Henkilöstövuokraus,1,43220,"Lämpö-, vesijohto- ja ilmastointiasennus","Kylmäkoneasennus, kylmäkonehuolto",Osakeyhtiö,96,1,,https://www.facebook.com/apukadexoy/,,https://www.finder.fi/yritys/3810601,,,
43,TS-Talotecs Oy,1631196-2,https://www.tstalotecs.fi,tstalotecs@outlook.com,040 036 9304,Lyijykatu 11,05800,HYVINKÄÄ,HYVINKÄÄ,Uudenmaan maakunta,Henkilöstövuokraus; Rekrytointi,2,43999,Muu muualla luokittelematon monenlainen erikoistunut rakennustoiminta,Maalausliike,Osakeyhtiö,1239,19,-95,,,https://www.finder.fi/yritys/937611,,,
44,Talent Center Oy,2359436-6,https://www.talentcenter.fi,jari.nokkonen@talentcenter.fi,040 523 2930,Konepajanranta 4,28100,PORI,PORI; HELSINKI,Satakunnan maakunta,Henkilöstövuokraus; Rekrytointi,4,70200,Liikkeenjohdon konsultointi,Työsuhdepalvelut,Osakeyhtiö,,4,-31,http://facebook.com/talentcenter,https://www.linkedin.com/company/talent-center-oy/,https://www.finder.fi/yritys/2433322,,,
45,Mikonsju Oy,2274700-9,https://www.mikonsju.fi,mikonsju2@gmail.com,040 773 9437,Nosturinkatu 7,53300,LAPPEENRANTA,LAPPEENRANTA,Etelä-Karjalan maakunta,Henkilöstövuokraus,1,81300,Maisemanhoitopalvelut,Koneurakointi,Osakeyhtiö,3199,23,55,,,https://www.finder.fi/yritys/2196547,,,
46,Rakennus Nova Oy,3181621-3,https://www.rakennusnova.fi,info@rakennusnova.fi,044 047 7940,Kaislatie 25,26510,RAUMA,RAUMA,Satakunnan maakunta,Henkilöstövuokraus,1,41000,Talonrakentaminen,"Autotalli; Betonityöt; Elementtiasennus; Kirvesmiehet; Rakennusliike; Raudoitus, betoniraudoitus; Talonrakennus",Osakeyhtiö,46,,-13,https://www.facebook.com/102668028457355,,https://www.finder.fi/yritys/3556125,,,
47,FR Wood Oy,3424754-6,,lauri.raja@frwood.fi,050 516 0765,Telakkatie 6,49400,HAMINA,HAMINA,Kymenlaakson maakunta,Henkilöstövuokraus,1,16110,Puun sahaus ja höyläys,Puutavara,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4082440,,,
48,Tepjo Oy,2812826-8,https://www.tepjo.fi,rekry@tepjo.fi,08 613 9970,Paljetie 4 2. kerros,90140,OULU,OULU,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,1,77320,Rakennuskoneiden ja -laitteiden vuokraus ja leasing,Rakennuskonevuokraamo,Osakeyhtiö,2852,35,-59,https://www.facebook.com/Rekrytointitiimi,,https://www.finder.fi/yritys/3160099,,,
49,Yrjanan Oy,3141550-8,https://yrjanan.fi,samuli.yrjana@yrjanan.fi,040 419 0523,Repolantie 11,92910,TAVASTKENKÄ,TAVASTKENKÄ,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus; Rekrytointi,2,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Maanviljely,Osakeyhtiö,4120,99,362,,,https://www.finder.fi/yritys/3494542,,,
50,Sercado Group Oy,1545400-5,https://www.sercadogroup.fi,sercado@sercadogroup.fi,040 724 1313,,00640,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,70200,Liikkeenjohdon konsultointi,Henkilöstövuokraus; Liikkeenjohdon konsultointi,Osakeyhtiö,27,1,-8,,,https://www.finder.fi/yritys/487047,,,
51,Arma Henkilöstövuokraus Oy,2950019-9,https://www.armasecurity.fi,arto.jokinen@pp1.inet.fi,,Linnuntie 3,44120,ÄÄNEKOSKI,ÄÄNEKOSKI,Keski-Suomen maakunta,Henkilöstövuokraus,1,80010,Etsiväpalvelut ja yksityiset turvallisuuspalvelut,"Turvallisuustuotteet, turvallisuuspalvelut",Osakeyhtiö,58,1,1,,,https://www.finder.fi/yritys/3254325,,,
52,Lapin Henkilöstövuokraus,2085512-9,,suopajarvi.pekka2@gmail.com,045 112 0264,,,ROVANIEMI,ROVANIEMI,Lapin maakunta,Henkilöstövuokraus,1,02100,Metsänhoito,Metsäpalvelut,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/1604068,,,
53,henkilöstövuokraus KP Oy,3328400-3,,farhat.frutan1@gmail.com,040 853 8141,Matarinkuja 3,01400,VANTAA,VANTAA,Uudenmaan maakunta,Henkilöstövuokraus,1,96999,Muu muualla luokittelematon monenlainen henkilökohtainen palvelutoiminta,,Osakeyhtiö,574,,27,,,https://www.finder.fi/yritys/3960859,,,
54,A-voima Tampere Oy,3418792-6,https://apuvoima.com,roope.oksanen@apuvoima.com,040 074 0818,Tullikatu 6,33100,TAMPERE,TAMPERE,Pirkanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,4546,92,318,,,https://www.finder.fi/yritys/4076770,,,
55,A-voima Turku Oy,3418802-1,https://apuvoima.com,juha.oksanen@apuvoima.com,040 094 6007,Maariankatu 2,20100,TURKU,TURKU,Pirkanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,794,16,35,,,https://www.finder.fi/yritys/4076771,,,
56,ATA-Henkilöstöpalvelut Oy,2938505-5,https://atarekry.fi,harri.apell@atarekry.fi,044 275 0700,Volttikatu 6,70700,KUOPIO,KUOPIO,Pohjois-Savon maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,3107,75,7,,,https://www.finder.fi/yritys/3244081,,,
57,Aaltovoima Oy,3123782-8,https://aaltovoima.fi,marton.kinnunen@aaltovoima.fi; talous@aaltovoima.fi; niko.vartiainen@aaltovoima.fi; rauno.nissinen@aaltovoima.fi; aino.autio@aaltovoima.fi; jake.aalto@aaltovoima.fi; noora.karkinen@aaltovoima.fi; olli.holopainen@aaltovoima.fi; tommi.louhivaara@aaltovoima.fi; eveliina.kurki@aaltovoima.fi; anzhela.drach@aaltovoima.fi; sara.kervinen@aaltovoima.fi; tara@aaltovoima.fi; esimerkki@email.fi,045 266 9880,Linnoitustie 3,02600,ESPOO,ESPOO,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,2542,48,-66,https://www.facebook.com/aaltovoima,,https://www.finder.fi/yritys/3371707,,,Website
58,Adecco Finland Oy,1042464-0,https://www.adecco.fi,adecco@adecco.fi,046 710 2500,"Kuortaneenkatu 2 , 2. krs",00510,HELSINKI,HELSINKI; HYVINKÄÄ; JYVÄSKYLÄ; KOTKA; LOHJA; OULU; RAUMA; TAMPERE; TURKU; VAASA,Uudenmaan maakunta,Henkilöstövuokraus,12,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus; Rekrytointi,Osakeyhtiö,61390,119,-958,,,https://www.finder.fi/yritys/123978,,,
59,Agrells Oy,3387465-2,,info@agrells.fi,044 983 6404,Agronominkatu 1 B 56,00790,HELSINKI,HELSINKI,Pohjois-Savon maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,7,,,,,https://www.finder.fi/yritys/4038057,,,
60,Ahkera Henkilöstöpalvelut Oy,3155475-1,https://ahkeracrew.fi,pilvi@ahkeracrew.fi,050 544 8888,Teiskontie 22-24 LH 4,33540,TAMPERE,TAMPERE,Pirkanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,1378,106,8,,,https://www.finder.fi/yritys/3512987,,,
