Name,Website,Phone,Address,Rating,Reviews_Count,State,Location_Name,Latitude,Longitude,Search_Query,URL,Permanently_Closed,Category,Email
Luna Navegante Alojamento Local,,,"R. de Augusto Lessa 704, 4200-047 Porto, Portugal",,,PT,R. de Augusto Lessa 704,41.1699916,-8.6028599,"Hospedagem domiciliar in Porto, Portugal",https://www.google.com/maps/place/Luna+Navegante+Alojamento+Local/data=!4m10!3m9!1s0xd2465001a74e089:0x9caf35fc0344a0f9!5m2!4m1!1i2!8m2!3d41.1699916!4d-8.6028599!16s%2Fg%2F11zdr1fpq3!19sChIJieB0GgBlJA0R-aBEA_w1r5w?authuser=0&hl=pt-BR&rclk=1,No,,
Porto,,,"R. de Álvares Cabral 219, 4050-040 Porto, Portugal","5,0",1,PT,R. de Álvares Cabral 219,41.1549001,-8.616203,"Hospedagem domiciliar in Porto, Portugal",https://www.google.com/maps/place/Porto/data=!4m7!3m6!1s0xd24650079cf543b:0x807008537833c56c!8m2!3d41.1549001!4d-8.616203!16s%2Fg%2F11xh5w83vj!19sChIJO1TPeQBlJA0RbMUzeFMIcIA?authuser=0&hl=pt-BR&rclk=1,No,Hospedagem domiciliar,
Porto,,,"R. de Álvares Cabral 219, 4050-040 Porto, Portugal","5,0",1,PT,R. de Álvares Cabral 219,41.2248758,-8.6845442,"Hospedagem domiciliar in Porto, Portugal",https://www.google.com/maps/place/Porto+Smart+Apartments+comfort/data=!4m10!3m9!1s0xd2469006a2709e1:0x95f0cf8a8bc738c3!5m2!4m1!1i2!8m2!3d41.2248758!4d-8.6845442!16s%2Fg%2F11ysnfnqq1!19sChIJ4QknagBpJA0RwzjHi4rP8JU?authuser=0&hl=pt-BR&rclk=1,No,Hospedagem domiciliar,
ML Formosa Delux Rooms,,'+351915454630,"R. Formosa 36, 4000-222 Porto, Portugal","5,0",1,PT,R. Formosa 36,41.147379,-8.6024549,"Hospedagem domiciliar in Porto, Portugal",https://www.google.com/maps/place/ML+Formosa+Delux+Rooms/data=!4m10!3m9!1s0xd246500615b8743:0xc0969a01fc2a2bec!5m2!4m1!1i2!8m2!3d41.147379!4d-8.6024549!16s%2Fg%2F11z7qqqrvm!19sChIJQ4dbYQBlJA0R7Csq_AGalsA?authuser=0&hl=pt-BR&rclk=1,No,,
Porto Hotel,,,"Rua dos Clérigos 82, 4000 Porto, Portugal","5,0",1,PT,Rua dos Clérigos 82,41.145993,-8.6133393,"Hospedagem domiciliar in Porto, Portugal",https://www.google.com/maps/place/Porto+Hotel/data=!4m7!3m6!1s0xd246500154b6da3:0xffddfead2dd23ac0!8m2!3d41.145993!4d-8.6133393!16s%2Fg%2F11y3vg_s0z!19sChIJo21LFQBlJA0RwDrSLa3-3f8?authuser=0&hl=pt-BR&rclk=1,No,Hospedagem domiciliar,
Oliviari hostel,,'+34604280749,"R. do Dr. Manuel Laranjeira 75, 4200-386 Porto, Portugal","5,0",1,PT,R. do Dr. Manuel Laranjeira 75,41.1703576,-8.5976378,"Hospedagem domiciliar in Porto, Portugal",https://www.google.com/maps/place/Oliviari+hostel/data=!4m7!3m6!1s0xd2465007c33d74d:0x78a7462a573c020c!8m2!3d41.1703576!4d-8.5976378!16s%2Fg%2F11x2d0st86!19sChIJTdczfABlJA0RDAI8VypGp3g?authuser=0&hl=pt-BR&rclk=1,No,Hospedagem domiciliar,
Apt Porto,,,"Porto, Portugal","4,5",,PT,Porto,41.1579438,-8.6291053,"Hospedagem domiciliar in Porto, Portugal",https://www.google.com/maps/place/Apt+Porto/data=!4m7!3m6!1s0xd246500579ddbfb:0x958b320ac2e88975!8m2!3d41.1579438!4d-8.6291053!16s%2Fg%2F11wqr7zcxm!19sChIJ-9udVwBlJA0RdYnowgoyi5U?authuser=0&hl=pt-BR&rclk=1,No,Hospedagem domiciliar,
house,,,"Av. Sacadura Cabral 3228, 4410-496 São Félix da M.nha, Portugal","4,0",,PT,Av. Sacadura Cabral 3228,41.0405941,-8.6481342,"Hospedagem domiciliar in Porto, Portugal",https://www.google.com/maps/place/house/data=!4m10!3m9!1s0xd247bad09580a29:0x2c6673b205be8bce!5m2!4m1!1i2!8m2!3d41.0405941!4d-8.6481342!16s%2Fg%2F11nnttgllv!19sChIJKQpYCa17JA0Rzou-BbJzZiw?authuser=0&hl=pt-BR&rclk=1,No,,
house,,,"Av. Sacadura Cabral 3228, 4410-496 São Félix da M.nha, Portugal","4,0",,PT,Av. Sacadura Cabral 3228,41.1612667,-8.6193508,"Hospedagem domiciliar in Porto, Portugal",https://www.google.com/maps/place/Green+Tiles+House+Porto/data=!4m7!3m6!1s0xd24650053ad2f1f:0x5545edccdf4f2897!8m2!3d41.1612667!4d-8.6193508!16s%2Fg%2F11n3_6grht!19sChIJHy-tUwBlJA0RlyhP38ztRVU?authuser=0&hl=pt-BR&rclk=1,No,Hospedagem domiciliar,
Residencial Junior Nkobe,,,"R. da Madeira, 4000-542 Porto, Portugal","5,0",1,PT,R. da Madeira,41.1459851,-8.6090975,"Hospedagem domiciliar in Porto, Portugal",https://www.google.com/maps/place/Residencial+Junior+Nkobe/data=!4m7!3m6!1s0xd24650070fc18a9:0xffc857428be0c54a!8m2!3d41.1459851!4d-8.6090975!16s%2Fg%2F11yj7h4b4g!19sChIJqRj8cABlJA0RSsXgi0JXyP8?authuser=0&hl=pt-BR&rclk=1,No,Hospedagem domiciliar,
Porto Apartment,,,"R. de São Francisco 24, 4050-253 Porto, Portugal","5,0",,PT,R. de São Francisco 24,41.1411556,-8.6168137,"Hospedagem domiciliar in Porto, Portugal",https://www.google.com/maps/place/Porto+Apartment/data=!4m7!3m6!1s0xd2465a9adf1c6cf:0x7aa049822d9d0725!8m2!3d41.1411556!4d-8.6168137!16s%2Fg%2F11s2255r27!19sChIJz8bxrallJA0RJQedLYJJoHo?authuser=0&hl=pt-BR&rclk=1,No,Hospedagem domiciliar,
Eva,,,"R. de Gonçalo Cristóvão, 4000-265 Porto, Portugal",,,PT,R. de Gonçalo Cristóvão,41.1536049,-8.608361,"Hospedagem domiciliar in Porto, Portugal",https://www.google.com/maps/place/Eva/data=!4m7!3m6!1s0xd246500725b433b:0xa5722df9676174f1!8m2!3d41.1536049!4d-8.608361!16s%2Fg%2F11ytsgmq67!19sChIJO0NbcgBlJA0R8XRhZ_ktcqU?authuser=0&hl=pt-BR&rclk=1,No,Hospedagem domiciliar,
Hostel Infante,,,"R. de Alexandre Herculano 136, 4000-239 Porto, Portugal","5,0",1,PT,R. de Alexandre Herculano 136,41.1436698,-8.6034085,"Hospedagem domiciliar in Porto, Portugal",https://www.google.com/maps/place/Hostel+Infante/data=!4m7!3m6!1s0xd24651be7d9f689:0x455d3e9dc43feb4f!8m2!3d41.1436698!4d-8.6034085!16s%2Fg%2F11jt7r2bwd!19sChIJifbZ5xtlJA0RT-s_xJ0-XUU?authuser=0&hl=pt-BR&rclk=1,No,Hospedagem domiciliar,
Varandas do Mar da Aguda,,'+351934609221,"Praia da Aguda, Av. Gomes Guerra 914, 4410-467 Arcozelo, Portugal","4,7",,PT,Av. Gomes Guerra 914,41.0531043,-8.6538424,"Hospedagem domiciliar in Porto, Portugal",https://www.google.com/maps/place/Varandas+do+Mar+da+Aguda/data=!4m10!3m9!1s0xd247ba722e12a33:0x310cc0f7a0590e81!5m2!4m1!1i2!8m2!3d41.0531043!4d-8.6538424!16s%2Fg%2F11t1jygzsz!19sChIJMyrhIqd7JA0RgQ5ZoPfADDE?authuser=0&hl=pt-BR&rclk=1,No,,
Douro Golden Studio,,,"Portugal, Porto, Rua de S. Victor, 邮政编码: 4300-059","5,0",1,PT,邮政编码:,41.1424641,-8.5974323,"Hospedagem domiciliar in Porto, Portugal",https://www.google.com/maps/place/Douro+Golden+Studio/data=!4m10!3m9!1s0xd2465000a65e277:0xe287923b87246f0d!5m2!4m1!1i2!8m2!3d41.1424641!4d-8.5974323!16s%2Fg%2F11yf_lycv2!19sChIJd-JlCgBlJA0RDW8khzuSh-I?authuser=0&hl=pt-BR&rclk=1,No,,
Cosy Countryside - Family House,,,"R do Crasto 106, 4550-366 Castelo de Paiva, Portugal","5,0",,PT,R do Crasto 106,41.0608569,-8.2618279,"Hospedagem domiciliar in Porto, Portugal",https://www.google.com/maps/place/Cosy+Countryside+-+Family+House/data=!4m7!3m6!1s0xd249d8336e89813:0xfa925c5950d86285!8m2!3d41.0608569!4d-8.2618279!16s%2Fg%2F11t38r2km4!19sChIJE5joNoOdJA0RhWLYUFlckvo?authuser=0&hl=pt-BR&rclk=1,No,Hospedagem domiciliar,
Quinta do Inha,,,"R. Pinho Leal 984, 4525 Vale, Portugal","5,0",,PT,R. Pinho Leal 984,40.9700554,-8.440511,"Hospedagem domiciliar in Porto, Portugal",https://www.google.com/maps/place/Quinta+do+Inha/data=!4m7!3m6!1s0xd237f00492fcacb:0x5fc331529ee90c21!8m2!3d40.9700554!4d-8.440511!16s%2Fg%2F11zbt1l40x!19sChIJy8ovSQB_Iw0RIQzpnlIxw18?authuser=0&hl=pt-BR&rclk=1,No,Hospedagem domiciliar,
Casaalamela,,,"R. da Alamela 694, 4560 Penafiel, Portugal","4,5",,PT,R. da Alamela 694,41.1975339,-8.3008775,"Hospedagem domiciliar in Porto, Portugal",https://www.google.com/maps/place/Casaalamela/data=!4m10!3m9!1s0xd2491002326b3fb:0x69a935d7eaa40edf!5m2!4m1!1i2!8m2!3d41.1975339!4d-8.3008775!16s%2Fg%2F11w9yfx4xz!19sChIJ-7MmIwCRJA0R3w6k6tc1qWk?authuser=0&hl=pt-BR&rclk=1,No,,
Carro,,,"R. Diogo Cassels 6, 4430-999 Vila Nova de Gaia, Portugal","3,0",1,PT,R. Diogo Cassels 6,41.1326192,-8.608055,"Hospedagem domiciliar in Porto, Portugal",https://www.google.com/maps/place/Carro/data=!4m7!3m6!1s0xd246545d57c60f5:0xaaeffa4f87fb34df!8m2!3d41.1326192!4d-8.608055!16s%2Fg%2F11vf8tddx0!19sChIJ9WB81UVlJA0R3zT7h0_676o?authuser=0&hl=pt-BR&rclk=1,No,Hospedagem domiciliar,
AL Pitões,,'+351933927443,"R. do Freixo 1680, 4300-214 Porto, Portugal","3,9",,PT,R. do Freixo 1680,41.1473154,-8.5868455,"Hospedagem domiciliar in Porto, Portugal",https://www.google.com/maps/place/AL+Pit%C3%B5es/data=!4m10!3m9!1s0xd2465ed6ea83109:0x4669e745dd77cd93!5m2!4m1!1i2!8m2!3d41.1473154!4d-8.5868455!16s%2Fg%2F11tsm6zgmy!19sChIJCTGobu1lJA0Rk8133UXnaUY?authuser=0&hl=pt-BR&rclk=1,No,,
Traços de passagem unip Lda,,,"Largo Bom Sucesso nr 52, 4150-144 Porto, Portugal","4,5",,PT,Largo Bom Sucesso nr 52,41.1543826,-8.6281316,"Hospedagem domiciliar in Porto, Portugal",https://www.google.com/maps/place/Tra%C3%A7os+de+passagem+unip+Lda/data=!4m7!3m6!1s0xd2465760fc652a5:0x5896adc4d7f8633e!8m2!3d41.1543826!4d-8.6281316!16s%2Fg%2F11tmn2wbdc!19sChIJpVLGD3ZlJA0RPmP418Stllg?authuser=0&hl=pt-BR&rclk=1,No,Hospedagem domiciliar,
ANSE - Porto,,,"R. de Santa Catarina 935, 4000-263 Porto, Portugal","4,1",,PT,R. de Santa Catarina 935,41.1545066,-8.6050521,"Hospedagem domiciliar in Porto, Portugal",https://www.google.com/maps/place/ANSE+-+Porto/data=!4m7!3m6!1s0xd24652f8045463d:0xfa4ecd245e0bf5c4!8m2!3d41.1545066!4d-8.6050521!16s%2Fg%2F11t7syf34d!19sChIJPUZFgC9lJA0RxPULXiTNTvo?authuser=0&hl=pt-BR&rclk=1,No,Hospedagem domiciliar,
Arifa,,'+351920033509,"R. Alberto Pimentel 228, 4745-209 Guidões, Portugal","4,4",,PT,R. Alberto Pimentel 228,41.3358576,-8.6172664,"Hospedagem domiciliar in Porto, Portugal",https://www.google.com/maps/place/Arifa/data=!4m7!3m6!1s0xd245d5a16842865:0x17b881f632219ed5!8m2!3d41.3358576!4d-8.6172664!16s%2Fg%2F11hz8bsp0j!19sChIJZSiEFlpdJA0R1Z4hMvaBuBc?authuser=0&hl=pt-BR&rclk=1,No,Hospedagem domiciliar,
Alojamento Local Monte Sinai,,'+351222085374,"R. de Alexandre Herculano 146, 4000-054 Porto, Portugal","3,6",,PT,R. de Alexandre Herculano 146,41.143713,-8.6035496,"Hotel de 2 estrelas in Porto, Portugal",https://www.google.com/maps/place/Alojamento+Local+Monte+Sinai/data=!4m10!3m9!1s0xd2464e8c1041a37:0x6137fb71dfc8857!5m2!4m1!1i2!8m2!3d41.143713!4d-8.6035496!16s%2Fg%2F1tdkcbkd!19sChIJNxoEwehkJA0RV4j8Hbd_EwY?authuser=0&hl=pt-BR&rclk=1,No,,
B&B Hotels,,,"R. 5 de Outubro 1024, 4480-700 Vila do Conde, Portugal","4,4",,PT,R. 5 de Outubro 1024,41.361148,-8.744448,"Albergue in Porto, Portugal",https://www.google.com/maps/place/B%26B+Hotels/data=!4m10!3m9!1s0xd24441c59110153:0xf360054acba19ffa!5m2!4m1!1i2!8m2!3d41.361148!4d-8.744448!16s%2Fg%2F11sx_h0g12!19sChIJUwERWRxEJA0R-p-hy0oFYPM?authuser=0&hl=pt-BR&rclk=1,No,,
City Heart Rooms,,'+351937385344,"69 Calçada da Póvoa 1 left, 4000-022 Porto, Portugal","2,1",,PT,69 Calçada da Póvoa 1 left,41.156981,-8.5972039,"Albergue in Porto, Portugal",https://www.google.com/maps/place/City+Heart+Rooms/data=!4m10!3m9!1s0xd2464f4673719f7:0x7eef5e414145d989!5m2!4m1!1i2!8m2!3d41.156981!4d-8.5972039!16s%2Fg%2F11h3b2v1zf!19sChIJ9xk3Z_RkJA0RidlFQUFe734?authuser=0&hl=pt-BR&rclk=1,No,,
Quiet Point Rooms,,'+351911501445,"R. Assis Vaz 35, 4200-096 Porto, Portugal","4,2",,PT,R. Assis Vaz 35,41.1687856,-8.5938772,"Albergue in Porto, Portugal",https://www.google.com/maps/place/Quiet+Point+Rooms/data=!4m10!3m9!1s0xd24650048f2f8b9:0x6cf6aefb0b5c2eb6!5m2!4m1!1i2!8m2!3d41.1687856!4d-8.5938772!16s%2Fg%2F11y405fy63!19sChIJufjySABlJA0Rti5cC_uu9mw?authuser=0&hl=pt-BR&rclk=1,No,,
By Doors Hostel Porto,,'+351962209300,"R. António José da Costa 31, 4150-091 Lordelo do Ouro, Portugal","4,1",,PT,R. António José da Costa 31,41.1583979,-8.6373545,"Albergue in Porto, Portugal",https://www.google.com/maps/place/By+Doors+Hostel+Porto/data=!4m10!3m9!1s0xd246512c7ec79e3:0x459de32a133512c0!5m2!4m1!1i2!8m2!3d41.1583979!4d-8.6373545!16s%2Fg%2F11fnp16pmt!19sChIJ43nsxxJlJA0RwBI1EyrjnUU?authuser=0&hl=pt-BR&rclk=1,No,,
Angeiras Beach Hostel,,'+351916883333,"Av. da Praia de Angeiras 60, 4455-042 Lavra, Portugal","4,4",,PT,Av. da Praia de Angeiras 60,41.2650382,-8.7259464,"Albergue in Porto, Portugal",https://www.google.com/maps/place/Angeiras+Beach+Hostel/data=!4m10!3m9!1s0xd246994aba411d7:0xcdc985a4ffbc3583!5m2!4m1!1i2!8m2!3d41.2650382!4d-8.7259464!16s%2Fg%2F11xtwvs6h7!19sChIJ1xGkq5RpJA0RgzW8_6SFyc0?authuser=0&hl=pt-BR&rclk=1,No,,
Residencial do Sul,,'+351218147253,"Av. Alm. Reis 52, 1150-019 Lisboa, Portugal","3,6",,PT,Av. Alm. Reis 52,38.7256643,-9.1348815,"Hospedaria in Lisbon, Portugal",https://www.google.com/maps/place/Residencial+do+Sul/data=!4m10!3m9!1s0xd1933855077d2a5:0xb8af6101bf72e6b4!5m2!4m1!1i2!8m2!3d38.7256643!4d-9.1348815!16s%2Fg%2F1tfsd37g!19sChIJpdJ3UIUzGQ0RtOZyvwFhr7g?authuser=0&hl=pt-BR&rclk=1,No,,
Pensao Beira Minho,,'+351213461846,"Praça da Figueira 6, 1100-240 Lisboa, Portugal","2,9",,PT,Praça da Figueira 6,38.7141832,-9.1378724,"Hospedaria in Lisbon, Portugal",https://www.google.com/maps/place/Pensao+Beira+Minho/data=!4m10!3m9!1s0xd1933877a14a101:0xfe9bd4876a8f8d56!5m2!4m1!1i2!8m2!3d38.7141832!4d-9.1378724!16s%2Fg%2F1wrtf39v!19sChIJAaEUeoczGQ0RVo2PaofUm_4?authuser=0&hl=pt-BR&rclk=1,No,,
Boho Guesthouse - Rooms & Apartments,,,"Tv. do Alecrim 3, 1200-019 Lisboa, Portugal","3,9",,PT,Tv. do Alecrim 3,38.7077404,-9.1437632,"Hospedaria in Lisbon, Portugal",https://www.google.com/maps/place/Boho+Guesthouse+-+Rooms+%26+Apartments/data=!4m10!3m9!1s0xd1ecb54753ce583:0xb5aa6caed9b42a9d!5m2!4m1!1i2!8m2!3d38.7077404!4d-9.1437632!16s%2Fg%2F1q64dxm5j!19sChIJg-U8dVTLHg0RnSq02a5sqrU?authuser=0&hl=pt-BR&rclk=1,No,,
Hospedaria do Bairro Alentejano,,'+351962843954,"Av. Alberto Valente, 2950-439 Palmela, Portugal","4,2",,PT,Av. Alberto Valente,38.5831612,-8.890374,"Hospedaria in Lisbon, Portugal",https://www.google.com/maps/place/Hospedaria+do+Bairro+Alentejano/data=!4m7!3m6!1s0xd1941726b3fa2dd:0x1974d683da8da930!8m2!3d38.5831612!4d-8.890374!16s%2Fg%2F1tf61kc1!19sChIJ3aI_a3JBGQ0RMKmN2oPWdBk?authuser=0&hl=pt-BR&rclk=1,No,Hospedaria,
Be My Guest Lisboa Hostel,,'+351218131997,"R. Morais Soares 122, 1900-349 Lisboa, Portugal","3,8",,PT,R. Morais Soares 122,38.7332668,-9.1321794,"Hospedaria in Lisbon, Portugal",https://www.google.com/maps/place/Be+My+Guest+Lisboa+Hostel/data=!4m10!3m9!1s0xd193397b661810f:0xf4f80e3674f53073!5m2!4m1!1i2!8m2!3d38.7332668!4d-9.1321794!16s%2Fg%2F12vqy12dj!19sChIJD4FhtpczGQ0RczD1dDYO-PQ?authuser=0&hl=pt-BR&rclk=1,No,,
Mico's Hostel,,'+351917657629,"R. dos Navegantes 92, 2750-444 Cascais, Portugal","4,7",,PT,R. dos Navegantes 92,38.6981547,-9.4229114,"Hospedaria in Lisbon, Portugal",https://www.google.com/maps/place/Mico%27s+Hostel/data=!4m10!3m9!1s0xd1ec4258730a4e3:0xefb458accd08dddc!5m2!4m1!1i2!8m2!3d38.6981547!4d-9.4229114!16s%2Fg%2F11f4wv11cn!19sChIJ46QwhyXEHg0R3N0IzaxYtO8?authuser=0&hl=pt-BR&rclk=1,No,,
ibis Lisboa Parque das Naçoes,,,"R. do Mar Vermelho 1 07 2 2, Nº De Registo:4710, 1990-203 Lisboa, Portugal","4,2",,PT,Nº De Registo:4710,38.771181,-9.096848,"Hotel de 3 estrelas in Lisbon, Portugal",https://www.google.com/maps/place/ibis+Lisboa+Parque+das+Na%C3%A7oes/data=!4m10!3m9!1s0xd193188d8aced03:0xbba5caa5bcd3eea2!5m2!4m1!1i2!8m2!3d38.771181!4d-9.096848!16s%2Fg%2F12q4vcgvy!19sChIJA-2s2IgxGQ0Rou7TvKXKpbs?authuser=0&hl=pt-BR&rclk=1,No,,
Brother's Rooms,,'+351936749525,"R. dos Baldaques 48, 1900-085 Lisboa, Portugal","2,5",,PT,R. dos Baldaques 48,38.7339453,-9.1296308,"Hotel de 3 estrelas in Lisbon, Portugal",https://www.google.com/maps/place/Brother%27s+Rooms/data=!4m10!3m9!1s0xd1933b28aabe745:0x5b1db9f4bf92598f!5m2!4m1!1i2!8m2!3d38.7339453!4d-9.1296308!16s%2Fg%2F11t1b3mbls!19sChIJReerirIzGQ0Rj1mSv_S5HVs?authuser=0&hl=pt-BR&rclk=1,No,,
Penha Longa Resort,,,"Estrada da Lagoa Azul, Linhó Quinta da, Penha Longa, 2714-511 Sintra, Portugal","4,7",,PT,Penha Longa,38.76147,-9.396938,"Hotel de 5 estrelas in Lisbon, Portugal",https://www.google.com/maps/place/Penha+Longa+Resort/data=!4m10!3m9!1s0xd1ec53b9657b57b:0x2a9fff2baf77fd53!5m2!4m1!1i2!8m2!3d38.76147!4d-9.396938!16s%2Fg%2F11_q518q6!19sChIJe7VXljvFHg0RU_13ryv_nyo?authuser=0&hl=pt-BR&rclk=1,No,,
Hotel Dom Pedro Lisboa,,,"Av. Eng. Duarte Pacheco 24, 1070-110 Lisboa, Portugal","4,5",,PT,Av. Eng. Duarte Pacheco 24,38.724834,-9.160352,"Hotel de 5 estrelas in Lisbon, Portugal",https://www.google.com/maps/place/Hotel+Dom+Pedro+Lisboa/data=!4m10!3m9!1s0xd19336ee2524963:0xb1a22ea65c994bf4!5m2!4m1!1i2!8m2!3d38.724834!4d-9.160352!16s%2Fg%2F1tls42m8!19sChIJY0lS4m4zGQ0R9EuZXKYuorE?authuser=0&hl=pt-BR&rclk=1,No,,
Al Hospedagem Bisengototo,,'+351967140365,"R. Morais Soares, 1170-189 Lisboa, Portugal","3,7",,PT,R. Morais Soares,38.7322561,-9.1291938,"Hospedagem domiciliar in Lisbon, Portugal",https://www.google.com/maps/place/Al+Hospedagem+Bisengototo/data=!4m10!3m9!1s0xd1933942dc5b0a9:0x1e5830192331867c!5m2!4m1!1i2!8m2!3d38.7322561!4d-9.1291938!16s%2Fg%2F11cs3xf089!19sChIJqbDFLZQzGQ0RfIYxIxkwWB4?authuser=0&hl=pt-BR&rclk=1,No,,
